Symbol key,Concrete symbol name,Library,Symbol source,Pin evidence status,Footprint dependency,Instance refs,Allowed action,Blocked action,Freeze close evidence
HS_CTRL,PB100_TPS48110AQDGXRQ1_PRELIM,PB100,https://www.ti.com/product/TPS4811-Q1/part-details/TPS48110AQDGXRQ1,Extracted from official TI datasheet; preliminary symbol created,DGX-19 custom footprint,U101..U110,Review project-local schematic symbol against datasheet before schematic freeze,Do not lock footprint or start PCB layout,All pins mapped to generic output template and ERC clean
OUT_FET,PB100_POWER_NMOS_TOLL_80V,PB100,https://www.infineon.com/assets/row/public/documents/10/49/infineon-iaut300n08s5n012-datasheet-en.pdf,Extracted from official Infineon datasheet; exact selected symbol created,PG-HSOF-8-1 TOLL reviewed footprint,Q101..Q110,Maintain selected 80 V MOSFET symbol and footprint against generated SOA and thermal evidence,Do not start layout before schematic freeze closes,Selected 80 V package passes per-output SOA thermal and sourcing review
OUT2_ESCAPE_FET,PB100_POWER_NMOS_TOLL_80V,PB100,https://www.infineon.com/assets/row/public/documents/10/49/infineon-iaut300n08s5n012-datasheet-en.pdf,Extracted from official Infineon datasheet; exact selected symbol created,PG-HSOF-8-1 TOLL reviewed footprint,Q102 selected,Maintain OUT2 80 V MOSFET against generated startup SOA evidence,Do not waive later layout thermal review,OUT2 startup envelope passes selected IAUT300N08S5N012ATMA2 SOA and thermal review
INPUT_IDEAL_DIODE,PB100_LM74930Q1RGERQ1,PB100,https://www.ti.com/lit/ds/symlink/lm74930-q1.pdf,Extracted from official TI datasheet; exact selected symbol created,Project-local RGE VQFN-24 footprint,U1,Review exact common-source cutoff and peripheral topology before schematic freeze,Do not enable OVCLAMP mode or move Q1 to raw input without an ADR,All 24 pins plus isolated RTN pad are mapped and hard cutoff is explicit
INPUT_CONNECTOR,PB100_INPUT_CONNECTOR_CLASS_PRELIM,PB100,hardware/power-board/PB-100/PB-100-garage-connector-fuse-plan.md,Internal class pin evidence defined; preliminary symbol created,No PCB footprint unless connector moves on-board,J1,Review connector class symbol after battery connector derating review,Do not move input connector onto PCB without design review,Battery input connector current rating and serviceability are documented
INPUT_REVERSE_FET,PB100_POWER_NMOS_TOLL_80V,PB100,https://www.infineon.com/assets/row/public/documents/10/49/infineon-iaut300n08s5n012-datasheet-en.pdf,Extracted from official Infineon datasheet; exact selected symbol created,PG-HSOF-8-1 TOLL reviewed footprint,Q1 selected,Maintain TOLL MOSFET against package drawing assembly and generated 40 A thermal evidence,Do not waive final plane polygon bus and coupon review,Gate pin 1 source pins 2-8 drain Tab and 40 A thermal bound are reviewed
INPUT_SURGE_FET,PB100_POWER_NMOS_TOLL_150V,PB100,https://www.infineon.com/assets/row/public/documents/10/49/infineon-iautn15s6n025-datasheet-en.pdf,Extracted from official Infineon datasheet; exact selected symbol created,PG-HSOF-8-1 TOLL reviewed footprint,Q2 selected,Maintain 150 V raw-side cutoff FET against generated SOA and thermal evidence,Do not substitute a lower-voltage FET without controlled transient review,Gate pin 1 source pins 2-8 drain Tab and 101 V margin are reviewed
INPUT_TVS,PB100_SM8S33AHM3I,PB100,https://www.vishay.com/docs/88392/sm8s.pdf,Extracted from official Vishay datasheet; exact legacy symbol created,DO-218AC Vishay reviewed footprint,D1 DNP,Retain the footprint for traceability,Do not populate D1 as the load-dump solution,ADR-0018 rejects the single-TVS energy-absorption branch
LOGIC_BUCK,PB100_LM5164QDDATQ1_PRELIM,PB100,https://www.ti.com/product/LM5164-Q1/part-details/LM5164QDDATQ1,Extracted from official TI datasheet; preliminary symbol created,SO PowerPAD-8 DDA stock/custom verified,U3,Review project-local buck symbol against datasheet before schematic freeze,Do not lock buck before 5 V load budget closes,Input network and regulator values are represented in schematic
LOGIC_BUCK_INDUCTOR,PB100_BUCK_INDUCTOR_CLASS_PRELIM,PB100,hardware/power-board/PB-100/PB-100-logic-power-rail-trace.csv,Internal class pin evidence defined; preliminary symbol created,Footprint depends on selected current ripple and saturation rating,L1,Review inductor class symbol after LM5164 values close,Do not lock footprint before buck design values and saturation margin close,Inductor value current ripple and saturation margin are documented
