Review item,Required boundary,Primary evidence,Schematic freeze check,Pass condition,Blocked action
Regulator family boundary,LM5164-Q1-class 100 V 1 A preferred regulator remains default with LM5013-Q1-class 100 V fallback and TPS54360B-Q1-class 60 V path conditional on TVS margin,PB-100-logic-power-rail-trace.csv; PB-100-logic-power-rails.md; PB-100-tvs-load-dump-freeze-review.csv,Regulator family review,Preferred and alternate buck families remain voltage-margin and load-budget gated before schematic freeze,Do not select 60 V TPS54360B-Q1-class path until TVS margin and load-dump stress close
Protected input sequence,U3 VIN is fed from VBAT_PROT after LM74930-Q1 active cutoff Q1 and total-current shunt sequencing and must not connect to raw or pre-shunt input,PB-100-logic-power-rail-trace.csv; PB-100-logic-buck-pin-template.csv; PB-100-schematic-net-domain-plan.csv,Input sequencing review,Buck input source remains protected and input filter voltage EMI and extracted overshoot margin stay review items,Do not connect logic buck to VBAT_RAW or VBAT_REV_PROT or lock input filter values before review
PB_5V_OUT ownership,PB_5V_OUT feeds LB-100 and PB-side low-power circuitry only with 1000 mA initial total and 500 mA LB-100 allocation from LB-100-power-budget-precheck.md and must not power accessory loads,PB-100-logic-power-budget.csv; PB-100-logic-power-rails.md; PB-100-b2b-lb100-resource-binding.csv; hardware/logic-board/LB-100/LB-100-power-budget-precheck.md,Load budget review,PB_5V_OUT ownership load budget and 1 A LM5164 boundary remain explicit and LM5013-Q1 fallback is used if exceeded,Do not add accessory loads or exceed 1 A budget without switching regulator review
Cold-crank UVLO safe-off,BUCK_EN_UVLO and rail-invalid behavior keep OUT1..OUT10 default off when PB_5V_OUT or LB_3V3_IO is absent,PB-100-logic-power-design-values.csv; PB-100-logic-buck-pin-template.csv; PB-100-fault-response-matrix.csv,Safe-off review,Cold-crank brownout and reset behavior keep outputs disabled until power-good and valid rails are present,Do not enable outputs from firmware or hardware when logic rails are invalid
Programming values remain TBD,BUCK_RON_SET BUCK_FB and BUCK_BST external values remain TBD not final until LM5164 equations switching frequency feedback tolerance and bootstrap rating close,PB-100-logic-power-design-values.csv; PB-100-logic-buck-pin-template.csv; PB-100-logic-power-design-placeholders.csv,Schematic value review,RON feedback and bootstrap values stay visible and unfinalized before schematic freeze,Do not lock resistor capacitor or footprint values before regulator equations close
Switch node and EMI boundary,BUCK_SW damping snubber need input filter EMI and conducted-noise strategy remain schematic-review items without layout geometry,PB-100-logic-power-design-values.csv; PB-100-logic-power-design-placeholders.csv; PB-100-logic-power-rail-trace.csv,EMI review,Switch-node ringing input filter and conducted-noise assumptions remain documented before layout,Do not place switch-node copper snubber or EMI filter geometry before schematic freeze
Inductor and capacitor class,L1 automotive shielded inductor plus CIN and COUT automotive capacitor classes remain value TBD with ripple saturation thermal stability and load-step review open,PB-100-logic-power-design-values.csv; PB-100-logic-power-design-placeholders.csv; production/bom/factory_bom_draft.csv,Magnetics and capacitor review,Inductor and capacitor classes remain AEC-Q200 oriented with value saturation current package and sourcing review open,Do not lock L1 CIN COUT footprints or packages before regulator values close
Power-good interface,PB_PWR_GOOD remains PB-100 to LB-100 validity status and must not assert before PB_5V_OUT is stable with pull-up domain timing filtering and LB-100 interpretation open,PB-100-logic-power-rail-trace.csv; PB-100-logic-buck-pin-template.csv; PB-100-b2b-lb100-resource-binding.csv,Power-good review,PGOOD status cannot report valid rail before PB_5V_OUT is stable and LB-100 interpretation is reviewed,Do not treat PB_PWR_GOOD as valid without pull-up domain and timing review
Assembly and sourcing gate,LOGIC_BUCK and LOGIC_BUCK_INDUCTOR remain factory recheck items with LM5164QDDATQ1 SO PowerPAD LM5013-Q1 TPS54360B-Q1 and automotive shielded inductor critical alternatives,PB-100-assembly-readiness-trace.csv; production/bom/pb100_assembly_sourcing_recheck.csv; production/bom/pb100_sourcing_evidence_snapshot.csv,Production review,JLCPCB PCBWay sourcing assembly package and critical alternatives remain open before MPN footprint or pick-place lock,Do not lock U3 L1 MPN footprints pick-place or assembly output before sourcing recheck
Layout authorization boundary,Logic power freeze review constrains schematic only and does not authorize U3 L1 CIN COUT placement switch-node copper thermal pad vias or manufacturing output,PB-100-schematic-capture-work-queue.csv; PB-100-kicad-prep.md; PB-100-schematic-freeze-checklist.md,Release packet review,No PCB layout placement copper thermal or manufacturing artifact is allowed until schematic freeze closes,Do not create PB-100.kicad_pcb Gerbers drills pick-place or copper geometry before schematic freeze
