Check ID,Review item,Required close evidence,Primary artifacts,Pass condition,Blocked action
LOGIC-FRZ-001,Regulator family and orderability,"LM5164-Q1-class 100 V 1 A remains the preferred PB_5V_OUT regulator; LM5013-Q1-class 100 V 3.5 A remains the higher-current fallback; TPS54360B-Q1-class 60 V remains conditional on TVS margin and load-dump stress","PB-100-logic-power-rail-trace.csv; PB-100-logic-power-freeze-review.csv; PB-100-logic-power-design-calculation.md; https://www.ti.com/product/LM5164-Q1; https://www.ti.com/product/LM5013-Q1; https://www.ti.com/product/TPS54360B-Q1","Regulator family is selected only after PB_5V_OUT budget orderability TVS margin and sourcing evidence close","Do not select TPS54360B-Q1-class default or lock LM5164QDDATQ1 footprint before orderability and load budget review"
LOGIC-FRZ-002,PB_5V_OUT load budget,"PB_5V_OUT stays a 1000 mA budget rail with 500 mA LB-100 allocation and 500 mA PB-side low-power allocation; PB_5V_OUT must not power accessory loads","PB-100-logic-power-budget.csv; hardware/logic-board/LB-100/LB-100-power-budget-precheck.md; PB-100-b2b-lb100-resource-binding.csv","LB-100 rail tree proves the 500 mA allocation or PB-100 migrates to LM5013-Q1-class before schematic freeze","Do not add accessory loads or exceed 1 A LM5164 boundary without regulator fallback review"
LOGIC-FRZ-003,Input filter and transient stress,"VBAT_PROT feeds U3 VIN after reverse protection TVS and shunt sequencing; 2.2µF 100V X7R plus local 0.1µF and 10µF 100V bulk remain candidates pending load-dump stress EMI and damping review","PB-100-logic-power-design-values.csv; PB-100-tvs-overshoot-escape-checklist.csv; PB-100-input-power-design-values.csv","Input filter capacitor voltage EMI damping and surge stress close before schematic values are locked","Do not connect U3 VIN to VBAT_RAW or lock input capacitor footprints before schematic freeze"
LOGIC-FRZ-004,Cold-crank UVLO safe-off,"BUCK_EN_UVLO uses 332kΩ high-side and 100kΩ low-side candidate giving about 6.48V rising UVLO and 4.75V shutdown; OUT1..OUT10 default off while PB_5V_OUT or LB_3V3_IO is invalid","PB-100-logic-power-design-calculation.md; PB-100-logic-power-design-values.csv; PB-100-fault-response-matrix.csv","Cold-crank brownout reset and rail-invalid behavior keep outputs disabled until PB_PWR_GOOD and valid rails are present","Do not enable outputs from firmware or hardware when PB_5V_OUT or LB_3V3_IO is invalid"
LOGIC-FRZ-005,RON feedback and bootstrap values,"BUCK_RON_SET 41.2kΩ targets about 300kHz; BUCK_FB uses 158kΩ high-side and 49.9kΩ low-side for about 5.0V from 1.2V reference; BUCK_BST uses 2.2nF 50V X7R","PB-100-logic-power-design-calculation.md; PB-100-logic-power-design-values.csv; PB-100-logic-buck-pin-template.csv","RON feedback bootstrap values pass tolerance leakage EMI and voltage-derating review before schematic freeze","Do not lock resistor capacitor or footprint values from candidate math alone"
LOGIC-FRZ-006,Inductor and output capacitors,"L1 remains a 47µH shielded AEC-Q200 inductor candidate with Isat at least 2.2A Irms at least 1.2A; COUT remains 2x22µF 10V X7R plus 0.1µF pending DC-bias and load-step stability review","PB-100-logic-power-design-values.csv; PB-100-logic-power-design-calculation.md; production/bom/factory_bom_draft.csv","Inductor saturation DCR thermal package sourcing and effective capacitance are reviewed before final schematic values","Do not lock L1 COUT package footprint or placement before regulator values and sourcing close"
LOGIC-FRZ-007,Power-good interface,"PB_PWR_GOOD uses a 47kΩ pull-up to LB_3V3_IO with optional 10nF DNP filter candidate and must not assert before PB_5V_OUT is stable","PB-100-logic-power-rail-trace.csv; PB-100-logic-power-design-values.csv; hardware/logic-board/LB-100/LB-100-power-budget-precheck.md","PGOOD pull-up domain timing filter and LB-100 reset interpretation close before schematic freeze","Do not treat PB_PWR_GOOD as valid rail evidence before timing and pull-up domain review"
LOGIC-FRZ-008,Switch node and EMI boundary,"BUCK_SW damping remains a DNP RC snubber footprint candidate only; switch-node ringing input filter EMI and conducted-noise assumptions remain schematic-review items","PB-100-logic-power-design-values.csv; PB-100-logic-power-freeze-review.csv; PB-100-schematic-capture-work-queue.csv","EMI and ringing evidence defines any snubber population before values are locked while layout geometry remains blocked","Do not place switch-node copper snubber or EMI filter geometry before schematic freeze"
LOGIC-FRZ-009,Factory assembly sourcing,"LOGIC_BUCK and LOGIC_BUCK_INDUCTOR remain JLCPCB PCBWay sourcing recheck items with LM5164QDDATQ1 LM5164QDDARQ1 LM5013-Q1 TPS54360B-Q1 and AEC-Q200 shielded inductor alternatives","PB-100-assembly-readiness-trace.csv; production/bom/pb100_assembly_sourcing_recheck.csv; production/bom/pb100_sourcing_evidence_snapshot.csv","U3 and L1 have active factory assembly paths and at least two critical alternatives before MPN footprint or BOM lock","Do not generate pick-place or assembly outputs before sourcing recheck and schematic freeze"
LOGIC-FRZ-010,Layout authorization boundary,"Logic-power review remains schematic-only and does not authorize U3 L1 CIN COUT placement switch-node copper thermal pad vias PB-100.kicad_pcb Gerbers drills or pick-place output","PB-100-schematic-capture-work-queue.csv; PB-100-kicad-prep.md; PB-100-schematic-freeze-checklist.md","No PCB layout or manufacturing output exists until all freeze gates close","Do not create PB-100.kicad_pcb Gerbers drills pick-place or switch-node copper geometry"
