Footprint item,Assembly owner,Preferred MPN or class,Package or mechanical class,Footprint source,KiCad footprint binding state,Drawing review state,Alternatives,Board-import impact,Next action
USB-C connector,Factory,USB4105-GF-A,USB-C USB2 right-angle SMD,hardware/front-board/FB-100/kicad/lib/FB100.pretty/TYPE-C-SMD_SBC-160S1A-20-S412.kicad_mod; FB-100-footprint-binding-closeout.csv; JLCPCB C3020560 EasyEDA footprint source reviewed,Bound,Reviewed,TYPE-C-31-M-12 alternate,FOOTPRINT_BOUND,Bind schematic symbol to FB100:TYPE-C-SMD_SBC-160S1A-20-S412 during controlled schematic symbol promotion and verify shell stakes in layout review
USB-C connector alternate,Factory,TYPE-C-31-M-12,USB-C right-angle SMD female,hardware/front-board/FB-100/kicad/lib/FB100.pretty/USB-C_SMD-TYPE-C-31-M-12_1.kicad_mod; FB-100-footprint-binding-closeout.csv; JLCPCB C165948 EasyEDA footprint source reviewed,Bound,Reviewed,USB4105-GF-A preferred,FOOTPRINT_BOUND,Keep alternate footprint available and bind only if USB4105-GF-A sourcing or panel access fails review
USB ESD,Factory,USBLC6-2SC6,SOT-23-6L,hardware/front-board/FB-100/kicad/lib/FB100.pretty/SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL.kicad_mod; FB-100-footprint-binding-closeout.csv; JLCPCB C7519 EasyEDA footprint source reviewed,Bound,Reviewed,TPD2EUSB30ADRTR alternate,FOOTPRINT_BOUND,Bind USBLC6-2SC6 symbol to FB100:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL and verify pin orientation and VBUS reference before layout release
USB ESD alternate,Factory,TPD2EUSB30ADRTR,DRT package class,hardware/front-board/FB-100/kicad/lib/FB100.pretty/SOT-9X3-3_L1.0-W0.8-P0.35-LS1.0-BR.kicad_mod; FB-100-footprint-binding-closeout.csv; LCSC C94934 EasyEDA footprint source reviewed,Bound,Reviewed,USBLC6-2SC6 preferred,FOOTPRINT_BOUND,Keep TPD2EUSB30ADRTR alternate footprint available and bind only if preferred USB ESD path fails sourcing or SI review
Status RGB LED,Factory,Everlight 19-237/R6GHBHC-A01/2T class,SMD-4P 1.6x1.6mm,hardware/front-board/FB-100/kicad/lib/FB100.pretty/LED-ARRAY-SMD_4P-L1.6-W1.6-BL_1.kicad_mod; FB-100-footprint-binding-closeout.csv; LCSC C60105 EasyEDA footprint source reviewed,Bound,Reviewed,Everlight 19-237/R6GHBHC-A07/M01/M07 alternates or built-in-IC RGB LED class,FOOTPRINT_BOUND,Bind status RGB symbol after common-anode drive polarity current limits and optical orientation are reviewed
Channel LEDs,Factory,KT-0805Y or KT-0603R class discrete indicator LED,0805 preferred or 0603 alternate,hardware/front-board/FB-100/kicad/lib/FB100.pretty/LED0805-R-RD.kicad_mod; hardware/front-board/FB-100/kicad/lib/FB100.pretty/LED-SMD_L1.6-W0.8-R-RD.kicad_mod; FB-100-footprint-binding-closeout.csv; JLCPCB C2296/C2286 EasyEDA footprint sources reviewed,Bound,Reviewed,0603 0805 or 1206 color alternates with same role-free labeling,FOOTPRINT_BOUND,Bind channel LED symbols after exact color brightness resistor values polarity and light-pipe fit are reviewed
FPC connector,Factory,AFC07-S24ECA-00,0.5mm 24P right-angle FFC/FPC,hardware/front-board/FB-100/kicad/lib/FB100.pretty/FPC-SMD_AFC07-S24ECA-00.kicad_mod; FB-100-footprint-binding-closeout.csv; JLCPCB C262643 EasyEDA footprint source reviewed,Bound,Reviewed,FPC-05F-24PH20 alternate,FOOTPRINT_BOUND,Bind JFB1 to FB100:FPC-SMD_AFC07-S24ECA-00 after FFC same-side or reverse cable orientation is reviewed against LB-100
FFC cable,Garage,FFC 24P 0.5mm same-side cable,Garage cable item,No PCB footprint required because the cable is a garage-installed mating item,Not required,Not required,24P 1.0mm cable fallback,NO_FOOTPRINT_REQUIRED,Keep cable length and same-side or reverse orientation in mechanical envelope and garage kit review
Service button,Factory,EVPBB4A9B000,IP67 tactile switch,hardware/front-board/FB-100/kicad/lib/FB100.pretty/KEY-SMD_L2.6-W1.6-P0.75-LS3.0.kicad_mod; hardware/front-board/FB-100/kicad/lib/FB100.pretty/SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H3.5.kicad_mod; FB-100-footprint-binding-closeout.csv; JLCPCB C140848/C318884 switch sources reviewed,Bound,Reviewed,TS-1187A-B-A-B alternate,FOOTPRINT_BOUND,Bind service button preferred footprint and verify actuator height cap stack and seal compression in enclosure review
Reset button,Factory,EVPBB4A9B000 or TS-1187A-C-G-B,Tactile switch,hardware/front-board/FB-100/kicad/lib/FB100.pretty/KEY-SMD_L2.6-W1.6-P0.75-LS3.0.kicad_mod; hardware/front-board/FB-100/kicad/lib/FB100.pretty/SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H3.5.kicad_mod; FB-100-footprint-binding-closeout.csv; JLCPCB C140848/C318886 switch sources reviewed,Bound,Reviewed,Low-profile or taller XKB switch alternate,FOOTPRINT_BOUND,Bind reset button footprint only with reset/boot ownership reviewed and verify reset cannot enable outputs
