Precheck ID,Scope,Required evidence bridge,Project input,Required PB-100 close evidence,Blocked action
GAR-CLS-001,Garage-owned critical key closeout,"PB-100-assembly-readiness-trace.csv PB-100-garage-install-freeze-checklist.csv PB-100-garage-install-sourcing-precheck.csv production/bom/pb100_symbol_bom_map.csv and production/bom/garage_bom_draft.csv keep INPUT_CONNECTOR OUTPUT_CONNECTOR OUTPUT_FUSE_HOLDER and MAIN_FUSE_HOLDER as user-installed garage scope with no PCB-mounted connector or fuse-holder migration","Garage-owned critical keys remain Conditional until exact connector fuse holder wire seal tooling and enclosure evidence closes","Garage-owned symbol key BOM owner sourcing recheck service boundary and schematic notes agree before schematic freeze","Do not move connectors fuse holders main fuse or the 50A battery input connection onto PB-100 PCB without review"
GAR-CLS-002,Battery input and main fuse closeout,"Battery input remains a ring-lug battery lead to a near-battery MAXI 50A holder then high-current sealed harness entry or serviceable gland; DT and DTP are excluded for the 50A input path; 6mm2 / 10AWG and 6 mm2 / 10 AWG or larger wire remains required","PB-100-board-current-budget-closeout-precheck.csv PB-100-garage-connector-fuse-plan.md PB-100-garage-connector-fuse-plan.csv and garage_bom_draft.csv remain linked","50A path current rating wire gauge cable seal strain relief install distance service access and main fuse holder evidence close before lock","Do not use DT DTP PCB terminal blocks board copper connector footprints or PB-100 copper as the 50A battery input path"
GAR-CLS-003,Output connector class closeout,"OUT1 and OUT2 stay on DEUTSCH DTP DTP 2-pin size 12 25A contact class because DT 13A class is too close for 15A and 20A fuse classes; OUT3 through OUT10 stay on DEUTSCH DT DT 2-pin size 16 13A contact class","PB-100-garage-connector-fuse-plan.csv production/bom/garage_bom_draft.csv and production/bom/pb100_sourcing_evidence_snapshot.csv remain primary evidence","Each output connector class has current margin contact seal wire gauge derating purchase kit and service evidence before exact MPN lock","Do not lock output connector exact MPNs or move output connectors onto PCB before derating and purchase-kit evidence close"
GAR-CLS-004,Signal connector class closeout,"CAN/service stays DEUTSCH DTM DTM 4-pin and external inputs stay DEUTSCH DTM DTM 8-pin with size 20 7.5A contacts for signal current only; DTM must not carry PB-100 output power","PB-100-garage-connector-fuse-plan.md PB-100-garage-connector-fuse-plan.csv and docs/testing/test-plan.md remain linked","Signal connector keying pin count wire gauge and service separation are reviewed before schematic freeze","Do not route output power through DTM or use DTM as a fuse battery input or output-power connector substitute"
GAR-CLS-005,User-serviceable fuse closeout,"Per-channel fuses stay MINI/ATO blade fuse family for 5A 10A 15A and 20A outputs while the main harness fuse stays MAXI 50A near battery with service cover or external fuse-block access and spare-fuse handling","PB-100-garage-connector-fuse-plan.md PB-100-garage-connector-fuse-plan.csv production/bom/garage_bom_draft.csv and PB-BENCH-015 remain linked","Fuse holder current derating heat behavior access spare-fuse handling and vibration inspection close before schematic freeze","Do not bury fuses inside sealed electronics volume or replace user-serviceable fuses with PCB-only protection"
GAR-CLS-006,Purchase-ready kit closeout,"Final garage lock requires exact plug/receptacle housings contacts seals wedgelocks boots backshells crimp tool insertion/removal tool spare contacts and supplier evidence for TE DEUTSCH DTP DT DTM plus Littelfuse MAXI MINI/ATO families; the plan does not freeze exact connector MPNs yet","PB-100-garage-install-sourcing-precheck.csv production/bom/pb100_sourcing_evidence_snapshot.csv and production/bom/pb100_assembly_sourcing_recheck.csv remain source inputs","Connector fuse wire seal tooling and spare purchases are traceable to current source evidence and matched kits before order","Do not order partial connector kits without matched housings contacts seals wedgelocks tooling and spare contacts"
GAR-CLS-007,Wire gauge and harness closeout,"Garage BOM keeps 6 mm2 / 10 AWG or larger for battery and main fuse path 2.5-4 mm2 / 14-12 AWG for high-load DTP and medium DT outputs as contact range allows and 0.5-1.0 mm2 / 20-18 AWG for signals/CAN only","production/bom/garage_bom_draft.csv PB-100-board-current-budget-freeze-review.csv PB-100-board-current-budget-closeout-precheck.csv and PB-100-garage-connector-fuse-plan.md remain linked","Wire gauge contact range harness route temperature bundling length fuse rating and strain relief are reviewed together before schematic freeze","Do not size wiring from fuse rating alone or mix signal wire with output power paths"
GAR-CLS-008,Enclosure service and vibration closeout,"Garage install keeps user-installed ASA/PETG printed or machined enclosure 2 mm silicone gasket M3 hardware removable service cover cable gland or sealed harness entry strain relief and PB-BENCH-015 vibration inspection","production/bom/garage_bom_draft.csv docs/testing/test-plan.md and PB-100-garage-connector-fuse-plan.md remain linked","Fuse access connector service cable sealing enclosure fit vibration inspection and serviceability close before first motorcycle power","Do not release PCB outline mounting connector placement assumptions enclosure CAD release or service-cover design before enclosure service review"
GAR-CLS-009,BOM and source evidence closeout,"production/bom/garage_bom_draft.csv production/bom/pb100_symbol_bom_map.csv production/bom/pb100_assembly_sourcing_recheck.csv production/bom/pb100_sourcing_evidence_snapshot.csv PB-100-garage-connector-fuse-plan.md PB-100-garage-connector-fuse-plan.csv PB-100-assembly-readiness-trace.csv and PB-100-board-release-blocker-register.csv stay synchronized for INPUT_CONNECTOR OUTPUT_CONNECTOR OUTPUT_FUSE_HOLDER and MAIN_FUSE_HOLDER","2026-07-17 garage source evidence remains Open: until exact connector fuse wire seal tooling and enclosure evidence close","Garage BOM ownership source evidence service scope and release blocker agree before connector fuse wire seal tooling or enclosure purchases","Do not place connector fuse wire seal tooling or enclosure orders from mismatched garage BOM sourcing evidence or assembly trace rows"
GAR-CLS-010,No-layout manufacturing boundary,"Garage closeout is schematic-review evidence only: No PCB layout PB-100.kicad_pcb Gerbers drills pick-place connector footprints fuse-holder footprints enclosure CAD release fabrication package manufacturing output manufacturing ZIP or PCBA order package is authorized until all freeze gates close","PB-100-schematic-freeze-checklist.md PB-100-board-release-blocker-register.csv tools/validate_pb100.py and repository manufacturing-output scan remain controlling evidence","Repository contains no layout connector/fuse-holder footprints enclosure release or manufacturing output and garage readiness cannot bypass schematic freeze layout authorization or board-print NO-GO status","Do not create PB-100.kicad_pcb Gerbers drills pick-place connector footprints fuse-holder footprints enclosure CAD release manufacturing output manufacturing ZIP fabrication package or PCBA order package before schematic freeze"
