Precheck ID,Scope,Required evidence bridge,Project input,Required PB-100 close evidence,Blocked action
LOGIC-CLS-001,Regulator family source boundary,"LM5164-Q1-class 100 V 1 A remains the preferred PB_5V_OUT regulator LM5013-Q1-class 100 V 3.5 A remains the fallback and TPS54360B-Q1-class 60 V remains conditional on TVS margin load-dump stress and PBREL-007 closeout","PB-100-logic-power-value-freeze-checklist.csv; PB-100-logic-power-value-derivation-precheck.csv; PB-100-tvs-overshoot-closeout-precheck.csv","Regulator family selection records source revision orderability load budget TVS margin and factory sourcing evidence before schematic freeze","Do not select TPS54360B-Q1-class default or lock LOGIC_BUCK footprint before 100 V versus 60 V stress review"
LOGIC-CLS-002,PB_5V_OUT load budget bridge,"PB_5V_OUT remains a 1000 mA budget rail with 500 mA LB-100 allocation and 500 mA PB-side allocation while PB_5V_OUT must not power accessory loads","PB-100-logic-power-budget.csv; hardware/logic-board/LB-100/LB-100-power-budget-precheck.md; PB-100-b2b-lb100-resource-binding.csv","LB-100 rail tree proves active sleep startup interface pull-up and 500 mA allocation or PB-100 migrates to LM5013-Q1-class","Do not keep LM5164-Q1-class final if sustained PB_5V_OUT budget exceeds 1 A"
LOGIC-CLS-003,Protected input transient bridge,"VBAT_PROT feeds U3 VIN after reverse protection TVS and shunt sequencing with 2.2µF 100V X7R 0.1µF bypass and 10µF 100V bulk candidate pending load-dump overshoot EMI and damping review","PB-100-input-power-design-values.csv; PB-100-tvs-overshoot-closeout-precheck.csv; PB-100-logic-power-design-values.csv","Input filter capacitor voltage DC-bias surge damping and conducted-noise evidence closes against accepted TVS overshoot evidence","Do not connect U3 VIN to VBAT_RAW or lock CIN footprint before transient and EMI review"
LOGIC-CLS-004,Cold-crank UVLO safe-off bridge,"BUCK_EN_UVLO 332kΩ high-side 100kΩ low-side about 6.48 V rising UVLO and 4.75 V shutdown keeps OUT1..OUT10 default off while PB_5V_OUT or LB_3V3_IO is invalid","PB-100-logic-power-design-calculation.md; PB-100-fault-response-matrix.csv; PB-100-logic-power-design-values.csv","Cold-crank brownout reset rail-invalid and PB_PWR_GOOD behavior keep outputs disabled until valid rails are present","Do not enable outputs from firmware or hardware when PB_5V_OUT or LB_3V3_IO is invalid"
LOGIC-CLS-005,RON feedback bootstrap bridge,"BUCK_RON_SET 41.2kΩ targets about 300kHz BUCK_FB 158kΩ and 49.9kΩ targets about 5.0V from 1.2V reference and BUCK_BST uses 2.2nF 50V X7R","PB-100-logic-power-design-calculation.md; PB-100-logic-buck-pin-template.csv; PB-100-logic-power-design-values.csv","RON feedback bootstrap tolerance leakage EMI voltage-derating startup no-load and load-step evidence closes before value lock","Do not lock resistor capacitor or footprint values from candidate math alone"
LOGIC-CLS-006,Inductor output capacitor stability bridge,"L1 47µH shielded AEC-Q200 candidate Isat at least 2.2A Irms at least 1.2A and COUT 2x22µF 10V X7R plus 0.1µF require DC-bias load-step stability DCR thermal and sourcing review","PB-100-logic-power-design-values.csv; PB-100-logic-power-design-calculation.md; production/bom/factory_bom_draft.csv","Selected LOGIC_BUCK_INDUCTOR and COUT packages have saturation RMS DCR thermal load-step effective capacitance and sourcing evidence","Do not lock L1 COUT package footprint or placement before regulator values and sourcing close"
LOGIC-CLS-007,Power-good interface bridge,"PB_PWR_GOOD uses 47kΩ pull-up to LB_3V3_IO with optional 10nF DNP filter and must not assert before PB_5V_OUT is stable","PB-100-logic-power-rail-trace.csv; hardware/logic-board/LB-100/LB-100-power-budget-precheck.md; PB-100-fault-response-matrix.csv","PGOOD pull-up domain timing filter LB-100 reset interpretation and invalid-rail fault response close before schematic freeze","Do not treat PB_PWR_GOOD as valid rail evidence before timing and pull-up domain review"
LOGIC-CLS-008,Switch-node EMI bridge,"BUCK_SW damping remains a DNP RC snubber footprint candidate only while switch-node ringing input-filter EMI conducted-noise assumptions and layout parasitics remain schematic-review items","PB-100-logic-power-freeze-review.csv; PB-100-logic-power-design-values.csv; PB-100-schematic-capture-work-queue.csv","Bench or simulation evidence defines snubber population input-filter changes conducted-noise and switch-node ringing assumptions before value lock","Do not place switch-node copper snubber EMI geometry or thermal-pad vias before schematic freeze"
LOGIC-CLS-009,Factory sourcing bridge,"LOGIC_BUCK and LOGIC_BUCK_INDUCTOR remain JLCPCB PCBWay sourcing recheck items with LM5164QDDATQ1 LM5164QDDARQ1 LM5013-Q1 TPS54360B-Q1 and AEC-Q200 shielded inductor alternatives","PB-100-assembly-readiness-trace.csv; production/bom/pb100_assembly_sourcing_recheck.csv; production/bom/pb100_sourcing_evidence_snapshot.csv","U3 L1 CIN COUT and PGOOD parts have active source evidence at least two critical alternatives package review and schematic freeze approval","Do not generate pick-place or assembly outputs before logic-power sourcing recheck and schematic freeze"
LOGIC-CLS-010,No-layout manufacturing boundary,"This closeout precheck is schematic-review evidence only: No PCB layout PB-100.kicad_pcb U3 placement L1 placement CIN placement COUT placement switch-node copper thermal-pad vias Gerbers drills pick-place manufacturing ZIP or logic footprint placement is authorized","PB-100-schematic-freeze-checklist.md; PB-100-board-release-blocker-register.csv; tools/validate_pb100.py","Repository remains free of logic-power layout and manufacturing outputs until every freeze gate closes","Do not create PB-100.kicad_pcb Gerbers drills pick-place U3 placement L1 placement switch-node copper thermal-pad vias manufacturing ZIP or logic footprint placement before schematic freeze"
