Precheck ID,Scope,Required evidence bridge,Project input,Required PB-100 close evidence,Blocked action
GAR-SRC-001,Garage-owned key boundary,"PB-100-assembly-readiness-trace.csv and PB-100-garage-install-freeze-checklist.csv keep INPUT_CONNECTOR OUTPUT_CONNECTOR OUTPUT_FUSE_HOLDER and MAIN_FUSE_HOLDER as user-installed garage scope with no PCB-mounted connector or fuse-holder migration","production/bom/pb100_symbol_bom_map.csv; production/bom/garage_bom_draft.csv; production/bom/pb100_assembly_sourcing_recheck.csv","Garage-owned critical keys match assembly trace BOM map and sourcing rows before schematic freeze","Do not move connectors fuse holders main fuse or the 50A battery input connection onto PB-100 PCB without review"
GAR-SRC-002,Battery input and main fuse path,"Battery input remains a ring-lug battery lead to a near-battery MAXI 50A holder then high-current sealed harness entry or serviceable gland; DT and DTP are excluded for the 50A input path","PB-100-garage-connector-fuse-plan.md; PB-100-garage-connector-fuse-plan.csv; production/bom/garage_bom_draft.csv","50A path current rating 6mm2 / 10AWG and 6 mm2 / 10 AWG or larger wire gauge cable seal strain relief install distance and service access close before lock","Do not use DT DTP PCB terminal blocks board copper or PCB connector footprints as the 50A battery input path"
GAR-SRC-003,Output connector class boundary,"OUT1 and OUT2 stay on DEUTSCH DTP 2-pin size 12 25A contact class; OUT3 through OUT10 stay on DEUTSCH DT 2-pin size 16 13A contact class and DT 13A class is too close for 15A and 20A fuse outputs","PB-100-garage-connector-fuse-plan.csv; production/bom/garage_bom_draft.csv; production/bom/pb100_sourcing_evidence_snapshot.csv","Each output connector has current margin contact seal wire gauge and service evidence before purchase or schematic freeze","Do not lock output connector exact MPNs or move output connectors onto PCB before derating review"
GAR-SRC-004,Signal connector class boundary,"CAN/service stays DEUTSCH DTM 4-pin; general external inputs stay DEUTSCH DTM 8-pin; all use size 20 7.5A contacts for signal current only; the double fog switch uses a dedicated sealed DTM04-3P/DTM06-3S pair with pin order SW_GND FOG_A_SW_IN FOG_B_SW_IN","PB-100-garage-connector-fuse-plan.md; PB-100-garage-connector-fuse-plan.csv; PB-100-fog-switch-interface.md; docs/testing/test-plan.md","Signal connectors remain separated from output power and CAN/service wiring; fog wire colors and contact type are recorded by offline measurement before loom finalization","Do not route output power through DTM or crimp the fog loom before the switch state table is reviewed"
GAR-SRC-005,User-serviceable fuse boundary,"Per-channel fuses stay MINI/ATO for 5A 10A 15A and 20A outputs while main harness fuse stays MAXI 50A near battery with service cover or external fuse-block access and spare-fuse handling","PB-100-garage-connector-fuse-plan.md; PB-100-garage-connector-fuse-plan.csv; production/bom/garage_bom_draft.csv","Fuse holder current derating heat behavior enclosure access service cover and spare-fuse handling close before schematic freeze","Do not bury fuses inside sealed electronics volume or replace user-serviceable fuses with PCB-only protection"
GAR-SRC-006,Purchase-ready kit evidence,"Final garage lock requires exact plug/receptacle housings contacts seals wedgelocks boots backshells crimp tool insertion/removal tool spare contacts and supplier evidence for TE DEUTSCH DTP DT DTM plus Littelfuse MAXI MINI/ATO families; PB-100-garage-purchase-kit-candidates.csv adds 2026-07-20 candidate kit evidence but the plan does not freeze exact connector MPNs yet","PB-100-garage-connector-fuse-plan.md; PB-100-garage-purchase-kit-candidates.csv; production/bom/pb100_sourcing_evidence_snapshot.csv; production/bom/pb100_assembly_sourcing_recheck.csv","Connector and fuse purchases are traceable to current source evidence candidate kit rows matched tooling and service spares before order","Do not order partial connector kits without matched housings contacts seals wedgelocks tooling and spare contacts"
GAR-SRC-007,Wire gauge and harness derating,"Garage BOM keeps 6 mm2 / 10 AWG or larger for battery and main fuse path 2.5-4 mm2 / 14-12 AWG for high-load DTP and medium DT outputs as contact range allows and 0.5-1.0 mm2 / 20-18 AWG for signals/CAN only","production/bom/garage_bom_draft.csv; PB-100-board-current-budget-freeze-review.csv; PB-100-garage-connector-fuse-plan.md","Wire gauge contact range harness route temperature bundling length fuse rating and strain relief are reviewed together before schematic freeze","Do not size wiring from fuse rating alone or mix signal wire with output power paths"
GAR-SRC-008,Enclosure service and vibration boundary,"Garage install keeps enclosure hardware as user-installed ASA/PETG printed or machined enclosure 2 mm silicone gasket M3 hardware removable service cover cable gland or sealed harness entry strain relief and PB-BENCH-015 vibration inspection","production/bom/garage_bom_draft.csv; docs/testing/test-plan.md; PB-100-garage-connector-fuse-plan.md","Fuse access connector service cable sealing enclosure fit vibration inspection and serviceability are practical before first motorcycle power","Do not release PCB outline mounting connector placement assumptions or enclosure CAD release before enclosure service review"
GAR-SRC-009,BOM and source evidence synchronization,"production/bom/garage_bom_draft.csv production/bom/pb100_symbol_bom_map.csv production/bom/pb100_assembly_sourcing_recheck.csv production/bom/pb100_sourcing_evidence_snapshot.csv PB-100-garage-connector-fuse-plan.md PB-100-garage-connector-fuse-plan.csv and PB-100-assembly-readiness-trace.csv stay synchronized for INPUT_CONNECTOR OUTPUT_CONNECTOR OUTPUT_FUSE_HOLDER and MAIN_FUSE_HOLDER","2026-07-17 garage source evidence remains Open: until exact connector fuse wire seal tooling and enclosure evidence close","Garage BOM ownership source evidence and service scope agree before connector fuse or enclosure purchases","Do not place connector fuse wire seal tooling or enclosure orders from mismatched garage BOM sourcing evidence or assembly trace rows"
GAR-SRC-010,No-layout manufacturing boundary,"Garage install sourcing precheck is schematic-review evidence only: No PCB layout PB-100.kicad_pcb Gerbers drills pick-place connector footprints fuse-holder footprints enclosure CAD release or manufacturing output is authorized","PB-100-schematic-freeze-checklist.md; PB-100-board-release-blocker-register.csv; tools/validate_pb100.py","Repository remains free of PCB layout connector/fuse-holder footprints enclosure release and manufacturing outputs until all freeze gates close","Do not create PB-100.kicad_pcb Gerbers drills pick-place connector footprints fuse-holder footprints enclosure CAD release or manufacturing output before schematic freeze"
