Derivation ID,Scope,Formula or source basis,Project input,Required PB-100 close evidence,Blocked action
LOGIC-DER-001,Regulator family source boundary,"TI LM5164-Q1 product page and datasheet keep the preferred path at 6 V to 100 V input 1 A synchronous buck; TI LM5013-Q1 keeps the 6 V to 100 V 3.5 A fallback; TPS54360B-Q1 remains a 60 V conditional alternate only after TVS margin review","PB_5V_OUT 1000 mA budget; LM5164QDDATQ1 preferred; LM5164QDDARQ1 package alternate; LM5013-Q1 fallback; TPS54360B-Q1 conditional","Regulator family selection cites orderability load budget TVS margin and factory sourcing evidence","Do not select TPS54360B-Q1-class default or lock LOGIC_BUCK footprint before 100 V versus 60 V stress review"
LOGIC-DER-002,PB_5V_OUT load budget bridge,"Budget equation requires LB-100 allocation plus PB-side controllers sensors expansion and design margin to stay within 1000 mA or migrate to LM5013-Q1-class","500 mA LB-100 allocation; 500 mA PB-side allocation; PB_5V_OUT must not power accessory loads; hardware/logic-board/LB-100/LB-100-power-budget-precheck.md","LB-100 rail tree proves the 500 mA allocation including active sleep startup and interface pull-up states before schematic freeze","Do not keep LM5164-Q1-class as final if sustained PB_5V_OUT budget exceeds 1 A"
LOGIC-DER-003,Protected input and transient stress,"U3 VIN must be fed by VBAT_PROT after LM74930-Q1 active cutoff Q1 and total-current shunt sequencing; input capacitors must be checked against cutoff-loop overshoot and EMI damping","2.2µF 100V X7R local input capacitor; 0.1µF local bypass; 10µF 100V bulk candidate; PB-100-tvs-overshoot-validation-precheck.csv","Input filter capacitor voltage DC-bias surge damping and conducted-noise evidence is accepted against extracted overshoot validation","Do not connect U3 VIN to VBAT_RAW or VBAT_REV_PROT or lock CIN footprint before transient and EMI review"
LOGIC-DER-004,Cold-crank UVLO derivation,"UVLO threshold uses VIN = VEN * (RUV_TOP + RUV_BOT) / RUV_BOT with LM5164 EN/UVLO start and shutdown thresholds","RUV_TOP 332kΩ; RUV_BOT 100kΩ; about 6.48 V rising UVLO; about 4.75 V shutdown; OUT1..OUT10 default off while PB_5V_OUT or LB_3V3_IO is invalid","Cold-crank bench or simulation evidence covers resistor tolerance leakage noise reset behavior and PB_PWR_GOOD timing","Do not lock BUCK_EN_UVLO values or enable outputs while logic rails are invalid"
LOGIC-DER-005,RON switching-frequency derivation,"LM5164 constant-on-time estimate uses fSW ≈ VOUT × 2500 / RRON(kΩ) and requires final input-range EMI and efficiency review","RRON 41.2kΩ targets about 300kHz for 5.0 V PB_5V_OUT","Switching frequency efficiency thermal conducted-noise and load-step evidence closes before value lock","Do not lock BUCK_RON_SET from candidate math alone"
LOGIC-DER-006,Feedback divider derivation,"Feedback equation uses VOUT = VFB × (1 + RFB_TOP / RFB_BOT) with the LM5164 1.2V reference","RFB_TOP 158kΩ; RFB_BOT 49.9kΩ; target about 5.0V; PB_5V_OUT tolerance must support LB-100 and PB-side low-power circuits","Tolerance leakage no-load regulation startup and load-step evidence closes against the final LB-100 rail tree","Do not lock BUCK_FB values before tolerance and load-step review"
LOGIC-DER-007,Bootstrap and PGOOD interface,"LM5164 bootstrap requirement uses 2.2nF 50V X7R from BST to SW; PGOOD is open-drain with datasheet pull-up range and LB_3V3_IO domain timing review","BUCK_BST 2.2nF 50V X7R; PB_PWR_GOOD 47kΩ pull-up to LB_3V3_IO; optional 10nF DNP filter","Bootstrap voltage derating placement timing filter and LB-100 reset interpretation evidence closes before schematic freeze","Do not treat PB_PWR_GOOD as valid before PB_5V_OUT is stable or before pull-up domain review"
LOGIC-DER-008,Inductor and output capacitor precheck,"Inductor ripple peak current saturation DCR thermal and capacitor effective capacitance must be checked after final switching frequency and load budget are accepted","L1 47µH shielded AEC-Q200 candidate; Isat at least 2.2A; Irms at least 1.2A; COUT 2x22µF 10V X7R plus 0.1µF with DC-bias review","Selected LOGIC_BUCK_INDUCTOR and COUT package have saturation RMS DCR thermal load-step and sourcing evidence","Do not lock L1 COUT package footprint or placement before regulator values and sourcing close"
LOGIC-DER-009,Switch-node EMI and snubber boundary,"BUCK_SW damping must be based on switch-node ringing conducted-emissions and input-filter interaction evidence after schematic values and expected layout parasitics are understood","DNP RC snubber footprint candidate only; no default population; switch-node EMI review remains open","Bench or simulation evidence defines any snubber population and conducted-noise filter changes before values are locked","Do not place switch-node copper snubber or EMI geometry before schematic freeze"
LOGIC-DER-010,Factory sourcing and no-layout boundary,"LOGIC_BUCK and LOGIC_BUCK_INDUCTOR remain JLCPCB PCBWay sourcing recheck items with critical alternatives and no layout authorization","LM5164QDDATQ1; LM5164QDDARQ1; LM5013-Q1; TPS54360B-Q1; AEC-Q200 shielded inductor alternatives","U3 L1 CIN COUT and PGOOD parts have active source evidence alternates package review and schematic freeze approval","Do not create PB-100.kicad_pcb Gerbers drills pick-place manufacturing ZIP switch-node copper or thermal-pad vias from this precheck"
