Derivation ID,Scope,Formula or source basis,Project input,Required PB-100 close evidence,Blocked action
BUDGET-DER-001,Requirement boundary,"ADR-0008 keeps the 50A main harness fuse 50 A main fuse review point 40 A board continuous-current target 40 A default total_current_limit_a 82 A summed output limits and configuration separate from firmware","docs/adr/ADR-0008-pb-100-current-budget.md; firmware/configs/config-example.json; PB-100-board-current-budget-value-freeze-checklist.csv","Requirements capability config and firmware tests agree before schematic freeze","Do not change current budget targets or hard-code budget behavior outside configuration"
BUDGET-DER-002,Protected high-current path sequence,"Battery path remains VBAT_RAW to INPUT_REVERSE_FET to VBAT_REV_PROT to TOTAL_CURRENT_SHUNT 0.5mΩ to VBAT_PROT before output fuses and high-side distribution","PB-100-schematic-net-domain-plan.csv; PB-100-input-protection-pin-contract.csv; PB-100-input-power-design-values.csv","Total current measurement cannot bypass reverse protection and firmware-visible budget enforcement","Do not route current around Q1 shunt fuses or protected rail review"
BUDGET-DER-003,Total shunt operating points,"Use Vshunt = I * Rshunt and Pshunt = I^2 * Rshunt for the 0.5mΩ total-current shunt","20mV and 0.8W at 40A; 25mV and 1.25W at 50A; 30mV and 1.8W at 60A; 0-60 A range","Shunt resistance package power temperature rise Kelvin footprint and current telemetry calibration evidence close together","Do not change TOTAL_CURRENT_SHUNT resistance package or range without updating board-current budget and telemetry calibration"
BUDGET-DER-004,Q1 thermal operating points,"INPUT_REVERSE_FET Q1 uses selected BUK7S1R2-80M 80 V LFPAK88 with 2.4mΩ hot-review resistance and 3.84 W at 40 A; IAUTN08S5N012L 80 V TOLL and BUK7J2R4-80M 80 V LFPAK56E remain non-drop-in alternatives; former 60 V paths are rejected","PB-100-input-reverse-package-trace.csv; PB-100-input-reverse-q1-derivation-precheck.csv; PB-100-thermal-estimates.csv","Q1 package SOA fuse energy copper path thermal path and assembly sourcing evidence close before footprint or copper lock","Do not lock Q1 copper strategy from nominal dissipation math alone or substitute a different package without controlled review"
BUDGET-DER-005,Copper pre-layout loss boundary,"Every 1 mΩ in the protected high-current path dissipates 1.6 W at 40 A and 2.5 W at 50 A before shunt Q1 connector and copper losses are closed","PB-100-board-current-budget-design-calculation.md; PB-100-kicad-prep.md","Copper resistance thermal rise connector heating and shunt copper are reviewed before layout authorization","Do not create high-current copper shunt copper Q1 copper widths vias or placement before schematic freeze"
BUDGET-DER-006,Garage fuse connector and wire derating,"MAXI near-battery fuse INPUT_CONNECTOR MAIN_FUSE_HOLDER and 6mm2 / 10AWG candidate battery wire remain garage-installed and derated with no DT/DTP 50 A input connector assumption","PB-100-garage-install-freeze-checklist.csv; PB-100-garage-install-sourcing-precheck.csv; production/bom/garage_bom_draft.csv","50 A fuse holder wire gauge cable seal strain relief service access and install distance close before schematic freeze","Do not move battery input connector main fuse holder or high-current garage interface onto the PCB without review"
BUDGET-DER-007,Firmware budget enforcement,"power_budget and total_current_limit_a enforce the 40 A board budget using configured shed priorities with PB-BENCH-010 and stale telemetry denial evidence","firmware/tests/test_power_budget.c; firmware/tests/test_rule_runtime.c; firmware/configs/config-example.json","Firmware refuses startup or sheds lower-priority outputs from configuration and denies stale or missing current telemetry before first motorcycle power","Do not rely on accessory roles or firmware constants instead of configuration-owned current budget"
BUDGET-DER-008,Telemetry enforcement bridge,"IIN_SENSE IIN_SHUNT_HI and IIN_SHUNT_LO provide protected total-current feedback through Kelvin sensing with ADC or I2C calibration tied to current telemetry review","PB-100-current-telemetry-value-derivation-precheck.csv; PB-100-current-telemetry-freeze-review.csv; PB-100-current-telemetry-map.csv","PB-BENCH-006 verifies independent total input current telemetry and calibration before first motorcycle power","Do not close board current budget without total-current telemetry range calibration and Kelvin evidence"
BUDGET-DER-009,Factory garage sourcing bridge,"INPUT_REVERSE_FET TOTAL_CURRENT_SHUNT INPUT_CONNECTOR and MAIN_FUSE_HOLDER stay synchronized across factory_bom_draft.csv garage_bom_draft.csv and pb100_assembly_sourcing_recheck.csv","production/bom/factory_bom_draft.csv; production/bom/garage_bom_draft.csv; production/bom/pb100_assembly_sourcing_recheck.csv","Factory shunt Q1 sourcing and garage fuse connector sourcing remain date-stamped and owner-matched before BOM lock","Do not lock factory or garage BOM rows from stale or mismatched sourcing evidence"
BUDGET-DER-010,No-layout manufacturing boundary,"Board-current derivation is schematic-review evidence only: No PCB layout PB-100.kicad_pcb Gerbers drills pick-place high-current copper shunt copper Q1 copper connector placement or manufacturing ZIP is authorized","PB-100-schematic-freeze-checklist.md; PB-100-board-release-blocker-register.csv; tools/validate_pb100.py","Repository remains free of layout and manufacturing outputs while board-current review is conditional","Do not create PB-100.kicad_pcb Gerbers drills pick-place high-current copper shunt copper Q1 copper connector placement or manufacturing output before schematic freeze"
