Design item,Related net,Value status,Candidate direction,Freeze dependency,Notes
Input filter,VBAT_PROT,Candidate TBD not final,2.2µF 100V X7R plus local 0.1µF and 10µF 100V automotive bulk candidate from PB-100-logic-power-design-calculation.md; retains surge-tolerant input capacitance review token,Close conducted-noise input damping and load-dump stress review before schematic freeze,Must remain after reverse protection and no switch-node layout before freeze
UVLO divider,BUCK_EN_UVLO,Candidate TBD not final,332kΩ high-side and 100kΩ low-side candidate gives about 6.48V rising UVLO and 4.75V shutdown from LM5164 thresholds,Close cold-crank behavior leakage and noise review before schematic freeze,Outputs default off if rail invalid
RON programming,BUCK_RON_SET,Candidate TBD not final,41.2kΩ 1% candidate targets about 300kHz at 5V using LM5164 COT estimate,Close frequency efficiency EMI and load budget before schematic freeze,Do not lock resistor value before review
Feedback divider,BUCK_FB,Candidate TBD not final,158kΩ high-side and 49.9kΩ low-side 0.1% candidate gives about 5.0V from 1.2V reference,Close tolerance leakage and no-load review before schematic freeze,PB_5V_OUT must not power accessory loads
Bootstrap capacitor,BUCK_BST,Candidate TBD not final,2.2nF 50V X7R candidate from LM5164 datasheet bootstrap requirement,Close bootstrap capacitor package voltage derating and placement review before schematic freeze,No footprint lock before review
Switch node damping,BUCK_SW,Candidate TBD not final,DNP RC snubber footprint candidate only no default population before ringing evidence,Close EMI and ringing review before schematic freeze,No layout geometry before freeze
Inductor,L1,Candidate TBD not final,47µH shielded AEC-Q200 inductor candidate with Isat at least 2.2A and Irms at least 1.2A sourcing floor,Close ripple saturation DCR thermal and package review before schematic freeze,Must sync with BOM buck inductor row
Output capacitors,PB_5V_OUT,Candidate TBD not final,2x22µF 10V X7R plus 0.1µF candidate with DC-bias derating review required,Close load-step stability and effective capacitance review before schematic freeze,Feeds LB-100 and PB-side low-power circuitry only
Power-good pull-up,PB_PWR_GOOD,Candidate TBD not final,47kΩ pull-up to LB_3V3_IO with optional 10nF DNP filter candidate,Close power-good timing pull-up domain and filter review before schematic freeze,Must not assert before PB_5V_OUT is stable
Higher-current fallback,PB_5V_OUT,Candidate TBD not final,Keep LM5013-Q1-class path if 1A PB_5V_OUT budget or LM5164QDDATQ1 orderability fails,Close load budget and sourcing before schematic freeze,Do not choose lower voltage margin without protection review
