Precheck ID,Scope,Required evidence bridge,Project input,Required PB-100 close evidence,Blocked action
BUDGET-CLS-001,Requirement and configuration bridge,"ADR-0008 keeps the 50A main harness fuse target 40 A board continuous-current target 40 A default total_current_limit_a 0-60 A telemetry range and 82 A summed output limits under budget arbitration","firmware/configs/hardware/pb-100-capabilities.json firmware/configs/config-example.json and firmware tests keep configuration separate from firmware","Requirements capability config firmware tests and schematic freeze checklist agree before layout authorization","Do not change current budget targets or hard-code budget behavior outside configuration"
BUDGET-CLS-002,Protected high-current path bridge,"Battery path remains near-battery 50 A MAXI fuse to garage-installed high-current harness entry to VBAT_RAW to INPUT_REVERSE_FET Q1 to VBAT_REV_PROT to TOTAL_CURRENT_SHUNT 0.5mΩ to VBAT_PROT before output fuses and high-side distribution","PB-100-schematic-net-domain-plan.csv PB-100-input-protection-pin-contract.csv PB-100-input-power-design-values.csv and PB-100-garage-install-freeze-checklist.csv keep the path explicit","Input connector Q1 shunt protected distribution output fuse sequence and firmware-visible budget enforcement close together","Do not route current around Q1 shunt fuses or protected rail review"
BUDGET-CLS-003,Main fuse connector and wire bridge,"Main harness fuse remains 50 A near battery with garage-installed MAXI holder 6mm2 / 10AWG or larger battery wire high-current sealed harness entry or serviceable gland and no DT/DTP battery input connector","PB-100-garage-connector-fuse-plan.md PB-100-garage-install-freeze-checklist.csv production/bom/garage_bom_draft.csv and PB-100-garage-install-sourcing-precheck.csv remain primary evidence","Fuse holder wire gauge cable seal crimp tooling strain relief service access and install distance close before schematic freeze","Do not move the 50 A input connector main fuse holder or high-current garage interface onto PB-100 PCB"
BUDGET-CLS-004,Q1 thermal path bridge,"INPUT_REVERSE_FET Q1 uses selected IAUT300N08S5N012ATMA2 80 V PG-HSOF-8-1 TOLL at 4.032 W at 40 A with IAUT300N08S5N014ATMA1 same-footprint TOLL and BUK7J2R4-80MX 80 V LFPAK56E as controlled alternatives; former IAUTN06S5N008 and SIDR626LDP 60 V paths are rejected","PB-100-input-q1-evidence.csv PB-100-input-reverse-package-trace.csv PB-100-input-reverse-q1-closeout-precheck.csv PB-100-thermal-estimates.csv and PB-100-board-current-budget-design-calculation.md stay linked","Q1 pre-layout package SOA fuse energy thermal TVS and assembly sourcing evidence passes; physical copper remains later","Do not lock Q1 copper strategy from nominal dissipation math alone or substitute a different package without controlled review"
BUDGET-CLS-005,Total shunt Kelvin and telemetry bridge,"TOTAL_CURRENT_SHUNT remains 0.5mΩ four-terminal AEC-Q200 class with Vshunt = I * Rshunt Pshunt = I^2 * Rshunt 20mV and 0.8W at 40A 25mV and 1.25W at 50A 30mV and 1.8W at 60A Kelvin sense and 0-60 A monitor range","PB-100-current-telemetry-closeout-precheck.csv PB-100-current-telemetry-value-freeze-checklist.csv PB-100-input-power-design-values.csv and production/bom/factory_bom_draft.csv remain primary evidence","Shunt resistance package power temperature rise Kelvin footprint copper heating sourcing and calibration evidence close before footprint lock","Do not replace Kelvin sensing with two-terminal measurement or skip shunt package heating review"
BUDGET-CLS-006,Protected copper pre-layout bridge,"Every 1mΩ future protected high-current path resistance dissipates 1.6W at 40A 2.5W at 50A and 3.6W at 60A but copper geometry remains layout-blocked","PB-100-board-current-budget-design-calculation.md PB-100-kicad-prep.md PB-100-schematic-capture-work-queue.csv and PB-100-schematic-freeze-checklist.md keep this as a constraint only","Copper resistance thermal rise connector heating shunt copper Q1 copper via strategy and thermal relief are reviewed only after schematic freeze","Do not create high-current copper shunt copper Q1 copper widths vias planes board outline or placement before schematic freeze"
BUDGET-CLS-007,Firmware budget enforcement bridge,"power_budget and total_current_limit_a enforce the 40 A board budget using configured shed priorities startup refusal load shedding and stale telemetry denial","firmware/tests/test_power_budget.c firmware/tests/test_rule_runtime.c firmware/configs/config-example.json firmware/configs/hardware/pb-100-capabilities.json and PB-100-fault-response-matrix.csv remain primary evidence","Firmware refuses startup or sheds configured lower-priority outputs and denies stale missing or implausible current telemetry before first motorcycle power","Do not rely on accessory roles firmware constants or summed output limits instead of configuration-owned current budget"
BUDGET-CLS-008,Telemetry enforcement and bench bridge,"Board-current enforcement uses dedicated total input telemetry through TOTAL_CURRENT_MONITOR TOTAL_CURRENT_SHUNT IIN_SENSE IIN_SHUNT_HI and IIN_SHUNT_LO with ADC or I2C calibration; summed per-output IMON alone is not acceptable","PB-100-current-telemetry-closeout-precheck.csv PB-100-current-telemetry-map.csv PB-100-fault-response-matrix.csv PB-100-post-prototype-validation-gate.csv PB-BENCH-006 and PB-BENCH-010 remain linked","Independent total input telemetry calibration hooks stale-fault behavior and 40 A refusal or shedding procedure close before schematic freeze; physical bench evidence closes before first-power release","Do not close board current budget without total-current telemetry range calibration hooks stale-fault behavior and Kelvin evidence; do not run first-power without bench records"
BUDGET-CLS-009,Factory garage BOM bridge,"INPUT_REVERSE_FET TOTAL_CURRENT_SHUNT INPUT_CONNECTOR MAIN_FUSE_HOLDER factory_bom_draft.csv garage_bom_draft.csv pb100_assembly_sourcing_recheck.csv and pb100_sourcing_evidence_snapshot.csv remain synchronized with owner split","Factory-owned Q1 shunt sourcing and garage-owned fuse connector wire sourcing remain date-stamped with at least two viable alternatives where critical","Factory and garage BOM rows sourcing evidence owner split and assembly responsibility close before BOM or footprint lock","Do not lock factory or garage BOM rows from stale mismatched or owner-confused sourcing evidence"
BUDGET-CLS-010,No-layout and manufacturing boundary,"Board-current closeout is schematic-review evidence only; No PCB layout PB-100.kicad_pcb Gerbers drills pick-place manufacturing ZIP high-current copper shunt copper Q1 copper connector placement or fabrication package is authorized","PB-100-schematic-freeze-checklist.md PB-100-board-release-blocker-register.csv tools/validate_pb100.py PB-100-schematic-capture-work-queue.csv and PB-100-post-prototype-validation-gate.csv keep layout authorization blocked until pre-layout evidence closes","Layout authorization remains blocked until connector shunt Q1 thermal path protected distribution telemetry bench hooks sourcing and freeze checklist close; physical bench execution is post-prototype","Do not create PB-100.kicad_pcb Gerbers drills pick-place manufacturing ZIP high-current copper shunt copper Q1 copper connector placement or fabrication package before schematic freeze"
