Check ID,Review item,Required close evidence,Primary artifacts,Pass condition,Blocked action
BUDGET-FRZ-001,Current-budget contract,"ADR-0008 stays binding: 50A main harness fuse target, 40 A board continuous-current target, 40 A default total_current_limit_a, 0-60 A telemetry range, and 82 A summed output limits accepted only through board-budget arbitration","docs/adr/ADR-0008-pb-100-current-budget.md; PB-100-board-current-budget-trace.csv; firmware/configs/hardware/pb-100-capabilities.json; firmware/configs/config-example.json","Board-current budget remains represented as a schematic and configuration contract before layout","Do not size board copper or raise total-current limit from summed output limits without current-budget review"
BUDGET-FRZ-002,High-current path sequence,"The protected current path stays battery positive to near-battery 50 A MAXI fuse to garage-installed high-current harness entry to VBAT_RAW to Q1 INPUT_REVERSE_FET to VBAT_REV_PROT to 0.5mΩ four-terminal shunt to VBAT_PROT to per-output fuse and high-side switch distribution","PB-100-board-current-budget-design-calculation.md; PB-100-schematic-net-domain-plan.csv; PB-100-input-protection-pin-contract.csv; PB-100-garage-install-freeze-checklist.csv","Input connector Q1 shunt protected distribution and output fuse sequence are explicit before schematic freeze","Do not reroute the 40 A path around Q1 shunt fuse or protected-rail review"
BUDGET-FRZ-003,Main fuse connector and wire derating,"Main harness fuse stays 50 A near battery with garage-installed MAXI holder, 6mm2 / 10AWG or larger battery wire candidate, high-current sealed harness entry or serviceable gland, and no DT/DTP battery input connector","PB-100-board-current-budget-freeze-review.csv; PB-100-garage-connector-fuse-plan.md; PB-100-garage-install-freeze-checklist.csv; production/bom/garage_bom_draft.csv","Connector current rating wire gauge cable seal crimp tooling strain relief and service access close before schematic freeze","Do not move the 50 A input connector onto PB-100 PCB or lock connector footprint before derating review"
BUDGET-FRZ-004,Q1 thermal path review,"INPUT_REVERSE_FET Q1 keeps IAUTN06S5N008ATMA1 TOLL / PG-HSOF-8-1 preferred path at 2.43 W at 40 A, 3.80 W at 50 A, 5.47 W at 60 A, with BUK7S1R2-80M LFPAK88 at 3.84 W at 40 A and dual SIDR626LDP PowerPAK fallback at 3.36 W total at 40 A","PB-100-board-current-budget-design-calculation.md; PB-100-input-reverse-package-trace.csv; PB-100-input-reverse-q1-freeze-checklist.csv; PB-100-thermal-estimates.csv","Q1 package SOA thermal assembly and alternate paths remain visible until 40 A review closes","Do not place Q1 footprint or route input copper before Q1 thermal and package evidence closes"
BUDGET-FRZ-005,Total shunt and Kelvin path,"TOTAL_CURRENT_SHUNT remains 0.5mΩ four-terminal AEC-Q200 class with 20mV and 0.8W at 40A, 25mV and 1.25W at 50A, 30mV and 1.8W at 60A, Kelvin sense, calibration plan, and 0-60 A monitor range","PB-100-board-current-budget-design-calculation.md; PB-100-current-telemetry-value-freeze-checklist.csv; PB-100-input-power-design-values.csv; production/bom/factory_bom_draft.csv","Four-terminal shunt package power Kelvin footprint copper heating sourcing and calibration evidence close before footprint lock","Do not replace Kelvin sensing with two-terminal measurement or skip shunt package heating review"
BUDGET-FRZ-006,Protected copper pre-layout boundary,"Protected high-current copper is not locked before layout; every 1mΩ future path resistance dissipates 1.6W at 40A, 2.5W at 50A, and 3.6W at 60A and must be reviewed after schematic freeze","PB-100-board-current-budget-design-calculation.md; PB-100-schematic-capture-work-queue.csv; PB-100-schematic-freeze-checklist.md","Copper loss math constrains future layout without authorizing copper width vias planes or thermal relief","Do not route high-current copper board outline vias planes or thermal relief before schematic freeze"
BUDGET-FRZ-007,Firmware enforcement boundary,"Firmware and configuration keep total_current_limit_a 40, power_budget service startup refusal or load shedding, hardware capability budget 40 A, stale telemetry denial, and configuration separate from firmware","firmware/configs/config-example.json; firmware/configs/hardware/pb-100-capabilities.json; firmware/tests/test_power_budget.c; firmware/tests/test_rule_runtime.c; PB-100-fault-response-matrix.csv","Host tests prove budget enforcement cannot be bypassed by output role mapping or firmware constants","Do not hard-code role loads or raise current limits outside reviewed configuration and capability data"
BUDGET-FRZ-008,Telemetry enforcement path,"Board-current enforcement uses dedicated total input telemetry through TOTAL_CURRENT_MONITOR/TOTAL_CURRENT_SHUNT and IIN_SENSE with 0-60 A range; summed per-output IMON alone is not acceptable","PB-100-current-telemetry-trace.csv; PB-100-current-telemetry-map.csv; PB-100-current-telemetry-value-freeze-checklist.csv; PB-100-fault-response-matrix.csv","Total current telemetry stale saturated missing or implausible states fail safe before first motorcycle power","Do not depend on summed per-output IMON alone for board-budget enforcement"
BUDGET-FRZ-009,Bench validation path,"PB-BENCH-006 and PB-BENCH-010 cover total input current telemetry and board current budget; bench load steps must confirm calibration, 40 A refusal or shedding, fuse behavior, and safe output state before motorcycle first-power","docs/testing/test-plan.md; PB-100-current-telemetry-value-freeze-checklist.csv; PB-100-board-current-budget-freeze-review.csv","Bench plan records total-current calibration and budget enforcement before board release","Do not run first-power on motorcycle before current telemetry and board-budget bench tests pass"
BUDGET-FRZ-010,No-layout manufacturing boundary,"Board current budget review remains schematic-only: No PCB layout PB-100.kicad_pcb Gerbers drills pick-place high-current copper shunt copper Q1 copper connector footprint lock or manufacturing output is authorized until all freeze gates close","PB-100-schematic-freeze-checklist.md; PB-100-board-release-blocker-register.csv; tools/validate_pb100.py","Repository contains no layout or manufacturing output and board-current review cannot bypass schematic freeze","Do not create PB-100.kicad_pcb Gerbers drills pick-place shunt copper high-current copper connector placement or fabrication package before schematic freeze"
