Precheck ID,Scope,Required evidence bridge,Project input,Required PB-100 close evidence,Blocked action
FACT-SRC-001,Factory-owned key boundary,"PB-100-assembly-readiness-trace.csv and PB-100-factory-assembly-freeze-checklist.csv keep HS_CTRL OUT_FET OUT2_ESCAPE_FET INPUT_IDEAL_DIODE INPUT_REVERSE_FET INPUT_TVS LOGIC_BUCK LOGIC_BUCK_INDUCTOR TOTAL_CURRENT_MONITOR TOTAL_CURRENT_SHUNT THERMAL_NTC B2B_CONNECTOR and CAN1_TX_DISABLE as the factory-owned critical scope","production/bom/pb100_symbol_bom_map.csv; production/bom/factory_bom_draft.csv","Every factory-owned critical key has owner-matched sourcing recheck factory BOM and symbol map rows before schematic freeze","Do not lock factory BOM scope if any critical factory key is missing reassigned or garage-owned"
FACT-SRC-002,BOM and evidence register alignment,"production/bom/pb100_assembly_sourcing_recheck.csv production/bom/pb100_sourcing_evidence_snapshot.csv production/bom/pb100_symbol_bom_map.csv and production/bom/factory_bom_draft.csv stay synchronized with PB-100-symbol-mpn-readiness.csv","Assembly sourcing recheck rows are conditional and evidence snapshot rows keep Open: blocker text","Factory BOM selected class alternate coverage evidence snapshot and freeze checklist agree before MPN footprint or BOM lock","Do not place a PCBA order from mismatched BOM sourcing evidence or symbol ownership"
FACT-SRC-003,Assembly-platform recheck boundary,"JLCPCB PCBWay assembly class reel tray cut tape extended part handling exact orderable suffix and package handling are rechecked for selected and alternate factory MPNs","PB-100-factory-assembly-platform-evidence.csv records 2026-07-20 PCBWay process and sourcing-mode evidence while current rows remain recheck-before-lock and not final sourcing approval","Date-stamped factory assembly platform evidence is refreshed against the actual orderable suffix before schematic freeze","Do not emit pick-place centroid BOM-lock or PCBA order package from stale assembly-platform assumptions"
FACT-SRC-004,Critical alternate coverage,"PB-100-symbol-mpn-readiness.csv retains Alternate 1 and Alternate 2 coverage for populated critical factory parts while CAN1_TX_DISABLE keeps no populated TX alternative without future ADR","Critical alternatives remain conditional and must survive sourcing recheck","At least two viable alternatives or an explicit safety exception are reviewed for every populated factory critical component before lock","Do not reduce alternate coverage below two viable options for populated critical factory components"
FACT-SRC-005,Power-path package handling,"TPS48110AQDGXRQ1 19-VSSOP SIDR626LDP-T1-RE3 PowerPAK IAUTN06S5N008ATMA1 TOLL BUK7S1R2-80M LFPAK88 LM74700QDBVRQ1 SOT-23-6 and dual PowerPAK fallback remain package-handling recheck items","Factory rows keep HS_CTRL OUT_FET OUT2_ESCAPE_FET INPUT_IDEAL_DIODE and INPUT_REVERSE_FET conditional","Power package assembly thermal footprint reel handling and 40 A path evidence close before MPN footprint or pick-place lock","Do not lock 19-VSSOP PowerPAK TOLL LFPAK88 SOT-23-6 footprints or placement before assembly and thermal review"
FACT-SRC-006,Input TVS source hygiene,"INPUT_TVS keeps SM8S33AHM3/I DO-218AC as active branch with SLD8S33A DM8W33AQ-13 and SM8S33A-Q alternates while MCC SM8S33A EOL and Vishay HE3 NFD remain excluded from lock","TVS/load-dump overshoot validation and active-MPN sourcing review remain conditional","Active TVS source evidence excludes obsolete stock-only or non-automotive branches and confirms package assembly handling before schematic freeze","Do not lock MCC SM8S33A EOL Vishay HE3 NFD or unverified DO-218AC assembly assumptions"
FACT-SRC-007,Logic telemetry and sensor sourcing,"LOGIC_BUCK LOGIC_BUCK_INDUCTOR TOTAL_CURRENT_MONITOR TOTAL_CURRENT_SHUNT and THERMAL_NTC retain LM5164QDDATQ1 LM5013-Q1 TPS54360B-Q1 INA228-Q1 INA229-Q1 INA226 CSS4J-4026R-L500F 1.0mΩ NTCGS103JF103FT8 Vishay NTCS0402E3 and Murata NCU18 evidence paths","Logic current and thermal value prechecks remain conditional until sourcing and calibration close","Regulator monitor shunt inductor and NTC selected values have active source manufacturer evidence alternates and package assembly review before BOM lock","Do not lock regulator monitor shunt inductor or NTC MPNs without sourcing calibration and package evidence"
FACT-SRC-008,B2B and CAN1 production handling,"PB-100-fx18-paired-stack-closeout.md closes the FX18-100P-0.8SV10 plus FX18-100S-0.8SV10 20 mm pre-layout stack while tray handling and CAN1_TX_DISABLE DNP/open production evidence preserve no default-populated TX and remain conditional","Exact connector orderable suffix live stock tray handling and CAN1 DNP production notes remain conditional","Mezzanine connector factory handling and DNP/open production instruction close before assembly release","Do not populate CAN1 TX or release the B2B/CAN assembly package before current sourcing handling and DNP evidence closes"
FACT-SRC-009,Date-stamped sourcing evidence rule,"The 2026-07-16 sourcing evidence snapshot is preliminary evidence and the 2026-07-17 review requires current authorized distributor manufacturer evidence exact suffix and Open: blocker refresh before lock","production/bom/pb100_sourcing_evidence_snapshot.csv keeps manufacturer evidence URLs distributor evidence and open blockers","Factory sourcing is considered closeable only after the evidence snapshot is refreshed on the actual order date with distributor continuity and assembly-platform status","Do not treat preliminary date-stamped sourcing evidence as evergreen or sufficient for board-print release"
FACT-SRC-010,No-layout manufacturing boundary,"Factory sourcing precheck is schematic-review evidence only: No PCB layout PB-100.kicad_pcb Gerbers drills pick-place centroid manufacturing ZIP assembly output or PCBA order package is authorized","PB-100-schematic-freeze-checklist.md; PB-100-board-release-blocker-register.csv; tools/validate_pb100.py","Repository remains free of PCB layout and manufacturing outputs until all freeze gates and release blockers close","Do not create PB-100.kicad_pcb Gerbers drills pick-place centroid manufacturing ZIP assembly output or PCBA order package before schematic freeze"
