Check ID,Review item,Required close evidence,Primary artifacts,Pass condition,Blocked action
GAR-FRZ-001,Garage-owned critical keys,"Garage freeze scope covers INPUT_CONNECTOR OUTPUT_CONNECTOR OUTPUT_FUSE_HOLDER and MAIN_FUSE_HOLDER exactly as user-installed high-current service items with no PCB-mounted connector or fuse-holder migration","PB-100-assembly-readiness-trace.csv; production/bom/pb100_symbol_bom_map.csv; production/bom/pb100_assembly_sourcing_recheck.csv","Garage-owned critical keys match assembly trace BOM map and sourcing rows before schematic freeze","Do not move connectors fuse holders main fuse or 50A battery input connection onto PB-100 PCB without review"
GAR-FRZ-002,Battery input and main fuse path,"Battery input remains a ring-lug battery lead to a near-battery MAXI 50A holder then high-current sealed harness entry or serviceable gland; DT and DTP are explicitly excluded for the 50A input path and 6mm2 / 10AWG or larger remains the candidate wire","PB-100-garage-connector-fuse-plan.md; PB-100-garage-connector-fuse-plan.csv; PB-100-board-current-budget-trace.csv; production/bom/garage_bom_draft.csv","50A path current rating wire gauge cable seal strain relief service access and install distance are reviewed before schematic freeze","Do not use DT DTP PCB terminal blocks or board copper as the 50A battery input path"
GAR-FRZ-003,Output connector classes,"OUT1 and OUT2 stay on DEUTSCH DTP 2-pin size 12 25A contact class because DT 13A class is too close for 15A and 20A fuse classes; OUT3 through OUT10 stay on DEUTSCH DT 2-pin size 16 13A contact class for 5A and 10A fuse classes","PB-100-garage-connector-fuse-plan.csv; production/bom/garage_bom_draft.csv; production/bom/pb100_sourcing_evidence_snapshot.csv","Each output connector class has current margin wire gauge contact seal and service evidence before lock","Do not lock output connector MPNs or move output connectors onto the PCB before derating review"
GAR-FRZ-004,Signal connector classes,"CAN/service stays DEUTSCH DTM 4-pin class and external inputs stay DEUTSCH DTM 8-pin class with size 20 7.5A contacts for signal current only; DTM must not carry PB-100 output power","PB-100-garage-connector-fuse-plan.md; PB-100-garage-connector-fuse-plan.csv; docs/testing/test-plan.md","Signal connectors remain separated from output power and CAN/service wiring before schematic freeze","Do not route output power through DTM or use DTM as a fuse or battery input substitute"
GAR-FRZ-005,User-serviceable fuse plan,"Per-channel fuses stay MINI/ATO blade fuse family for 5A 10A 15A and 20A outputs; the main harness fuse stays MAXI 50A near battery with service cover or external fuse-block access and spare-fuse handling","PB-100-garage-connector-fuse-plan.md; PB-100-garage-connector-fuse-plan.csv; production/bom/garage_bom_draft.csv","Fuse holder current derating heat behavior enclosure access and spare-fuse handling close before schematic freeze","Do not bury fuses inside sealed electronics volume or replace user-serviceable fuses with PCB-only protection"
GAR-FRZ-006,Purchase-ready connector evidence,"Final lock requires exact plug/receptacle housings contacts seals wedgelocks boots backshells crimp tool insertion/removal tool spare contacts and supplier evidence for TE DEUTSCH DTP DT DTM plus Littelfuse MAXI MINI/ATO families from the 2026-07-17 garage source recheck","PB-100-garage-connector-fuse-plan.md; production/bom/pb100_sourcing_evidence_snapshot.csv; production/bom/pb100_assembly_sourcing_recheck.csv","Connector and fuse purchases are traceable to current source evidence and usable garage tooling before order","Do not order partial connector kits without matched contacts seals wedgelocks tooling and service spares"
GAR-FRZ-007,Wire gauge and harness derating,"Garage BOM keeps 6 mm2 / 10 AWG or larger for battery and main fuse path, 2.5-4 mm2 / 14-12 AWG for high-load DTP and medium DT outputs as contact range allows, and 0.5-1.0 mm2 / 20-18 AWG for signals/CAN only; harness route temperature bundling and strain relief remain open","production/bom/garage_bom_draft.csv; PB-100-board-current-budget-freeze-review.csv; PB-100-garage-connector-fuse-plan.md","Wire gauge contact range bundling temperature harness length and fuse rating are reviewed together before schematic freeze","Do not size wiring from fuse rating alone or mix signal wire with output power paths"
GAR-FRZ-008,Enclosure and service access,"Garage install keeps enclosure hardware as user-installed ASA/PETG printed or machined enclosure, 2 mm silicone gasket, M3 hardware, removable service cover, cable gland or sealed harness entry, strain relief, and PB-BENCH-015 vibration inspection","production/bom/garage_bom_draft.csv; docs/testing/test-plan.md; PB-100-garage-connector-fuse-plan.md","Fuse access connector service cable sealing and vibration inspection are practical before first motorcycle power","Do not release PCB outline mounting or connector placement assumptions before enclosure service review"
GAR-FRZ-009,BOM and sourcing synchronization,"garage_bom_draft.csv pb100_symbol_bom_map.csv pb100_assembly_sourcing_recheck.csv pb100_sourcing_evidence_snapshot.csv PB-100-garage-connector-fuse-plan.md PB-100-garage-connector-fuse-plan.csv and PB-100-assembly-readiness-trace.csv stay synchronized for INPUT_CONNECTOR OUTPUT_CONNECTOR OUTPUT_FUSE_HOLDER and MAIN_FUSE_HOLDER","production/bom/garage_bom_draft.csv; production/bom/pb100_symbol_bom_map.csv; production/bom/pb100_assembly_sourcing_recheck.csv; production/bom/pb100_sourcing_evidence_snapshot.csv; PB-100-assembly-readiness-trace.csv","Garage scope evidence matches BOM ownership and source snapshot before schematic freeze","Do not place connector or fuse orders from mismatched garage BOM sourcing or assembly trace rows"
GAR-FRZ-010,No-layout manufacturing boundary,"Garage install readiness remains schematic-only: No PCB layout PB-100.kicad_pcb Gerbers drills pick-place connector footprints fuse-holder footprints enclosure CAD release or manufacturing output is authorized until all freeze gates close","PB-100-schematic-freeze-checklist.md; PB-100-board-release-blocker-register.csv; PB-100-schematic-capture-work-queue.csv","Repository contains no layout or manufacturing output and garage readiness cannot bypass schematic freeze","Do not create PB-100.kicad_pcb Gerbers drills pick-place PCB connector footprints fuse-holder footprints or enclosure release before schematic freeze"
