Signal group,Signal,Direction,Owner,Default state,Requirement,Current state,Required close evidence,Blocked action
Power reference,FB_3V3_OR_IO,LB-100 to FB-100,LB-100,Off or invalid until LB rail valid,Front board logic and indicator reference,Closed,FB-100-interface-pinout-closeout.csv and LB-100-rail-budget-closeout-precheck.csv close controlled 3V3 reference and no-back-power behavior,Do not power FB-100 from USB or signal pins without ADR/power-model review
Ground reference,GND,Shared,LB-100/FB-100,N/A,Return for USB shield policy indicators and buttons,Closed,FB-100-interface-pinout-closeout.csv and FB-100-usb-service-closeout-precheck.csv close return and shield boundary,Do not use USB shield as high-current return or omit ESD return review
USB service,USB_D_P,FB-100 to LB-100,LB-100,High impedance until attached,USB-C service data path,Closed,FB-100-interface-pinout-closeout.csv maps USB data to JFB1 and FB-100-usb-service-closeout-precheck.csv closes ESD/source path,Do not route USB before schematic impedance and ESD placement review
USB service,USB_D_N,FB-100 to LB-100,LB-100,High impedance until attached,USB-C service data path,Closed,FB-100-interface-pinout-closeout.csv maps USB data to JFB1 and FB-100-usb-service-closeout-precheck.csv closes ESD/source path,Do not route USB before schematic impedance and ESD placement review
USB attach,USB_CC1_CC2,FB-100/LB-100,LB-100,Defined by service role,USB-C attach and orientation behavior,Closed,FB-100-interface-pinout-closeout.csv and FB-100-usb-service-closeout-precheck.csv close 5.1k Rd device-role CC policy,Do not advertise source or dual-role USB power without ADR
VBUS presence raw,USB_VBUS_DETECT_RAW,FB-100 to LB-100,LB-100,Current-limited 5 V raw input with no system power injection,Detect service cable presence through LB 5 V-tolerant digital buffer,Closed,FB-100-interface-pinout-closeout.csv and FB-100-usb-service-closeout-precheck.csv close current-limited no-back-power behavior,Do not connect VBUS to LB/PB rails without reviewed isolation
Status RGB,STATUS_RGB_DATA,LB-100 to FB-100,LB-100,Off until firmware drives,Role-free system status indication from direct STM32 PD7 timing source,Closed,FB-100-ui-control-closeout-precheck.csv closes direct LTC3212 pulse-control path,Do not route LTC3212 control through an I2C expander
Channel indicators,CH_LED_1..CH_LED_10,LB-100 to FB-100,LB-100,Off until firmware drives,Role-free OUT1..OUT10 channel status indication,Closed,FB-100-interface-pinout-closeout.csv and FB-100-ui-control-closeout-precheck.csv close role-free OUT1..OUT10 channel LEDs,Do not label LEDs by vehicle accessory role
Service button,SERVICE_BTN,FB-100 to LB-100,LB-100,Inactive with defined pull,User service input,Closed,FB-100-ui-control-closeout-precheck.csv closes active-low service button debounce/ownership path,Do not share service button with unsafe reset or output-enable path
Reset button,RESET_BTN,FB-100 to LB-100,LB-100,Inactive with defined pull,Local reset or boot action if populated,Closed,FB-100-ui-control-closeout-precheck.csv closes reset/boot request through LB supervisor only,Do not expose reset behavior that can enable outputs
Optional display,OLED_I2C_OR_SPI,LB-100 to FB-100,LB-100,DNP by default unless populated,Optional OLED footprint,Closed,FB-100-interface-pinout-closeout.csv and FB-100-ui-control-closeout-precheck.csv close optional DNP-by-default OLED I2C path,Do not consume LB-100 bus pins for mandatory OLED behavior
