Budget item,Rail,Population,Active budget mA,Service or peak budget mA,Sleep boundary,Source evidence,Close result,Status,Blocked action
MCU core and clocks,LB_3V3_MAIN,Default,80,120,"STM32 stop/standby modes only after firmware enters ADR-0012 state; SWD not a power source","ST STM32H5 product evidence states 61 uA/MHz typical run current with low-power stop/standby modes; STM32H563VIT6 JLC evidence confirms 1.71-3.6 V LQFP100 target","Closed: MCU allocation keeps enough margin under the 500 mA PB_5V_OUT contract",Closed,"Do not raise MCU sustained allocation without updating PB-100 logic-power budget"
3V3 regulator loss and margin,PB_5V_OUT input,Default,80,120,"Regulator enable follows PB_PWR_GOOD and does not accept USB VBUS as input","LB-100-component-sourcing-precheck.csv records XC6220B331MR-G 1 A 3.3 V LDO and AMS1117 SOT-223 fallback; thermal dissipation must be checked in schematic review","Closed: PB_5V_OUT budget reserves regulator loss/thermal margin and keeps buck escape condition explicit",Closed,"Do not place regulator footprint before thermal/current review"
CAN1 controller and PB VIO reference,LB_3V3_MAIN and LB_3V3_IO,Default receive-only,0,1,"STM32 FDCAN and VIO reference follow LB power state; both PB hardware TX links remain DNP/open","ADR-0015 assigns the transceiver 5V current to PB-100; LB retains only FDCAN already included in the MCU row plus sub-1mA VIO/pull-up planning","Closed: duplicate LB transceiver current is removed and the PB VIO reference remains bounded",Closed,"Do not add a CAN1 transceiver to LB-100 or enable CAN1 TX by configuration"
CAN2/LIN/RS485 expansion,TRANSCEIVER,DNP default,0,160,"DNP/default-off; excluded from base parking-current budget","LB-100-component-sourcing-precheck.csv records CAN2 TJA1051TK/3 LIN TJA1021 and RS485 SP3485 candidates as expansion-only","Closed: expansion transceivers are not part of the default sustained 500 mA allocation",Closed,"Do not populate expansion transceivers without updating current budget and schematic review"
BLE module,RADIO_SENSOR,Default populated or DNP by build option,25,50,"Load-switch off or module deep-sleep before ADR-0012 sleep entry","LB-100-component-sourcing-precheck.csv records E73-2G4M08S1C nRF52840 module and MS88SF3 alternate; ESP32-C3-class high-current WiFi alternatives are not in the default budget","Closed: BLE is budgeted as low-power nRF52840-class module only",Closed,"Do not substitute ESP32-C3/WiFi-class module without updating PB_5V_OUT budget"
microSD socket,MICROSD,Default populated,0,100,"Power switch off in sleep/deep-sleep; card detect pull leakage bounded","LB-100-component-sourcing-precheck.csv records TF-015 and LCK-TF-113H1509-WLG microSD candidates","Closed: write-current service peak is budgeted but not a sustained load",Closed,"Do not connect microSD VDD directly to always-on rail"
RTC backup,BACKUP_AON,Default populated,0.2,0.2,"RTC remains only always-on digital load; backup source must satisfy ADR-0012","LB-100-component-sourcing-precheck.csv records DS3231MZ+TRL with 100 nA quiescent-current JLC attribute and DS3231M+TRL alternate","Closed: always-on load is bounded at pre-layout level",Closed,"Do not add always-on peripherals without updating parking-current evidence"
FRAM event storage,LB_3V3_MAIN,Default populated,2,5,"Unpowered or standby in sleep; I2C pull-ups on controlled rail","LB-100-component-sourcing-precheck.csv records FM24CL64B-GTR sourcing and LCSC FRAM evidence","Closed: FRAM allocation is included in controlled main rail",Closed,"Do not move FRAM pull-ups to an uncontrolled always-on rail"
IMU and lux sensors,RADIO_SENSOR,Default populated,2,8,"Load-switch off or low-power mode before sleep; optical sensor not always-on unless configured","LB-100-component-sourcing-precheck.csv records BMI270/BMA456 and VEML7700/BH1750 candidates with low-power attributes","Closed: sensor allocation fits switchable sensor domain",Closed,"Do not place sensors before enclosure/orientation and sleep-state review"
PB pull-ups status and I2C,LB_3V3_IO,Default,5,10,"LB_3V3_IO invalid while LB reset/unpowered and cannot enable PB outputs","LB-100-stm32h563-pin-binding-precheck.csv binds PB_I2C and PB status pins; PB-100 pin map defines default-off/fault-safe states","Closed: PB-side IO reference and pull-up load are budgeted and sequenced",Closed,"Do not drive PB-side interfaces from USB VBUS or uncontrolled rail"
USB VBUS sense,VBUS_SERVICE,Sense-only,0,2,"VBUS never powers PB_5V_OUT LB_3V3_IO or PB-100; sense divider/load switch only","FB-100-interface-signal-plan.csv and LB-100-service-storage-sensor-precheck.csv define no-back-power service behavior","Closed: USB service attach is detect-only in the LB budget",Closed,"Do not back-power system rails from USB service connector"
Base sustained total,PB_5V_OUT input,Default base build,194.2,0,"All expansion microSD write and PB-owned CAN1 transceiver current are excluded from LB sustained load; sleep requires load switches/default-off firmware","Sum of default sustained rows in this file after ADR-0015 ownership transfer","Closed: default sustained LB load is below the 500 mA PB_5V_OUT allocation",Closed,"Do not order PCB if schematic BOM exceeds this sustained total"
Service peak total,PB_5V_OUT input,Default service/write event,0,346.2,"Service peak is not a sustained thermal condition and excludes the PB-owned CAN1 70mA service reserve","Sum of peak rows in this file after ADR-0015 ownership transfer","Closed: service peak remains below the 500 mA PB_5V_OUT allocation",Closed,"Do not allow simultaneous unbounded BLE microSD expansion and USB service peaks without budget update"
No-layout boundary,All rails,N/A,0,0,"This precheck authorizes schematic capture only","No LB-100.kicad_pcb Gerbers drills pick-place BOM/CPL order package or manufacturing ZIP exists; validate_board_order checks this boundary","Closed: rail budget closeout does not authorize PCB layout or manufacturing outputs",Closed,"Do not create LB-100 PCB layout or manufacturing outputs from this precheck"
