Precheck ID,Scope,Required evidence bridge,Project input,Required PB-100 close evidence,Blocked action
Q1-CLS-001,Controller source boundary,"TI LM74930-Q1 datasheet is the accepted source for LM74930Q1RGERQ1 common-source DGATE HGATE hard-cutoff CAP VS and reverse-current behavior","PB-100-input-reverse-q1-derivation-precheck.csv; PB-100-input-reverse-q1-freeze-checklist.csv; PB-100-input-controller-pin-template.csv","Reviewer records datasheet revision exact RGE pin map and any alternate-controller decision before schematic values close","Do not lock alternate controller package or family without input reverse review"
Q1-CLS-002,CAP and gate default-off bridge,"100nF LM74930_CAP-to-LM74930_VS Q1_DGATE Q2_HGATE EN MODE UVLO and controller-unpowered disabled behavior close together","PB-100-input-reverse-q1-derivation-precheck.csv; PB-100-input-power-design-values.csv; PB-100-input-protection-pin-contract.csv","CAP VS hard-cutoff gate turn-off timing and controller-unpowered off behavior are reviewed for selected Q1/Q2","Do not rely on firmware telemetry or monitor configuration for protection safe-off behavior"
Q1-CLS-003,Ideal-diode reverse-current bridge,"LM74930-Q1 common-source reverse-current behavior is reviewed against VBAT_RAW INPUT_COMMON_SOURCE VBAT_PROT and protected distribution","PB-100-input-reverse-freeze-review.csv; PB-100-input-reverse-protection.md; PB-100-schematic-net-domain-plan.csv","Q2/Q1 orientation body-diode startup reverse-current blocking and reverse-polarity behavior are proven before schematic freeze","Do not close Q1 values without common-source and protected-distribution evidence"
Q1-CLS-004,RDS(on) passive thermal bridge,"PB-100 40A review uses Q1 2.52mOhm hot bound 4.032W Tj <=150C and complete passive path <=6.20K/W at 125C ambient","PB-100-input-reverse-package-trace.csv; PB-100-board-current-budget-design-calculation.md; PB-100-input-q1-evidence.csv","Q1 tolerance hot multiplier loss SOA PCB copper thermal pad enclosure interface and alternatives are reviewed","Do not select Q1 from lowest RDS(on) alone or waive post-layout thermal extraction"
Q1-CLS-005,Selected and alternate package bridge,"IAUT300N08S5N012ATMA2 80 V PG-HSOF-8-1 TOLL 1.2mΩ 4.032W at 40A is selected; IAUT300N08S5N014ATMA1 same-footprint TOLL and BUK7J2R4-80MX LFPAK56E non-drop-in remain controlled 80 V alternatives; 60 V paths are rejected","PB-100-input-reverse-package-trace.csv; PB-100-input-q1-evidence.csv; PB-100-mosfet-voltage-margin-review.md; production/bom/pb100_sourcing_evidence_snapshot.csv","Selected and alternate 80 V paths have pin map package thermal footprint production status and assembly evidence before board import","Do not substitute either alternate without controlled electrical and package review"
Q1-CLS-006,Active cutoff overshoot dependency bridge,"ADR-0018 selects LM74930Q1RGERQ1 cutoff at 48.99-54.89V with IAUTN15S6N025ATMA1 150V Q2 while SM8S33AHM3/I is DNP","PB-100-surge-stopper-evidence.csv; PB-100-transient-margin-evidence.csv; PB-100-tvs-overshoot-validation-precheck.csv","PBREL-007 design selection is Closed; extracted loop overshoot Q2 dynamic SOA and PB-BENCH-004 remain later gates","Do not waive post-layout extraction or PB-BENCH-004 because static voltage margin passes"
Q1-CLS-007,Protected measurement sequence bridge,"Q2 and Q1 meet at INPUT_COMMON_SOURCE then feed VBAT_REV_PROT; the IIN_SHUNT_HI IIN_SHUNT_LO 0.5mΩ shunt feeds VBAT_PROT 40A budget and 50A fuse path","PB-100-input-protection-pin-contract.csv; PB-100-current-telemetry-freeze-review.csv; PB-100-board-current-budget-value-derivation-precheck.csv","Shunt Kelvin path protected distribution and firmware-visible board-current enforcement remain downstream of active cutoff","Do not move input current measurement protected distribution or budget enforcement onto VBAT_REV_PROT"
Q1-CLS-008,Assembly sourcing bridge,"JLCPCB PCBWay TOLL handling selected-part active/preferred production status distributor continuity date-stamped sourcing evidence and at least two alternatives at 80V close pre-layout","PB-100-factory-production-evidence.csv; PB-100-assembly-readiness-trace.csv; production/bom/pb100_assembly_sourcing_recheck.csv; production/bom/factory_bom_draft.csv","Factory assembly evidence proves selected and alternate Q1 packages have controlled build routes before release","Do not generate pick-place or assembly output before order-date Q1 sourcing recheck"
Q1-CLS-009,Input capture synchronization bridge,"input-protection.kicad_sch CAP-INP source artifacts PB-100-input-power-design-values.csv PB-100-input-protection-pin-contract.csv and PB-100-input-controller-pin-template.csv stay synchronized with Q1 closeout","PB-100-schematic-capture-work-queue.csv; PB-100-kicad-sheet-manifest.csv; PB-100-input-reverse-package-trace.csv","Q1 symbol pins package trace pin contract input-power values and capture comments remain traceable before schematic freeze","Do not fork Q1 nets or lock final input-power values outside the freeze packet"
Q1-CLS-010,No-layout manufacturing boundary,"This closeout precheck is schematic-review evidence only: No PCB layout PB-100.kicad_pcb Q1 placement high-current copper thermal relief Gerbers drills pick-place manufacturing ZIP or input footprint placement is authorized","PB-100-schematic-freeze-checklist.md; PB-100-board-release-blocker-register.csv; tools/validate_pb100.py","Repository remains free of input reverse layout and manufacturing outputs until every freeze gate closes","Do not create PB-100.kicad_pcb Gerbers drills pick-place Q1 placement high-current copper thermal relief manufacturing ZIP or input footprint placement before schematic freeze"
