Net pattern,Domain,Primary sheet,Direction,Default state,Safety rule
VBAT_RAW,High-current input,input-protection.kicad_sch,Input from harness,Fused by near-battery garage fuse,No PCB layout current geometry before schematic freeze
INPUT_HGATE,Raw-side cutoff control,input-protection.kicad_sch,LM74930-Q1 to Q2 gate,Off when controller unpowered,Must remain local and preserve the extracted common-source loop
INPUT_DGATE,Protected-side ideal-diode control,input-protection.kicad_sch,LM74930-Q1 to Q1 gate,Off when controller unpowered,Must remain local until Q1 TOLL pin evidence closes
INPUT_PROT_EN,Input reverse control,input-protection.kicad_sch,Local enable network,TBD not final,Must close with default enable and service-disable review
SURGE_CAP,Active-cutoff local supply,input-protection.kicad_sch,LM74930-Q1 charge-pump capacitor network,Capacitor value is a schematic-freeze input,Must close with value voltage rating and placement review
INPUT_COMMON_SOURCE,High-current switched node,input-protection.kicad_sch,Common-source connection between Q2 and Q1,Floating when both gates are off,Must stay compact and requires post-layout inductance and dynamic-SOA extraction
VBAT_REV_PROT,High-current reverse-protected,input-protection.kicad_sch,Q1 drain to total-current shunt input,Present after active cutoff and reverse protection,Must not feed downstream loads ahead of the total-current shunt
IIN_SHUNT_HI,Analog current sense,input-protection.kicad_sch,PB-100 sense,Zero-current baseline,Must use Kelvin sense and stay separate from load current path
IIN_SHUNT_LO,Analog current sense,input-protection.kicad_sch,PB-100 sense,Zero-current baseline,Must use Kelvin sense and stay separate from load current path
IIN_MON_A0,Monitor local strap,input-protection.kicad_sch,Local address strap,TBD not final,Must close with I2C address plan
IIN_MON_A1,Monitor local strap,input-protection.kicad_sch,Local address strap,TBD not final,Must close with I2C address plan
VBAT_PROT,High-current protected,input-protection.kicad_sch,Internal protected rail after total-current shunt,Present after active cutoff reverse protection and current measurement,Must remain below the 60 V protected-domain limit during load dump
VBAT_SENSE,Analog telemetry,input-protection.kicad_sch,PB-100 to LB-100,Scaled battery voltage,Must stay in ADC-safe voltage range
IIN_SENSE,Analog telemetry,input-protection.kicad_sch,PB-100 to LB-100,Zero-current baseline,Must be derived from total input current path
PB_5V_OUT,Protected logic power,logic-power.kicad_sch,PB-100 to LB-100,Off until buck valid,Must not be confused with accessory power output
BUCK_EN_UVLO,Logic power local threshold,logic-power.kicad_sch,Local threshold network,TBD not final,Must close with cold-crank UVLO review
BUCK_RON_SET,Logic power local programming,logic-power.kicad_sch,Local programming network,TBD not final,Must close with switching-frequency and load-budget review
BUCK_FB,Logic power local feedback,logic-power.kicad_sch,Local feedback network,TBD not final,Must close with 5 V tolerance review
BUCK_BST,Logic power local bootstrap,logic-power.kicad_sch,Local bootstrap network,Capacitor TBD not final,Must close with bootstrap value and voltage-rating review
BUCK_SW,Logic power switching node,logic-power.kicad_sch,Local switching node,Inactive when buck disabled,Must close with inductor EMI and snubber review
PB_PWR_GOOD,Logic status,logic-power.kicad_sch,PB-100 to LB-100,Fault/inactive until valid,Must reflect protected logic rail validity
LB_3V3_IO,Logic reference,b2b-interface.kicad_sch,LB-100 to PB-100,Absent when LB-100 unpowered,PB-100 outputs must default off without valid logic reference
OUTn_CTL,Output control,outputs-1-10.kicad_sch,LB-100 to PB-100,Pulled low/off,Must remain generic OUTn control and role-mapped by configuration
OUTn_FLT,Output fault,outputs-1-10.kicad_sch,PB-100 to LB-100,Fault until valid,Must report controller or output fault without role-specific naming
OUTn_IMON,Output telemetry,outputs-1-10.kicad_sch,PB-100 to LB-100,Zero volts when off,Must be ADC-safe and calibrated per output
