Symbol key,Assembly owner,Preferred MPN or class,JLCPCB part,Primary source,Secondary source,Evidence date,Evidence result,Open blocker,Status
FB_USB_C,Factory,USB4105-GF-A,C3020560,https://jlcpcb.com/partdetail/3542626-USB4105_GFA/C3020560,https://www.digikey.com/en/products/detail/gct/USB4105-GF-A/11198441,2026-07-20,JLCPCB lists GCT USB4105-GF-A as Type-C USB 2.0 right-angle SMD connector; the accepted schematic and footprint bind the 16 contacts and four shield stakes with VBUS sense-only,Open layout action: close enclosure access shell keepout and connector-edge placement before board review,Ready
FB_USB_C_ALT,Factory,TYPE-C-31-M-12,C165948,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948,https://www.lcsc.com/product-detail/C165948.html,2026-07-20,JLCPCB lists TYPE-C-31-M-12 as Type-C right-angle SMD female connector with 16 contacts 5 A and 10000 cycle attribute; LCSC lists the same C165948 source path,Open blocker: alternate requires footprint and mechanical access review before lock,Ready
FB_USB_ESD,Factory,USBLC6-2SC6,C7519,https://jlcpcb.com/partdetail/STMicroelectronics-USBLC62SC6/C7519,https://www.lcsc.com/product-detail/C7519.html,2026-07-20,JLCPCB lists ST USBLC6-2SC6 as SOT-23-6L two-channel IEC 61000-4-2 USB ESD protection part; the accepted schematic uses flow-through D+/D- pin binding and USB_VBUS reference,Open layout action: place the device at J1 with a short low-inductance ESD return and preserve the reviewed pin orientation,Ready
FB_USB_ESD_ALT,Factory,TPD2EUSB30ADRTR,C94934,https://www.ti.com/lit/ds/symlink/tpd2eusb30.pdf,https://www.lcsc.com/product-detail/C94934.html,2026-07-20,TI datasheet covers TPD2EUSB30 family as USB ESD protection with IEC 61000-4-2 contact strike rating; LCSC lists C94934 TPD2EUSB30ADRTR sourcing path,Open blocker: confirm JLCPCB order path package and footprint before using as alternate,Ready
FB_STATUS_RGB,Factory,Everlight 19-237/R6GHBHC-A01/2T class,C60105,https://www.lcsc.com/product-detail/C60105.html,https://jlcpcb.com/parts/2nd/Optoelectronics/RGB_LEDs_2114,2026-07-20,LCSC lists Everlight 19-237/R6GHBHC-A01/2T as SMD-4P 1.6x1.6 mm; the accepted schematic selects its common-anode topology with LTC3212 one-wire sink drive and 35.7 kOhm ISETG,Open production action: close LTC3212 consignment or qualify a protocol-compatible alternative plus optical brightness before release,Ready
FB_CHANNEL_LED,Factory,KT-0805Y preferred or KT-0603R alternate discrete indicator LED,C2296 or C2286,https://jlcpcb.com/parts/2nd/Optoelectronics/LED_Indication_Discrete_71,https://jlcpcb.com/partdetail/C2286,2026-07-20,JLCPCB discrete LED category lists KT-0805Y C2296 and 0603 alternates; the accepted schematic selects ten KT-0805Y indicators with individual 1 kOhm current-limit resistors,Open layout action: close light-pipe alignment and measured brightness before enclosure release,Ready
FB_FPC_CONNECTOR,Factory,AFC07-S24ECA-00,C262643,https://jlcpcb.com/partdetail/AFC07-S24ECA-00/C262643,https://jlcpcb.com/partdetail/FPC-05F-24PH20/C2856805,2026-07-20,JLCPCB lists AFC07-S24ECA-00 as 0.5 mm 24P right-angle FFC/FPC connector 500 mA 50 V and XUNPU FPC-05F-24PH20 as 24P right-angle alternate,Open blocker: final PCB edge orientation and cable side must match enclosure access before layout,Ready
FB_FFC_CABLE,Garage,FFC 24P 0.5mm same-side cable,C20060,https://jlcpcb.com/partdetail/LX-FFC_24P_0_5mm_20CM/C20060,https://jlcpcb.com/partdetail/LX-FFC_24P_1_0mm_8CM/C34595,2026-07-20,JLCPCB lists LX 24P 0.5 mm 20 cm same-side FFC cable and 24P 1.0 mm 8 cm same-side fallback; cable is garage/user-installed not FB SMD assembly,Open blocker: final cable length and same-side/reverse orientation must match physical enclosure before order,Ready
FB_SERVICE_BUTTON,Factory,EVPBB4A9B000,C140848,https://jlcpcb.com/partdetail/PANASONIC-EVPBB4A9B000/C140848,https://jlcpcb.com/partdetail/XkbConnectivity-TS_1187A_B_AB/C318884,2026-07-20,JLCPCB lists Panasonic EVPBB4A9B000 IP67 500k cycle tactile switch and XKB TS-1187A-B-A-B 5.1 mm 100k cycle alternate,Open blocker: actuator height and cap/seal stack must match service cover before layout,Ready
FB_RESET_BUTTON,Factory,EVPBB4A9B000 or TS-1187A-C-G-B class,C140848,https://jlcpcb.com/partdetail/PANASONIC-EVPBB4A9B000/C140848,https://jlcpcb.com/partdetail/XKBConnection-5_1_5_1_3_5mm/C318886,2026-07-20,JLCPCB lists low-profile Panasonic IP67 switch and taller XKB alternate; the accepted schematic selects EVPBB4A9B000 with 10 kOhm pull-up 100 nF debounce and a 0 Ohm path to LB NRST,Open mechanical action: close actuator height and service-cover stack before placement lock,Ready
