Derivation ID,Scope,Formula or source basis,Project input,Required PB-100 close evidence,Blocked action
OUTDRV-001,TPS48110AQDGXRQ1 source boundary,"TI TPS4811-Q1 datasheet Rev. April 2026 and TPS48110Q1EVM SLUUCO3A are the only accepted formula and reference-circuit sources for OUTn_IWRN_SET OUTn_ISCP_SET OUTn_TMR OUTn_BST OUTn_PU OUTn_PD OUTn_CS_P OUTn_CS_N and OUTn_IMON derivation","PB-100 uses TPS48110AQDGXRQ1-class controller on high medium and low external-MOSFET output channels","Reviewer records datasheet revision EVM revision and any deviation from TI equations before schematic values close","Do not derive final values from forum posts vendor examples or copied EVM values without PB-100 class review"
OUTDRV-002,Bootstrap and gate-driver enable,"Equation 1 TDRV_EN = CBST * V(BST_UVLOR) / 100uA; Equation 4 CBST > Qg_total + 10*C1; datasheet gate driver is 3.7A pull-up and 4A pull-down class","OUT2 medium and low channels need selected MOSFET Qg total allowed BST dip and any C1 slew capacitor","CBST voltage rating value and charge-pump delay are checked for selected MOSFET gate charge and cold-crank/load-dump conditions","Do not lock OUTn_BST or gate drive values before selected MOSFET Qg and slew network are known"
OUTDRV-003,Gate slew and capacitive inrush,"Equations 2 and 3 derive IINRUSH from CLOAD VBATT charge time and gate slew; TI recommends R2 about 10 ohm and R1 100k as a calculation starting point","OUT2 selected envelope is 30A for 100ms and 80A for 4ms; medium and low channels retain role-free load assumptions","Each class has reviewed CLOAD target inrush limit R1 R2 C1 and turn-off path or explicitly disables slew network with generated SOA evidence","Do not rely on uncontrolled turn-on or role-specific load assumptions for load behavior"
OUTDRV-004,Overcurrent warning threshold,"Equation 6 RIWRN = 11.9 * RSET / (RSNS * IOC + VOS_SET) for OUTn_IWRN_SET","IOC candidates are OUT2 18A high current OUT1 12A medium current OUT3 OUT4 OUT6 OUT7 OUT10 8A medium current and OUT5 OUT8 OUT9 4A low current","RSET RSNS IOC VOS_SET tolerance and warning margin are calculated per output class and checked against fuse/current telemetry limits","Do not select RIWRN from current limit alone without sense-resistor tolerance and telemetry calibration"
OUTDRV-005,Overcurrent timer and latch behavior,"Equation 7 CTMR = ITMR * tOC / 1.2; Equation 8 gives FLT_I assertion delay; Equation 9 gives auto-retry time; Equation 10 covers 100k RTMR latch-off option","CTMR 680nF gives 9.95ms nominal overcurrent timing while the 95.91A hard-short path uses the TPS48110 5us maximum response","Per-class OUTn_TMR value retry policy and firmware fault handling are reviewed with MOSFET SOA and fuse energy","Do not release OUTn_TMR until the selected value is promoted and physical timing acceptance remains planned"
OUTDRV-006,Short-circuit threshold,"Equation 11 RISCP = ISC * RSNS / 15.6uA - 464ohm for OUTn_ISCP_SET","ISC must be chosen from fuse energy selected MOSFET SOA sense resistor and class current budget rather than accessory role","Each high medium and low class has RISCP tolerance review and fast short-circuit shutdown evidence for selected MOSFET and fuse path","Do not set short-circuit threshold above MOSFET/fuse energy capacity or below normal startup/inrush evidence"
OUTDRV-007,IMON scaling and ADC range,"Equation 12 and Equation 13 map VSNS and RIMON/RSET to VIMON; linear IMON range is limited by min(VS - 0.5V and 5.5V) and IMON clamp behavior","PB-100 telemetry ranges are 0-30A high OUT2 0-20A medium and 0-8A low current and must remain ADC-safe for LB-100","RIMON RSET RSNS and ADC scaling close with current telemetry calibration and firmware configuration budget evidence","Do not close with firmware-only calibration or an IMON range that can overdrive LB-100 ADC"
OUTDRV-008,TPS48110Q1EVM reference positions,"EVM jumper references include TMR 15ms 150ms and latch-off positions IMON 0.09V/A and 0.034V/A positions and IWRN 5A 15A and 50A positions","PB-100 may use EVM values only as sanity checks because PB-100 fuses MOSFETs telemetry ranges and load cases differ","Any EVM-derived resistor/capacitor value is re-derived with PB-100 current class RSNS RSET Qg and tOC assumptions before schematic freeze","Do not copy EVM BOM values directly into PB-100 schematic as final release values"
OUTDRV-009,Per-class closure matrix,"OUTVAL-002 OUTVAL-003 and OUTVAL-004 map derivations into OUT2 high OUT1/OUT3/OUT4/OUT6/OUT7/OUT10 medium and OUT5/OUT8/OUT9 low-current channels","High current keeps OUT2 SOA escape conditions; medium keeps 15A and 10A fuse paths; low keeps ADR-0011 external-controller no direct 40V smart-switch rail","Every class has OV IWRN ISCP TMR BST gate-drive current-sense IMON and clamp values tied to generated output-stage design rows","Do not close schematic freeze until every selected class value is promoted into value-bearing sheets"
OUTDRV-010,No-layout derivation boundary,"This precheck is schematic-review evidence only and does not authorize MOSFET placement fuse placement connector placement copper geometry Gerbers drills pick-place or PB-100.kicad_pcb","Layout authorization remains blocked until all output-stage values plus other freeze gates close","Validator confirms derivation evidence exists while output-stage values stay Conditional before schematic freeze","Do not create PCB layout or manufacturing outputs from this derivation precheck"
