Interface,Target current or fuse,Connector or fuse family,Status,Notes
Battery input,50A main fuse / 40A board budget,Ring-lug battery lead plus MAXI holder then high-current sealed harness entry or serviceable gland TBD,Conditional,Do not use DT or DTP for 50A input path; candidate wire 6mm2 / 10AWG or larger until derating review closes
Main harness fuse,50A,Littelfuse MAXI 152 or MAH sealed inline holder,Candidate,Install near battery and select holder variant with 50A continuous margin service cover and matching cable seals
OUT1,15A fuse / 12A limit,DEUTSCH DTP 2-pin class,Candidate,DTP size 12 25A contact class selected because DT 13A class is too close for 15A fuse class
OUT2,20A fuse / 18A limit,DEUTSCH DTP 2-pin class,Candidate,DTP size 12 25A contact class selected for compressor reference load and 20A fuse class
OUT3,10A fuse / 8A limit,DEUTSCH DT 2-pin class,Candidate,DT size 16 13A contact class has margin for 10A fuse class
OUT4,10A fuse / 8A limit,DEUTSCH DT 2-pin class,Candidate,DT size 16 13A contact class has margin for 10A fuse class
OUT5,5A fuse / 4A limit,DEUTSCH DT 2-pin class,Candidate,DT chosen for output connector commonality with 5A fuse class
OUT6,10A fuse / 8A limit,DEUTSCH DT 2-pin class,Candidate,DT size 16 13A contact class has margin for 10A fuse class
OUT7,10A fuse / 8A limit,DEUTSCH DT 2-pin class,Candidate,DT size 16 13A contact class has margin for 10A fuse class
OUT8,5A fuse / 4A limit,DEUTSCH DT 2-pin class,Candidate,DT chosen for output connector commonality with 5A fuse class
OUT9,5A fuse / 4A limit,DEUTSCH DT 2-pin class,Candidate,DT chosen for output connector commonality with 5A fuse class
OUT10,10A fuse / 8A limit,DEUTSCH DT 2-pin class,Candidate,DT size 16 13A contact class has margin for 10A fuse class
CAN/service,Signal current,DEUTSCH DTM 4-pin class,Candidate,DTM size 20 7.5A contact class is signal/CAN only and must not carry output power
External inputs,Signal current,DEUTSCH DTM 8-pin class,Candidate,Buttons ADC pulse and low-current signals only with DTM size 20 contacts
Per-channel fuses,5A 10A 15A 20A,MINI/ATO blade fuse family,Candidate,Final holder style must keep fuses user-serviceable from service cover or external fuse block
