Scope,JPB1 pin,Net,STM32H563VITx LQFP100 pin,Package position,Peripheral or pin evidence,Default or population rule,Review status,Open blocker,Blocked action
Power/reference,1,GND,No MCU pin,N/A,ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Power/reference only; handled by rail tree and sequencing review,Closed,Closed: no MCU binding required for power/reference pins; rail evidence remains in LB-100 rail-tree gates,Do not route power/reference pins as MCU GPIO
Power/reference,2,GND,No MCU pin,N/A,ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Power/reference only; handled by rail tree and sequencing review,Closed,Closed: no MCU binding required for power/reference pins; rail evidence remains in LB-100 rail-tree gates,Do not route power/reference pins as MCU GPIO
Power/reference,3,GND,No MCU pin,N/A,ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Power/reference only; handled by rail tree and sequencing review,Closed,Closed: no MCU binding required for power/reference pins; rail evidence remains in LB-100 rail-tree gates,Do not route power/reference pins as MCU GPIO
Power/reference,4,GND,No MCU pin,N/A,ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Power/reference only; handled by rail tree and sequencing review,Closed,Closed: no MCU binding required for power/reference pins; rail evidence remains in LB-100 rail-tree gates,Do not route power/reference pins as MCU GPIO
Power/reference,5,GND,No MCU pin,N/A,ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Power/reference only; handled by rail tree and sequencing review,Closed,Closed: no MCU binding required for power/reference pins; rail evidence remains in LB-100 rail-tree gates,Do not route power/reference pins as MCU GPIO
Power/reference,6,GND,No MCU pin,N/A,ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Power/reference only; handled by rail tree and sequencing review,Closed,Closed: no MCU binding required for power/reference pins; rail evidence remains in LB-100 rail-tree gates,Do not route power/reference pins as MCU GPIO
Power/reference,7,GND,No MCU pin,N/A,ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Power/reference only; handled by rail tree and sequencing review,Closed,Closed: no MCU binding required for power/reference pins; rail evidence remains in LB-100 rail-tree gates,Do not route power/reference pins as MCU GPIO
Power/reference,8,GND,No MCU pin,N/A,ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Power/reference only; handled by rail tree and sequencing review,Closed,Closed: no MCU binding required for power/reference pins; rail evidence remains in LB-100 rail-tree gates,Do not route power/reference pins as MCU GPIO
Power/reference,9,GND,No MCU pin,N/A,ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Power/reference only; handled by rail tree and sequencing review,Closed,Closed: no MCU binding required for power/reference pins; rail evidence remains in LB-100 rail-tree gates,Do not route power/reference pins as MCU GPIO
Power/reference,10,GND,No MCU pin,N/A,ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Power/reference only; handled by rail tree and sequencing review,Closed,Closed: no MCU binding required for power/reference pins; rail evidence remains in LB-100 rail-tree gates,Do not route power/reference pins as MCU GPIO
Power/reference,11,AGND,No MCU pin,N/A,ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Power/reference only; handled by rail tree and sequencing review,Closed,Closed: no MCU binding required for power/reference pins; rail evidence remains in LB-100 rail-tree gates,Do not route power/reference pins as MCU GPIO
Power/reference,12,AGND,No MCU pin,N/A,ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Power/reference only; handled by rail tree and sequencing review,Closed,Closed: no MCU binding required for power/reference pins; rail evidence remains in LB-100 rail-tree gates,Do not route power/reference pins as MCU GPIO
Power/reference,13,PB_5V_OUT,No MCU pin,N/A,ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Power/reference only; handled by rail tree and sequencing review,Closed,Closed: no MCU binding required for power/reference pins; rail evidence remains in LB-100 rail-tree gates,Do not route power/reference pins as MCU GPIO
Power/reference,14,PB_5V_OUT,No MCU pin,N/A,ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Power/reference only; handled by rail tree and sequencing review,Closed,Closed: no MCU binding required for power/reference pins; rail evidence remains in LB-100 rail-tree gates,Do not route power/reference pins as MCU GPIO
Power/reference,15,PB_5V_OUT,No MCU pin,N/A,ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Power/reference only; handled by rail tree and sequencing review,Closed,Closed: no MCU binding required for power/reference pins; rail evidence remains in LB-100 rail-tree gates,Do not route power/reference pins as MCU GPIO
Power/reference,16,PB_5V_OUT,No MCU pin,N/A,ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Power/reference only; handled by rail tree and sequencing review,Closed,Closed: no MCU binding required for power/reference pins; rail evidence remains in LB-100 rail-tree gates,Do not route power/reference pins as MCU GPIO
Power/reference,17,LB_3V3_IO,No MCU pin,N/A,ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Power/reference only; handled by rail tree and sequencing review,Closed,Closed: no MCU binding required for power/reference pins; rail evidence remains in LB-100 rail-tree gates,Do not route power/reference pins as MCU GPIO
Power/reference,18,LB_3V3_IO,No MCU pin,N/A,ST STM32_open_pin_data mcu/STM32H563VITx.xml DBVersion V3.0 Package LQFP100 IONb 80; source https://github.com/STMicroelectronics/STM32_open_pin_data/blob/master/mcu/STM32H563VITx.xml; evidence date 2026-07-20,Power/reference only; handled by rail tree and sequencing review,Closed,Closed: no MCU binding required for power/reference pins; rail evidence remains in LB-100 rail-tree gates,Do not route power/reference pins as MCU GPIO
