Check ID,Review item,Required close evidence,Primary artifacts,Pass condition,Blocked action
CUR-FRZ-001,Total shunt range,"0.5mΩ CSS4J-4026R-L500F-class four-terminal AEC-Q200 shunt gives 20mV at 40A and 0.8W, 30mV at 60A and 1.8W, and 81.92A full-scale on the ±40.96mV monitor range","PB-100-current-telemetry-design-calculation.md; PB-100-current-telemetry-freeze-review.csv; PB-100-input-power-design-values.csv","0-60 A IIN_SENSE range and 40 A board-current budget pass shunt power Kelvin and monitor-range review","Do not change the shunt value range or package without updating board-current budget and calibration evidence"
CUR-FRZ-002,Monitor family and sourcing,"INA228-Q1 remains the preferred total-current monitor with INA229-Q1 and INA226 alternates retained; monitor review keeps 85 V VBUS 2.7 V to 5.5 V supply 16 I2C addresses and exact Q1 orderable suffix open","PB-100-current-telemetry-design-calculation.md; PB-100-current-monitor-pin-template.csv; PB-100-symbol-mpn-readiness.csv; production/bom/pb100_assembly_sourcing_recheck.csv","Monitor family and package are locked only after sourcing address range VBUS and assembly evidence close","Do not lock U2 MPN address straps or footprint before schematic freeze review"
CUR-FRZ-003,Kelvin sense and input filter,"IIN_SHUNT_HI and IIN_SHUNT_LO remain Kelvin sense nets with separate shunt power path plus candidate 10Ω series resistors and 1nF C0G differential filter","PB-100-current-telemetry-design-calculation.md; PB-100-schematic-net-domain-plan.csv; PB-100-board-current-budget-freeze-review.csv","Four-terminal shunt symbol footprint filter error step response and transient robustness are reviewed before layout authorization","Do not replace Kelvin sensing with two-terminal measurement or route shunt copper before schematic freeze"
CUR-FRZ-004,I2C address and pull-up ownership,"A1 = GND and A0 = GND candidate address 0x40 remains pending LB-100 bus collision review; PB_I2C_SCL and PB_I2C_SDA pull-ups are LB_3V3_IO-owned 4.7kΩ to 10kΩ with PB-side pull-ups DNP by default","PB-100-current-telemetry-design-calculation.md; PB-100-current-monitor-pin-template.csv; PB-100-b2b-lb100-resource-binding.csv","LB-100 owns bus pull-ups capacitance exact MCU pins and address allocation before schematic freeze","Do not depend on duplicate PB-side pull-ups or optional monitor bus to enable outputs"
CUR-FRZ-005,Alert and diagnostic boundary,"PB_I2C_INT remains an open-drain diagnostic interrupt with LB-owned pull-up or 47kΩ PB DNP option; alert can deny or derate outputs but must not enable outputs","PB-100-current-telemetry-design-calculation.md; PB-100-current-monitor-pin-template.csv; PB-100-fault-response-matrix.csv","Alert polarity pull-up domain and firmware mapping close as diagnostic-only behavior before schematic freeze","Do not let PB_I2C_INT bypass safe-off state or enable outputs"
CUR-FRZ-006,VBUS protected rail sense,"VBAT_PROT to INA228 VBUS uses candidate 1kΩ series resistor and 1nF 100V local filter; VBUS stress is reviewed against LM74930-Q1 cutoff-loop overshoot and protected rail sequencing","PB-100-current-telemetry-design-calculation.md; PB-100-input-power-design-values.csv; PB-100-tvs-overshoot-escape-checklist.csv","VBUS input remains within monitor rating under protected rail load-dump and surge review","Do not sense VBAT_RAW or VBAT_REV_PROT or expose monitor input above rating"
CUR-FRZ-007,Per-output IMON scaling,"OUT1_IMON through OUT10_IMON stay generic ADC-safe telemetry with OUT2 0-30A OUT1 0-20A medium outputs 0-15A and low outputs 0-8A ranges plus RC filtering and ADC calibration open","PB-100-current-telemetry-trace.csv; PB-100-current-telemetry-map.csv; PB-100-output-channel-pin-contract.csv","Every output current signal maps to LB ADC-capable resources and remains role-free with calibration evidence before freeze","Do not encode vehicle role names or skip ADC scaling review"
CUR-FRZ-008,Configuration calibration boundary,"telemetry.total_current and telemetry.output_current hold calibration data not firmware constants including 500µΩ shunt value 40960µV monitor range 1000 ms stale timeout and 60000 mA plausible maximum","PB-100-current-telemetry-design-calculation.md; firmware/configs/config-example.json; firmware/configs/svc-config.schema.json; firmware/core/svc_config.h","Calibration schema and firmware tests prove shunt gain offset stale timeout and plausible limits remain configuration-owned","Do not hard-code current telemetry calibration constants in firmware"
CUR-FRZ-009,Stale safe-fault and bench path,"PB-BENCH-005 PB-BENCH-006 and PB-BENCH-010 cover per-output telemetry total input telemetry and board-current budget; stale-telemetry denial safe-off behavior and total_current_limit_a 40 remain required","docs/testing/test-plan.md; PB-100-fault-response-matrix.csv; firmware/tests/test_telemetry.c; firmware/tests/test_rule_runtime.c; firmware/tests/test_system_safety.c","Bench and host tests deny stale saturated missing or implausible current telemetry before first motorcycle power","Do not run first-power on motorcycle before telemetry and current-budget bench tests pass"
CUR-FRZ-010,Factory sourcing and layout boundary,"TOTAL_CURRENT_MONITOR and TOTAL_CURRENT_SHUNT remain JLCPCB PCBWay sourcing recheck items with INA228-Q1 INA229-Q1 INA226 CSS4J-4026R-L500F and 1.0mΩ fallback alternatives; No PCB layout PB-100.kicad_pcb Gerbers drills pick-place shunt copper or Kelvin routing is authorized","PB-100-assembly-readiness-trace.csv; production/bom/pb100_assembly_sourcing_recheck.csv; production/bom/pb100_sourcing_evidence_snapshot.csv; PB-100-schematic-freeze-checklist.md","Monitor and shunt have active production sources and at least two viable alternatives before MPN footprint or BOM lock","Do not create PB-100.kicad_pcb Gerbers drills pick-place shunt copper or Kelvin routing before schematic freeze"
