Connector,Pin,Net,Signal group,Direction,Requirement,Voltage domain,Default state,LB-100 resource,Notes
JPB1,1,GND,Power,PB-100/LB-100,Core,GND,N/A,None,Ground return
JPB1,2,GND,Power,PB-100/LB-100,Core,GND,N/A,None,Ground return
JPB1,3,GND,Power,PB-100/LB-100,Core,GND,N/A,None,Ground return
JPB1,4,GND,Power,PB-100/LB-100,Core,GND,N/A,None,Ground return
JPB1,5,GND,Power,PB-100/LB-100,Core,GND,N/A,None,Ground return
JPB1,6,GND,Power,PB-100/LB-100,Core,GND,N/A,None,Ground return
JPB1,7,GND,Power,PB-100/LB-100,Core,GND,N/A,None,Ground return
JPB1,8,GND,Power,PB-100/LB-100,Core,GND,N/A,None,Ground return
JPB1,9,GND,Power,PB-100/LB-100,Core,GND,N/A,None,Ground return
JPB1,10,GND,Power,PB-100/LB-100,Core,GND,N/A,None,Ground return
JPB1,11,AGND,Power,PB-100/LB-100,Core,AGND,N/A,None,Analog ground reference
JPB1,12,AGND,Power,PB-100/LB-100,Core,AGND,N/A,None,Analog ground reference
JPB1,13,PB_5V_OUT,Power,PB-100 to LB-100,Core,PB_5V,Protected 5V,Power input,Protected logic supply
JPB1,14,PB_5V_OUT,Power,PB-100 to LB-100,Core,PB_5V,Protected 5V,Power input,Protected logic supply
JPB1,15,PB_5V_OUT,Power,PB-100 to LB-100,Core,PB_5V,Protected 5V,Power input,Protected logic supply
JPB1,16,PB_5V_OUT,Power,PB-100 to LB-100,Core,PB_5V,Protected 5V,Power input,Protected logic supply
JPB1,17,LB_3V3_IO,Power,LB-100 to PB-100,Core,LB_3V3,LB supplied,Power output,PB-side logic reference
JPB1,18,LB_3V3_IO,Power,LB-100 to PB-100,Core,LB_3V3,LB supplied,Power output,PB-side logic reference
JPB1,19,PB_PWR_GOOD,Status,PB-100 to LB-100,Core,LB_3V3,Inactive until valid,GPIO input,Logic power-good status
JPB1,20,PB_WAKE_REQ,Status,PB-100 to LB-100,Should,LB_3V3,Inactive,GPIO interrupt,Wake or fault wake request
JPB1,21,OUT1_CTL,Output control,LB-100 to PB-100,Core,LB_3V3,Pulled low off,GPIO PWM,Enable or PWM command
JPB1,22,OUT2_CTL,Output control,LB-100 to PB-100,Core,LB_3V3,Pulled low off,GPIO PWM,Enable or PWM command
JPB1,23,OUT3_CTL,Output control,LB-100 to PB-100,Core,LB_3V3,Pulled low off,GPIO PWM,Enable or PWM command
JPB1,24,OUT4_CTL,Output control,LB-100 to PB-100,Core,LB_3V3,Pulled low off,GPIO PWM,Enable or PWM command
JPB1,25,OUT5_CTL,Output control,LB-100 to PB-100,Core,LB_3V3,Pulled low off,GPIO PWM,Enable or PWM command
JPB1,26,OUT6_CTL,Output control,LB-100 to PB-100,Core,LB_3V3,Pulled low off,GPIO PWM,Enable or PWM command
JPB1,27,OUT7_CTL,Output control,LB-100 to PB-100,Core,LB_3V3,Pulled low off,GPIO PWM,Enable or PWM command
JPB1,28,OUT8_CTL,Output control,LB-100 to PB-100,Core,LB_3V3,Pulled low off,GPIO PWM,Enable or PWM command
JPB1,29,OUT9_CTL,Output control,LB-100 to PB-100,Core,LB_3V3,Pulled low off,GPIO PWM,Enable or PWM command
JPB1,30,OUT10_CTL,Output control,LB-100 to PB-100,Core,LB_3V3,Pulled low off,GPIO PWM,Enable or PWM command
JPB1,31,OUT1_FLT,Output fault,PB-100 to LB-100,Core,LB_3V3,Fault until valid,GPIO input,Fault or diagnostic status
JPB1,32,OUT2_FLT,Output fault,PB-100 to LB-100,Core,LB_3V3,Fault until valid,GPIO input,Fault or diagnostic status
JPB1,33,OUT3_FLT,Output fault,PB-100 to LB-100,Core,LB_3V3,Fault until valid,GPIO input,Fault or diagnostic status
