Check ID,Review item,Required close evidence,Primary artifacts,Pass condition,Blocked action
THERM-FRZ-001,Sensor class and alternates,"NTCGS103JF103FT8-class 10k 150C AEC-Q200 NTC remains preferred for TEMP_PCB TEMP_PWR_A and TEMP_PWR_B with Vishay NTCS0402E3 and Murata NCU18 automotive alternates retained","PB-100-thermal-telemetry.md; PB-100-thermal-telemetry-freeze-review.csv; production/bom/pb100_assembly_sourcing_recheck.csv","Three thermal points keep an automotive NTC class and at least two alternatives before MPN lock","Do not reduce thermal point count or lock THERMAL_NTC MPN before sourcing review"
THERM-FRZ-002,Placement zones,"TEMP_PCB remains board reference, TEMP_PWR_A remains OUT2 and input reverse hot zone, and TEMP_PWR_B remains medium-output or logic-buck hot zone without footprint placement","PB-100-thermal-telemetry-map.csv; PB-100-schematic-net-domain-plan.csv; PB-100-board-current-budget-freeze-review.csv","Placement intent is captured for each thermal risk area while placement and thermal copper stay blocked","Do not place sensors thermal pads or copper before schematic freeze and layout authorization"
THERM-FRZ-003,Divider and ADC scaling,"4.7kΩ 1% AEC-Q200 pull-up to LB_3V3_IO, 10kΩ NTC to GND, 1kΩ ADC series resistor and 10nF X7R filter remain candidate values; calculated points include 0.95 V at 75 °C, 0.78 V at 85 °C, and 0.52 V at 105 °C","PB-100-thermal-telemetry-design-calculation.md; PB-100-thermal-telemetry-trace.csv; firmware/configs/config-example.json","Divider values ADC range and plausible limits cover recovery warn and cutoff thresholds before schematic freeze","Do not lock divider resistor capacitor or ADC scaling values from candidate math alone"
THERM-FRZ-004,Self-heating review,"Divider current is about 224µA at 25 °C and NTC dissipation is about 0.50mW at 25 °C and 0.31mW at 105 °C; package dissipation airflow and enclosure assumptions remain open","PB-100-thermal-telemetry-design-calculation.md; PB-100-thermal-telemetry-freeze-review.csv","Selected NTC package self-heating and enclosure assumptions are accepted before final values","Do not close thermal telemetry without self-heating and bench calibration evidence"
THERM-FRZ-005,ADC settling and LB ownership,"LB-100 ADC input leakage and sample/hold settling must be checked with the 1kΩ ADC series resistor and 10nF filter on TEMP_PCB TEMP_PWR_A and TEMP_PWR_B","PB-100-thermal-telemetry-design-calculation.md; PB-100-b2b-lb100-resource-binding.csv; hardware/logic-board/LB-100/LB-100-power-budget-precheck.md","LB ADC settling and pin ownership are reviewed before schematic freeze","Do not lock filter values or LB MCU pins before ADC settling review"
THERM-FRZ-006,Configuration thresholds and calibration,"85C warn 105C cutoff 75C recovery stay in telemetry.thermal configuration and calibration data with 10000Ω nominal NTC, 3435 K beta, 4700Ω pull-up, 1000Ω ADC series, 10 nF filter, 1000 ms stale timeout, and -40 to 150 °C plausible range","PB-100-thermal-telemetry-design-calculation.md; firmware/configs/config-example.json; firmware/configs/svc-config.schema.json; firmware/core/svc_config.h","Configuration schema and defaults keep thermal calibration and thresholds outside driver constants","Do not hard-code thermal thresholds or divider calibration outside configuration"
THERM-FRZ-007,Firmware fail-safe,"Missing stale saturated or implausible thermal telemetry forces derate or cutoff through Thermal Service and System Safety with test_stale_thermal_telemetry_forces_cutoff retained","PB-100-thermal-telemetry-freeze-review.csv; PB-100-fault-response-matrix.csv; firmware/tests/test_thermal_service.c; firmware/tests/test_system_safety.c","Firmware tests keep stale thermal telemetry from enabling or keeping outputs on","Do not allow stale thermal telemetry to keep outputs enabled"
THERM-FRZ-008,Bench validation path,"PB-BENCH-009 covers thermal derating; bench calibration owns divider calibration threshold adjustment enclosure conditions and motorcycle first-power boundary","docs/testing/test-plan.md; PB-100-test-point-plan.csv; PB-100-thermal-telemetry-trace.csv","Bench plan covers warn cutoff recovery stale telemetry and calibration before motorcycle first-power","Do not run motorcycle first-power before thermal bench validation passes"
THERM-FRZ-009,Factory assembly sourcing,"THERMAL_NTC remains a JLCPCB PCBWay sourcing recheck item with TDK NTCGS103JF103FT8 Vishay NTCS0402E3 Murata NCU18 and optional TMP117/TMP112-class digital alternate evidence","PB-100-assembly-readiness-trace.csv; production/bom/pb100_assembly_sourcing_recheck.csv; production/bom/pb100_sourcing_evidence_snapshot.csv","0402 NTC assembly B-curve 150C rating and at least two alternates are reviewed before MPN footprint or BOM lock","Do not generate pick-place or assembly outputs before sourcing recheck and schematic freeze"
THERM-FRZ-010,Layout authorization boundary,"Thermal telemetry review remains schematic-only and does not authorize TEMP_PCB TEMP_PWR_A TEMP_PWR_B placement thermal copper PB-100.kicad_pcb Gerbers drills or pick-place output","PB-100-schematic-capture-work-queue.csv; PB-100-kicad-prep.md; PB-100-schematic-freeze-checklist.md","No PCB layout or manufacturing output exists until all freeze gates close","Do not create PB-100.kicad_pcb Gerbers drills pick-place sensor placement or thermal copper before schematic freeze"
