Derivation ID,Scope,Formula or source basis,Project input,Required PB-100 close evidence,Blocked action
THERM-DER-001,Sensor source boundary,"TDK NTCGS103JF103FT8 remains the preferred 10k 150C AEC-Q200 NTC class with Vishay NTCS0402E3 and Murata NCU18 automotive alternates retained","TEMP_PCB TEMP_PWR_A and TEMP_PWR_B use the same THERMAL_NTC class unless schematic review proves different placement or package needs","Three thermal points keep automotive NTC source evidence at least two alternatives and package assembly review","Do not reduce thermal point count or lock THERMAL_NTC MPN before sourcing review"
THERM-DER-002,NTC beta equation,"Use RNTC = R25 * exp(B * (1/T - 1/T25)) with temperature in kelvin for the first schematic-review curve","R25 10000Ω at 25 °C; B25/85 3435 K; -40 °C to 150 °C plausible range","Exact B-curve tolerance calibration table and NTC suffix are reviewed before schematic freeze","Do not lock temperature conversion constants from generic NTC assumptions"
THERM-DER-003,Divider ADC voltage equation,"Use VADC = 3.3 V * RNTC / (4.7 kΩ + RNTC) for pull-up to LB_3V3_IO and NTC to GND","4.7kΩ pull-up; 10kΩ NTC; calculated 0.95 V at 75 °C recovery 0.78 V at 85 °C warn and 0.52 V at 105 °C cutoff","Divider values ADC range tolerance and plausible limits cover recovery warn and cutoff thresholds before schematic freeze","Do not lock divider resistor capacitor or ADC scaling values from candidate math alone"
THERM-DER-004,Self-heating estimate,"Use divider current and PNTC = I^2 * RNTC to bound self-heating before package and airflow evidence close","About 224µA at 25 °C; about 0.50mW at 25 °C; about 0.31mW at 105 °C","Selected NTC package dissipation constant airflow enclosure and bench calibration evidence close before final values","Do not close thermal telemetry without self-heating evidence"
THERM-DER-005,ADC settling and filter boundary,"LB-100 ADC input leakage sample/hold impedance and settling must be checked with the 1kΩ ADC series resistor and 10nF X7R filter","TEMP_PCB TEMP_PWR_A and TEMP_PWR_B use LB ADC paths; 1kΩ ADC series resistor; 10nF filter; LB_3V3_IO domain","LB-100 ADC settling sampling time pin ownership and leakage review close before schematic freeze","Do not lock filter values or LB MCU pins before ADC settling review"
THERM-DER-006,Placement-zone bridge,"Thermal zones map sensor placement intent to the board risk areas without placing footprints before layout authorization","TEMP_PCB board reference; TEMP_PWR_A OUT2 and input reverse hot zone; TEMP_PWR_B medium-output or logic-buck hot zone","Placement review captures thermal coupling enclosure airflow and serviceability constraints before layout authorization","Do not place sensors thermal pads or copper before schematic freeze"
THERM-DER-007,Configuration calibration bridge,"telemetry.thermal holds calibration and thresholds outside firmware constants","10000Ω nominal NTC; 3435 K beta; 4700Ω pull-up; 1000Ω ADC series; 10 nF filter; 1000 ms stale timeout; 85C warn 105C cutoff 75C recovery; -40 to 150 °C plausible range","Config schema firmware tests and bench calibration prove per-zone gain offset beta thresholds stale timeout and plausible limits remain configuration-owned","Do not hard-code thermal thresholds or divider calibration outside configuration"
THERM-DER-008,Firmware fail-safe and bench path,"Missing stale saturated or implausible thermal telemetry must force derate or cutoff through Thermal Service and System Safety before motorcycle first-power","test_stale_thermal_telemetry_forces_cutoff; PB-BENCH-009; bench calibration owns divider calibration and enclosure assumptions","Firmware tests and bench records cover warn cutoff recovery stale telemetry and calibration before motorcycle first-power","Do not run motorcycle first-power before thermal bench validation passes"
THERM-DER-009,Factory sourcing and alternates,"THERMAL_NTC remains a JLCPCB PCBWay sourcing recheck item with analog and optional digital alternates retained","TDK NTCGS103JF103FT8; Vishay NTCS0402E3; Murata NCU18; optional TMP117/TMP112-class digital alternate","0402 NTC assembly B-curve 150C rating and at least two alternates are reviewed before MPN footprint or BOM lock","Do not generate pick-place or assembly outputs before sourcing recheck and schematic freeze"
THERM-DER-010,No-layout validation boundary,"This precheck is schematic-review evidence only and does not authorize TEMP_PCB TEMP_PWR_A TEMP_PWR_B placement thermal copper Gerbers drills pick-place manufacturing ZIP or PB-100.kicad_pcb","PB-100-schematic-freeze-checklist.md; PB-100-kicad-prep.md; tools/validate_pb100.py","Thermal derivation planning exists while layout authorization remains blocked until all freeze gates close","Do not create PB-100.kicad_pcb Gerbers drills pick-place sensor placement or thermal copper before schematic freeze"
