Precheck ID,Scope,Required evidence bridge,Project input,Required PB-100 close evidence,Blocked action
THERM-CLS-001,Sensor class and source bridge,"TDK NTCGS103JF103FT8 remains the preferred 10k 150C AEC-Q200 NTC class for TEMP_PCB TEMP_PWR_A and TEMP_PWR_B with Vishay NTCS0402E3 and Murata NCU18 alternates retained","THERMAL_NTC remains a JLCPCB PCBWay sourcing recheck item and optional TMP117/TMP112 digital alternate evidence stays deferred","Exact suffix B-curve tolerance package dissipation assembly availability and at least two viable alternates close before MPN or footprint lock","Do not reduce thermal point count lock THERMAL_NTC MPN or change sensor class before schematic freeze"
THERM-CLS-002,Divider equation and value bridge,"PB-100-thermal-telemetry-design-calculation.md and value prechecks use RNTC = R25 * exp(B * (1/T - 1/T25)) plus VADC = 3.3 V * RNTC / (4.7 kΩ + RNTC)","R25 10000Ω at 25 °C; 3435 K beta; 4.7kΩ pull-up to LB_3V3_IO; 10kΩ NTC to GND; 1kΩ ADC series; 10nF X7R filter","Divider tolerance ADC range filter response and plausible limits cover 0.95 V at 75 °C 0.78 V at 85 °C and 0.52 V at 105 °C before schematic freeze","Do not lock divider resistor capacitor or ADC scaling values from candidate math alone"
THERM-CLS-003,Placement-zone bridge,"TEMP_PCB remains board reference TEMP_PWR_A remains OUT2 and input reverse hot zone and TEMP_PWR_B remains medium-output or logic-buck hot zone without footprint placement","PB-100-thermal-telemetry-map.csv PB-100-schematic-net-domain-plan.csv and PB-100-board-current-budget-freeze-review.csv keep placement intent schematic-only","Thermal coupling enclosure airflow serviceability and power-zone placement review close before layout authorization","Do not place sensors thermal pads thermal copper or board-zone keepouts before schematic freeze"
THERM-CLS-004,Self-heating package bridge,"Use divider current and PNTC = I^2 * RNTC to bound NTC self-heating before package and airflow evidence close","224µA at 25 °C; 0.50mW at 25 °C; 0.31mW at 105 °C; selected package dissipation constant remains open","NTC package dissipation constant airflow enclosure assumptions thermal coupling and bench calibration evidence close before final values","Do not close thermal telemetry without self-heating and bench calibration evidence"
THERM-CLS-005,ADC settling and LB ownership bridge,"TEMP_PCB TEMP_PWR_A and TEMP_PWR_B use LB ADC paths with 1kΩ ADC series resistor and 10nF filter on the LB_3V3_IO domain","PB-100-b2b-lb100-resource-binding.csv keeps ADC resource ownership open with sample/hold impedance leakage and sampling-time review required","Exact LB-100 MCU pins ADC settling leakage sample time input impedance and any external ADC/mux decision close before schematic freeze","Do not lock filter values or route thermal telemetry to non-ADC-capable resources before ADC settling review"
THERM-CLS-006,Configuration calibration bridge,"telemetry.thermal keeps calibration and thresholds outside firmware constants","10000Ω nominal NTC; 3435 K beta; 4700Ω pull-up; 1000Ω ADC series; 10 nF filter; 1000 ms stale timeout; 85C warn 105C cutoff 75C recovery; -40 to 150 °C plausible range","Config schema firmware defaults host tests and bench calibration prove per-zone beta gain offset thresholds stale timeout and plausible limits remain configuration-owned","Do not hard-code thermal thresholds divider values beta constants stale timeout or plausible limits outside configuration"
THERM-CLS-007,Firmware fail-safe bridge,"Missing stale saturated or implausible thermal telemetry forces derate or cutoff through Thermal Service and System Safety","PBFLT-THERM-HIGH PBFLT-THERM-STALE test_stale_thermal_telemetry_forces_cutoff test_stale_thermal_telemetry_disables_active_outputs and fault matrix evidence remain required","Firmware tests and fault-response matrix prove stale thermal telemetry cannot enable or keep outputs on before first-power release","Do not allow stale thermal telemetry to keep outputs enabled or bypass safe-off behavior"
THERM-CLS-008,Bench validation bridge,"PB-BENCH-009 covers thermal derating warn cutoff recovery stale telemetry enclosure conditions and calibration before first motorcycle power after prototype assembly","docs/testing/test-plan.md PB-100-test-point-plan.csv PB-100-thermal-telemetry-trace.csv PB-100-post-prototype-validation-gate.csv and firmware thermal tests remain primary evidence","Bench records confirm divider calibration threshold adjustment derating cutoff recovery and stale-fault behavior before motorcycle first-power","Do not run motorcycle first-power before thermal bench validation passes"
THERM-CLS-009,Sourcing symbol and capture synchronization bridge,"THERMAL_NTC PB-100-symbol-mpn-readiness.csv production/bom/factory_bom_draft.csv production/bom/pb100_sourcing_evidence_snapshot.csv and telemetry.kicad_sch CAP-TEL source comments remain synchronized","TDK NTCGS103JF103FT8 Vishay NTCS0402E3 Murata NCU18 TMP117/TMP112 PB-100-thermal-telemetry-map.csv and PB-100-thermal-telemetry-value-freeze-checklist.csv stay aligned","Symbol MPN readiness factory sourcing evidence BOM rows thermal map and telemetry scaffold reference the same three thermal zones and no-layout boundary","Do not treat a symbol row BOM row or sourcing snapshot alone as schematic freeze closure"
THERM-CLS-010,No-layout and manufacturing boundary,"Thermal telemetry closeout is documentation-only until schematic freeze; No PCB layout PB-100.kicad_pcb Gerbers drills pick-place manufacturing ZIP TEMP_PCB TEMP_PWR_A TEMP_PWR_B placement thermal copper or board outline is authorized","CAP-TEL may keep telemetry.kicad_sch scaffold source comments synchronized with trace freeze review value checklist derivation precheck closeout precheck thermal map fault matrix and PB-100-post-prototype-validation-gate.csv","Layout authorization remains blocked until divider values sensor package ADC settling placement calibration hooks sourcing and freeze checklist close; physical bench execution is post-prototype","Do not create PB-100.kicad_pcb Gerbers drills pick-place manufacturing ZIP sensor placement thermal copper or board outline from this precheck"
