Precheck ID,Scope,Required evidence bridge,Project input,Required PB-100 close evidence,Blocked action
CAN1-CLS-001,Policy and hardware boundary bridge,"ADR-0002 Architecture v1.0 docs/can/can-safety.md and PB-100-can1-default-disable-freeze-checklist.csv keep CAN1 read-only by default configuration cannot enable TX and future CAN1 TX requires future ADR plus explicit hardware action","Vehicle CAN TX remains blocked by policy firmware capability manifest and hardware before schematic freeze","Architecture review firmware tests capability manifest schematic net-domain plan and freeze checklist all keep CAN1 TX physically disabled","Do not accept configuration-only firmware-only BOM-only or role-map CAN1 TX enablement"
CAN1-CLS-002,Physical missing-link bridge,"CAN1_TX_ROUTE stays DNP/open by default through JP_CAN1 0Ω 0603 DNP link or normally-open solder bridge candidate with no default-populated vehicle-CAN TX path","PB-100-can1-production-dnp-review.csv production/bom/factory_bom_draft.csv and production/bom/pb100_symbol_bom_map.csv keep production DNP/open ownership visible","Schematic BOM symbol map factory notes and DNP inspection evidence prove no default-populated TX link before schematic freeze","Do not populate JP_CAN1 CAN1_TX_ROUTE or equivalent TX link without future ADR and explicit hardware action"
CAN1-CLS-003,Default-disabled gate bridge,"U_CAN1 remains SN74LVC1G125-Q1-class non-inverting 3-state gate with OE high disabled and 47k pull-up from CAN1_TX_DISABLE_CMD or OE to LB_3V3_IO","LB-100 reset unpowered or absent must not enable CAN1 TX and CAN1_TX_DISABLE_CMD is a disable command not an enable command","Reset-state bench evidence schematic polarity review package suffix and pull/default values close before schematic freeze","Do not reinterpret CAN1_TX_DISABLE_CMD as an enable command or lock U_CAN1 values before reset bench evidence"
CAN1-CLS-004,TXD recessive bias bridge,"Downstream gated TXD keeps a 47k pull-up to transceiver VIO or LB_3V3_IO so TXD remains recessive while U_CAN1 is high-Z reset or unpowered","Final transceiver VIO ownership and TXD bias source remain schematic-freeze inputs","Transceiver TXD bias VIO ownership and chatter-free reset behavior close before values are locked","Do not lock transceiver TXD bias or VIO ownership without schematic review"
CAN1-CLS-005,Physical disabled-status readback bridge,"CAN1_TX_DISABLED_STATUS is sourced from the physical OE disable node through 1k series and 100k pull-up to LB_3V3_IO with optional 1nF DNP filter only","Status is not firmware-only and must not hide reset faults","LB-100-visible disabled status matches the physical disabled state during reset normal listen-only and DNP/open states before freeze","Do not accept firmware-only disabled-status evidence or populate filtering that hides reset faults"
CAN1-CLS-006,DNP link detect boundary bridge,"JP_CAN1 DNP/open state is verified through schematic BOM production DNP review and optional auxiliary normally-open link detect only if review requires direct link-state detection","Link population is not inferred from configuration firmware disabled-status alone and configuration cannot enable TX","DNP/open link-state visibility through production review or explicit auxiliary detect closes before layout authorization","Do not infer CAN1_TX_ROUTE population from software state disabled-status alone or configuration"
CAN1-CLS-007,RX listen-only independence bridge,"CAN1_RX_ROUTE may be populated independently for listen-only RX while CAN1_TX_ROUTE remains DNP/open and cannot bypass JP_CAN1","CAN2 expansion TX remains separate from vehicle-CAN TX policy","CAN1 listen-only RX bring-up does not require TX link population and B2B/net-domain evidence keeps RX independent","Do not couple CAN1 RX bring-up to CAN1 TX population or future-TX enablement"
CAN1-CLS-008,Firmware capability and bench bridge,"can_safety tests deny CAN1 TX while vehicle_can_read_only_default true tx_route_population DNP/open tx_requires_future_adr true and hardware_action_required_for_tx true stay in PB-100 capabilities","PB-BENCH-012 and CAN1-RST-001 through CAN1-RST-006 record no vehicle-CAN transmit frame reset default-disable DNP/open inspection and disabled-status behavior","Firmware capability host tests and bench records cannot bypass the physical missing-link and default-disabled gate policy","Do not run motorcycle first-power or release layout before CAN1 reset DNP/open and disabled-status bench evidence exists"
CAN1-CLS-009,Factory DNP and sourcing bridge,"CAN1_TX_DISABLE remains a factory-owned DNP/open symbol key with SN74LVC1G125-Q1-class gate candidate JLCPCB PCBWay handling review and no default-populated TX alternative without future ADR","production/bom/pb100_assembly_sourcing_recheck.csv production/bom/pb100_sourcing_evidence_snapshot.csv PB-100-assembly-readiness-trace.csv and production BOM rows stay synchronized","Factory DNP/open note gate package handling sourcing evidence and BOM population rules close before schematic freeze","Do not move DNP/open link to a default-populated item or release PCBA outputs with a populated CAN1 TX path"
CAN1-CLS-010,No-layout and manufacturing boundary,"CAN1 closeout is schematic-review evidence only; No PCB layout PB-100.kicad_pcb Gerbers drills pick-place manufacturing ZIP CAN1 TX route layout jumper footprint lock or fabrication package is authorized","CAP-CAN1 may keep can1-safety.kicad_sch scaffold source comments synchronized with trace verification production DNP freeze checklist derivation precheck closeout precheck and net-domain plan","Layout authorization remains blocked until physical missing link gate polarity disabled-status readback DNP handling bench evidence sourcing and freeze checklist close","Do not create PB-100.kicad_pcb Gerbers drills pick-place manufacturing ZIP CAN1 TX route layout jumper footprint lock or fabrication package before schematic freeze"
