Derivation ID,Scope,Formula or source basis,Project input,Required PB-100 close evidence,Blocked action
CAN1-DER-001,Policy and configuration boundary,"ADR-0002 requires CAN1 read-only by default; configuration cannot enable TX and any vehicle-CAN TX needs future ADR plus explicit hardware action","docs/adr/ADR-0002-can-read-only-default.md; docs/can/can-safety.md; PB-100-can1-default-disable-freeze-checklist.csv","Architecture firmware capability and schematic evidence all keep CAN1 TX physically disabled before schematic freeze","Do not accept configuration-only firmware-only BOM-only or role-map CAN1 TX enablement"
CAN1-DER-002,Physical missing-link boundary,"CAN1_TX_ROUTE stays DNP/open by default through JP_CAN1 0Ω 0603 / 0 Ω 0603 DNP link or normally-open solder bridge with no default-populated vehicle-CAN TX path","PB-100-can1-tx-disable-design-calculation.md; PB-100-can1-production-dnp-review.csv; production/bom/factory_bom_draft.csv","Production BOM schematic net domain and factory notes keep the vehicle-CAN TX path physically open by default","Do not populate JP_CAN1 CAN1_TX_ROUTE or equivalent TX link without future ADR and explicit hardware action"
CAN1-DER-003,Default-disabled gate polarity,"U_CAN1 uses SN74LVC1G125-Q1-class non-inverting 3-state gate with OE high disabled and 47 kΩ / 47k pull-up from CAN1_TX_DISABLE_CMD or OE to LB_3V3_IO","LB-100 reset unpowered or absent must not enable CAN1 TX; CAN1_TX_DISABLE_CMD is a disable command","Reset-state bench and schematic review prove the gate defaults disabled and cannot reinterpret the command as enable","Do not lock U_CAN1 polarity values or package before reset and unpowered bench evidence"
CAN1-DER-004,TXD recessive bias,"Downstream gated TXD keeps TXD recessive with a 47 kΩ / 47k pull-up to transceiver VIO or LB_3V3_IO while U_CAN1 is high-Z","Final transceiver VIO ownership remains schematic-review input","TXD cannot chatter dominant while the physical TX path is disabled reset or unpowered","Do not lock transceiver TXD bias or VIO ownership without schematic review"
CAN1-DER-005,Physical disabled-status readback,"CAN1_TX_DISABLED_STATUS is sourced from the physical disabled state at the OE node through 1 kΩ / 1k series and 100 kΩ / 100k pull-up to LB_3V3_IO; optional 1 nF DNP / 1nF DNP filter is DNP only","Status is not firmware-only and must not hide reset faults","LB-100-visible disabled status matches the physical disabled state during reset normal listen-only and DNP/open states","Do not accept firmware-only disabled-status evidence or populate filtering that hides reset faults"
CAN1-DER-006,DNP link detect boundary,"DNP link detect is optional and uses an auxiliary normally-open path only if review requires direct JP_CAN1 state detection; link population is not inferred from configuration firmware or status alone and configuration cannot enable TX","PB-100-can1-production-dnp-review.csv; PB-100-can1-reset-bench-checklist.csv","DNP/open link state remains visible through schematic BOM production review or explicit auxiliary detect before freeze","Do not infer CAN1_TX_ROUTE population from software state disabled-status alone or configuration"
CAN1-DER-007,RX listen-only independence,"CAN1_RX_ROUTE may be populated independently for listen-only RX while CAN1_TX_ROUTE remains DNP/open and cannot bypass JP_CAN1","PB-100-b2b-pin-map.csv; PB-100-schematic-net-domain-plan.csv; PB-100-b2b-interface-freeze-checklist.csv","CAN1 listen-only RX bench bring-up does not require TX link population or future-TX enablement","Do not couple CAN1 RX bring-up to CAN1 TX population"
CAN1-DER-008,Firmware capability and bench bridge,"can_safety tests deny CAN1 TX while CAN2 expansion TX remains separate; vehicle_can_read_only_default true tx_route_population DNP/open tx_requires_future_adr true and hardware_action_required_for_tx true stay in PB-100 capabilities; PB-BENCH-012 CAN1-RST-001 through CAN1-RST-006 record no vehicle-CAN transmit frame","firmware/tests/test_can_safety.c; firmware/configs/hardware/pb-100-capabilities.json; docs/testing/test-plan.md; PB-100-can1-reset-bench-checklist.csv","Firmware capability and bench evidence cannot bypass the physical missing-link and default-disabled gate policy","Do not run motorcycle first-power or release layout before CAN1 reset DNP/open and disabled-status bench evidence exists"
CAN1-DER-009,Factory DNP and sourcing bridge,"CAN1_TX_DISABLE stays a factory-owned DNP 0R link plus SN74LVC1G125-Q1-class gate candidate with JLCPCB/PCBWay DNP handling review no default-populated TX alternative without future ADR","factory_bom_draft.csv; pb100_symbol_bom_map.csv; pb100_assembly_sourcing_recheck.csv; production/bom/pb100_sourcing_evidence_snapshot.csv","Factory BOM sourcing DNP/open production note and gate package handling evidence close before schematic freeze","Do not move DNP/open link to a default-populated item or release PCBA outputs with a populated CAN1 TX path"
CAN1-DER-010,No-layout manufacturing boundary,"CAN1 default-disable derivation is schematic-review evidence only: No PCB layout PB-100.kicad_pcb Gerbers drills pick-place CAN1 TX route layout jumper footprint lock or fabrication package is authorized","PB-100-schematic-freeze-checklist.md; PB-100-board-release-blocker-register.csv; PB-100-schematic-capture-work-queue.csv","Repository remains free of CAN1 TX route layout layout files and manufacturing outputs until all freeze gates close","Do not create PB-100.kicad_pcb Gerbers drills pick-place CAN1 TX route layout jumper footprint lock or fabrication package before schematic freeze"
