Precheck ID,Scope,Required evidence bridge,Project input,Required PB-100 close evidence,Blocked action
OUTCLS-001,Source and formula boundary,"TI TPS4811-Q1 datasheet and TPS48110Q1EVM remain the accepted basis for TPS48110AQDGXRQ1 output-stage values including Equation 1 Equation 4 Equation 6 Equation 7 Equation 11 Equation 12 and Equation 13","PB-100-output-stage-value-derivation-precheck.csv; PB-100-output-stage-value-freeze-checklist.csv; PB-100-output-stage-design-values.csv","Reviewer records source revision formula inputs and any EVM deviation before final schematic values close","Do not copy EVM values or derive final values from unreviewed examples"
OUTCLS-002,Output class map bridge,"High current OUT2 20A fuse 18A configured limit medium current OUT1 OUT3 OUT4 OUT6 OUT7 OUT10 15A/12A and 10A/8A limits and low current OUT5 OUT8 OUT9 5A fuse 4A configured limit stay mapped to class-based values","PB-100-high-medium-output-baseline-trace.csv; PB-100-low-current-output-baseline-trace.csv; PB-100-output-channel-pin-contract.csv","Every output class maps to role-agnostic OUTn nets and final values close by class before schematic freeze","Do not encode accessory roles or release class values without OUT1 through OUT10 coverage"
OUTCLS-003,Design-item completeness bridge,"OV threshold divider Current warning threshold Short-circuit threshold Fault timer Bootstrap capacitor Gate drive resistors Current sense topology and Inductive clamp strategy rows remain present for High current Medium current and Low current with Value status Selected final pre-layout","PB-100-output-stage-design-values.csv; PB-100-output-soa-evidence.csv; PB-100-output-controller-pin-template.csv","Every design item has generated value source tolerance and freeze dependency evidence before class instances become value-bearing","Do not close the schematic-freeze gate until selected values and clamps are promoted into the sheets"
OUTCLS-004,Threshold and timer derivation bridge,"OUTn_IWRN_SET OUTn_ISCP_SET and OUTn_TMR values require RSET RSNS VOS_SET RIWRN RISCP CTMR tolerance; selected CTMR 680nF gives 9.95ms nominal timing against Equation 6 Equation 7 and Equation 11","PB-100-output-stage-value-derivation-precheck.csv; PB-100-output-stage-value-freeze-checklist.csv; PB-100-output-soa-evidence.csv","Warning threshold short-circuit threshold and fault timing values are generated per class and checked against fuse/MOSFET SOA evidence","Do not release threshold or timer values before schematic promotion ERC and netlist review"
OUTCLS-005,Bootstrap gate-drive and default-off bridge,"OUTn_BST OUTn_PU OUTn_PD OUTn_CTL OUTn_INP Qg_total C1 gate pull-down default-off reset and firmware invalid-configuration behavior close together before schematic freeze","PB-100-output-controller-pin-template.csv; PB-100-output-stage-design-values.csv; firmware/tests/test_output_manager.c","Bootstrap value gate slew pull-up pull-down discharge path and reset default-off behavior are proven for selected MOSFETs","Do not omit gate pull-down or rely on firmware-only default-off behavior"
OUTCLS-006,Current telemetry and ADC bridge,"OUTn_CS_P OUTn_CS_N OUTn_IMON scaling for 0-30A 0-20A and 0-8A ranges must stay LB-100 ADC-safe and synchronized with current telemetry calibration","PB-100-current-telemetry-map.csv; PB-100-current-telemetry-freeze-review.csv; PB-100-output-stage-design-values.csv","RIMON RSET RSNS filter tolerance ADC scaling and calibration ownership close before schematic freeze","Do not close output values with firmware-only calibration or an IMON range that can overdrive LB-100 ADC"
OUTCLS-007,SOA fuse and clamp bridge,"OUT2 SOA fuse energy 30A 100ms startup 80A 4ms transient 95.91A 5us short response medium fuse paths low-current fuse paths inductive clamp selected IAUT300N08S5N012ATMA2 80V MOSFET and TVS margin review close before output placement","PB-100-out2-soa.md; PB-100-out2-soa-envelope.csv; PB-100-output-soa-evidence.csv; PB-100-mosfet-voltage-margin-review.md; PB-100-tvs-load-dump-margin-trace.csv","Selected MOSFET fuse timing and clamp values pass generated SOA thermal and voltage margin review for each class","Do not release layout before OUT2 and per-class values are promoted and physical acceptance gates are retained"
OUTCLS-008,Low-current ADR boundary bridge,"ADR-0011 low-current channels OUT5 OUT8 OUT9 keep TPS48110AQDGXRQ1 external-controller plus IAUT300N08S5N012ATMA2 80V N-MOSFET baseline with no direct 40 V smart-switch rail and no direct 40V smart-switch rail","docs/adr/ADR-0011-pb-100-low-current-output-stage.md; PB-100-low-current-output-freeze-review.csv; PB-100-low-current-output-baseline-trace.csv","Low-current values protection notes and package choices close without introducing a direct smart-switch rail","Do not introduce a direct 40 V smart-switch rail or smart-switch footprint without a new ADR"
OUTCLS-009,Capture and instance bridge,"output-channel-template.kicad_sch outputs-1-10.kicad_sch PB-100-output-net-expansion.csv and PB-100-schematic-instance-symbol-map.csv stay synchronized for OUT1 through OUT10 using generic OUTn names only","PB-100-schematic-capture-work-queue.csv; PB-100-kicad-sheet-manifest.csv; PB-100-output-net-expansion.csv","Template values and ten output instances remain role-agnostic ERC-clean and traceable before schematic freeze","Do not fork per-accessory output circuits or add role-specific channel names"
OUTCLS-010,No-layout manufacturing boundary,"This closeout precheck is schematic-review evidence only: No PCB layout PB-100.kicad_pcb MOSFET placement fuse placement connector placement high-current copper Gerbers drills pick-place manufacturing ZIP or output footprint placement is authorized","PB-100-schematic-freeze-checklist.md; PB-100-board-release-blocker-register.csv; tools/validate_pb100.py","Repository remains free of output layout and manufacturing outputs until every freeze gate closes","Do not create PB-100.kicad_pcb Gerbers drills pick-place MOSFET placement fuse placement connector placement high-current copper manufacturing ZIP or output footprint placement before schematic freeze"
