Derivation ID,Scope,Formula or source basis,Project input,Required PB-100 close evidence,Blocked action
CUR-DER-001,Total shunt operating points,"Use Vshunt = I * Rshunt and Pshunt = I^2 * Rshunt for the 0.5mΩ four-terminal shunt candidate","40A gives 20mV and 0.8W; 50A gives 25mV and 1.25W; 60A gives 30mV and 1.8W; 81.92A monitor full-scale uses 40.96mV","Shunt resistance package power temperature rise fuse pulse Kelvin footprint and board-current budget evidence close together","Do not change TOTAL_CURRENT_SHUNT resistance package or range without updating board-current budget and calibration evidence"
CUR-DER-002,Monitor range and supply boundary,"TI INA228-Q1 and INA229-Q1 support ±40.96mV or ±163.84mV shunt ranges common-mode support from -0.3V to +85V 2.7V to 5.5V supply and 16 I2C addresses","INA228-Q1 preferred; INA229-Q1 and INA226 alternates retained; ±40.96mV range; LB_3V3_IO supply; candidate 0x40 address","Monitor family selected only after VBUS stress address range package source and LB-100 interface review close","Do not lock TOTAL_CURRENT_MONITOR MPN address straps or footprint before schematic freeze"
CUR-DER-003,Kelvin sense and input filter error,"Four-terminal measurement keeps IIN_SHUNT_HI and IIN_SHUNT_LO separate from the shunt power path; input filter error and step response must be reviewed","10Ω series resistor in each INA input leg plus 1nF C0G differential filter candidate","Filter mismatch bandwidth step response surge robustness and Kelvin routing evidence close before layout authorization","Do not replace Kelvin sensing with two-terminal measurement or route shunt copper before schematic freeze"
CUR-DER-004,I2C address and pull-up ownership,"Candidate INA address straps A1 = GND and A0 = GND select 0x40 while bus pull-ups and capacitance are owned by LB-100","PB_I2C_SCL and PB_I2C_SDA pull-ups are LB_3V3_IO-owned 4.7kΩ to 10kΩ; PB-side pull-ups DNP by default","LB-100 schematic proves bus pull-up values capacitance exact MCU pins and no address collision before PB-100 value lock","Do not depend on duplicate PB-side pull-ups or optional monitor bus to enable outputs"
CUR-DER-005,Alert diagnostic boundary,"PB_I2C_INT remains an open-drain diagnostic interrupt and can deny or derate outputs but must not enable outputs","LB-owned pull-up preferred; optional 47kΩ PB DNP pull-up; diagnostic-only fault mapping","Alert polarity pull-up domain stale data behavior and firmware mapping close before schematic freeze","Do not allow PB_I2C_INT or current telemetry to bypass safe-off state"
CUR-DER-006,VBUS protected rail sense,"INA VBUS must sense VBAT_PROT after reverse protection and TVS/load-dump clamp; VBUS filter is checked against 85V monitor common-mode and selected TVS overshoot evidence","VBAT_PROT to VBUS through 1kΩ series resistor plus 1nF 100V local filter; PB-100-tvs-overshoot-validation-precheck.csv","VBUS surge leakage filter error and protected rail sequencing close against TVS/load-dump evidence","Do not sense VBAT_RAW or expose monitor inputs above rating"
CUR-DER-007,Per-output IMON scaling,"OUT1_IMON through OUT10_IMON remain generic ADC-safe telemetry paths mapped by current range and configuration not vehicle role","OUT2 0-30A; OUT1 0-20A; OUT3 OUT4 OUT6 OUT7 OUT10 0-15A; OUT5 OUT8 OUT9 0-8A; RC filtering and ADC calibration TBD","Every IMON signal maps to LB ADC-capable resources with impedance filtering sampling time and calibration evidence","Do not encode vehicle role names or skip ADC scaling review"
CUR-DER-008,Configuration calibration bridge,"telemetry.total_current and telemetry.output_current carry calibration values outside firmware constants","500µΩ shunt value; 40960µV monitor range; 1000 ms stale timeout; 60000 mA plausible maximum; per-output range limits in firmware/configs/config-example.json","Config schema firmware tests and bench calibration prove gain offset range stale timeout and plausible limits are configuration-owned","Do not hard-code shunt gain offset monitor range or IMON scaling constants in firmware"
CUR-DER-009,Bench safe-fault path,"Bench validation must cover per-output telemetry total input telemetry board-current budget and stale or implausible telemetry safe-off behavior before first motorcycle power","PB-BENCH-005; PB-BENCH-006; PB-BENCH-010; total_current_limit_a 40; stale-telemetry denial","Host tests and bench records deny stale saturated missing or implausible telemetry before first-power on motorcycle","Do not run first-power on motorcycle before telemetry and current-budget bench tests pass"
CUR-DER-010,Factory sourcing and no-layout boundary,"TOTAL_CURRENT_MONITOR and TOTAL_CURRENT_SHUNT remain JLCPCB PCBWay sourcing recheck items with monitor and shunt alternatives","INA228-Q1; INA229-Q1; INA226; CSS4J-4026R-L500F; 1.0mΩ fallback; Isabellenhuette BVN/BAS or equivalent AEC-Q200 four-terminal family","Monitor and shunt have active source evidence at least two alternatives package review and schematic freeze approval","Do not create PB-100.kicad_pcb Gerbers drills pick-place manufacturing ZIP shunt copper Kelvin routing or monitor footprint from this precheck"
