Precheck ID,Scope,Required evidence bridge,Project input,Required PB-100 close evidence,Blocked action
CUR-CLS-001,Total current shunt operating point bridge,"PB-100-current-telemetry-design-calculation.md and PB-100-board-current-budget-design-calculation.md prove Vshunt = I * Rshunt and Pshunt = I^2 * Rshunt for the 0.5mΩ four-terminal shunt","40A gives 20mV and 0.8W; 50A gives 25mV and 1.25W; 60A gives 30mV and 1.8W; 81.92A full-scale at 40.96mV","TOTAL_CURRENT_SHUNT resistance package power temperature rise fuse pulse Kelvin footprint and board-current budget evidence close together","Do not lock TOTAL_CURRENT_SHUNT resistance package footprint shunt copper or Kelvin routing before schematic freeze"
CUR-CLS-002,Monitor family range and source bridge,"INA228-Q1 INA229-Q1 and INA226 remain the total-current monitor family set with ±40.96mV and ±163.84mV ranges -0.3V to +85V common-mode 2.7V to 5.5V supply and 16 I2C addresses","INA228-Q1 preferred; INA229-Q1 and INA226 alternates retained; TOTAL_CURRENT_MONITOR remains a JLCPCB PCBWay sourcing recheck item","Monitor package exact orderable suffix address strap options VBUS rating assembly availability and at least two viable alternates close before MPN or footprint lock","Do not lock TOTAL_CURRENT_MONITOR MPN address straps package or footprint before schematic freeze"
CUR-CLS-003,Kelvin sense and input filter bridge,"IIN_SHUNT_HI and IIN_SHUNT_LO remain four-terminal Kelvin sense nets separated from the shunt power path with candidate 10Ω series resistors and 1nF C0G differential filter","PB-100-current-telemetry-value-freeze-checklist.csv and PB-100-current-telemetry-value-derivation-precheck.csv keep filter mismatch step response surge robustness and shunt package heating open","Four-terminal symbol pins footprint Kelvin pair routing rules input-filter error and copper-heating review close before layout authorization","Do not replace Kelvin sensing with two-terminal measurement or route shunt copper before schematic freeze"
CUR-CLS-004,I2C address pull-up and interrupt bridge,"PB_I2C_SCL PB_I2C_SDA and PB_I2C_INT remain LB-100-owned monitor-bus resources with A1 = GND A0 = GND candidate 0x40 address","LB_3V3_IO pull-ups are 4.7kΩ to 10kΩ on LB-100 with PB-side pull-ups DNP by default; PB_I2C_INT allows LB-owned pull-up or 47kΩ PB DNP option","Exact LB-100 MCU pins bus capacitance pull-up values address collision alert polarity and diagnostic-only interrupt mapping close before schematic freeze","Do not depend on duplicate PB-side pull-ups optional monitor bus or PB_I2C_INT to enable outputs"
CUR-CLS-005,Protected VBUS stress bridge,"INA228 VBUS senses VBAT_PROT after reverse protection and the SM8S33AHM3/I TVS path using a candidate 1kΩ series resistor and 1nF 100V local filter","85 V VBUS rating remains checked against PB-100-tvs-overshoot-closeout-precheck.csv protected rail sequencing 60 V overshoot acceptance and TVS/load-dump evidence","VBUS surge leakage filter error protected rail startup and monitor common-mode stress close before monitor value lock","Do not sense VBAT_RAW or expose monitor inputs above the selected monitor rating"
CUR-CLS-006,Per-output IMON ADC scaling bridge,"OUT1_IMON through OUT10_IMON remain generic ADC-safe telemetry with OUT2 0-30A OUT1 0-20A medium outputs 0-15A and low outputs 0-8A ranges","B2B evidence keeps 16 ADC requirement or reviewed external ADC/mux strategy plus RC filtering impedance sample-time and calibration ownership open","Every IMON signal maps to ADC-capable LB-100 resources with RIMON scaling filter tolerance ADC range and calibration evidence before schematic freeze","Do not encode vehicle role names or route IMON telemetry to non-ADC-capable resources"
CUR-CLS-007,Configuration and firmware safety bridge,"telemetry.total_current and telemetry.output_current keep calibration outside firmware constants with 500µΩ shunt value 40960µV monitor range stale_timeout_ms 1000 and plausible_max_ma 60000","firmware/configs/config-example.json firmware/configs/svc-config.schema.json firmware/core/svc_config.h and firmware tests keep total_current_limit_a 40 and stale-telemetry denial visible","Gain offset range stale timeout plausible limit schema host tests and bench calibration prove configuration-owned current telemetry before first-power release","Do not hard-code shunt gain offset monitor range IMON scaling stale timeout or plausible limits in firmware constants"
CUR-CLS-008,Budget enforcement and bench safe-fault bridge,"PB-BENCH-005 PB-BENCH-006 and PB-BENCH-010 cover per-output telemetry total input telemetry and 40 A board budget enforcement with independent input telemetry not summed per-output IMON alone after prototype assembly","PBFLT-CUR-STALE PBFLT-BUDGET firmware/tests/test_telemetry.c firmware/tests/test_rule_runtime.c firmware/tests/test_system_safety.c and PB-100-post-prototype-validation-gate.csv keep stale saturated missing and implausible telemetry safe-off behavior visible","Bench records confirm calibration load steps current-budget refusal or shedding fault logging and safe-off behavior before first motorcycle power","Do not run first-power on motorcycle before current telemetry and budget bench tests pass"
CUR-CLS-009,Sourcing symbol and capture synchronization bridge,"TOTAL_CURRENT_MONITOR TOTAL_CURRENT_SHUNT IIN_SENSE PB-100-current-monitor-pin-template.csv PB-100-symbol-pin-evidence.csv PB-100-symbol-mpn-readiness.csv and production BOM evidence remain synchronized","CSS4J-4026R-L500F 1.0mΩ fallback INA228-Q1 INA229-Q1 INA226 and Isabellenhuette BVN/BAS or equivalent AEC-Q200 four-terminal family remain sourcing candidates","Symbol pins MPN readiness factory sourcing evidence BOM rows and telemetry.kicad_sch CAP-TEL source comments reference the same monitor shunt nets and no-layout boundary","Do not treat a symbol row BOM row or sourcing snapshot alone as schematic freeze closure"
CUR-CLS-010,No-layout and manufacturing boundary,"Current telemetry closeout is documentation-only until schematic freeze; No PCB layout PB-100.kicad_pcb Gerbers drills pick-place manufacturing ZIP shunt placement Kelvin routing monitor footprint or copper geometry is authorized","CAP-TEL may keep telemetry.kicad_sch scaffold source comments synchronized with trace freeze review value checklist derivation precheck closeout precheck maps fault matrix and PB-100-post-prototype-validation-gate.csv","Layout authorization remains blocked until shunt package monitor package LB-100 ADC/I2C ownership calibration hooks sourcing and freeze checklist close; physical bench execution is post-prototype","Do not create PB-100.kicad_pcb Gerbers drills pick-place manufacturing ZIP shunt placement Kelvin routing monitor footprint or board outline from this precheck"
