Check ID,Review item,Required close evidence,Primary artifacts,Pass condition,Blocked action
CAN1-FRZ-001,Policy and hardware boundary,"ADR-0002 Architecture v1.0 and docs/can/can-safety.md remain aligned: CAN1 is read-only by default, configuration cannot enable TX, and any future CAN1 TX requires future ADR plus explicit hardware action","docs/adr/ADR-0002-can-read-only-default.md; docs/can/can-safety.md; PB-100-can1-tx-disable-trace.csv; PB-100-can1-safety-verification.csv","Vehicle CAN TX remains blocked by policy firmware and hardware before schematic freeze","Do not accept configuration-only firmware-only or BOM-only CAN1 TX enablement"
CAN1-FRZ-002,Physical missing link,"CAN1_TX_ROUTE stays DNP/open by default using JP_CAN1 0Ω 0603 DNP link or normally-open solder bridge candidate, with no default-populated vehicle-CAN TX path","PB-100-can1-tx-disable-design-calculation.md; PB-100-can1-production-dnp-review.csv; production/bom/factory_bom_draft.csv; production/bom/pb100_symbol_bom_map.csv","Production BOM schematic net domain and factory notes keep CAN1_TX_ROUTE physically open by default","Do not populate JP_CAN1 or any CAN1_TX_ROUTE equivalent without future ADR and explicit hardware action"
CAN1-FRZ-003,Default-disabled gate,"U_CAN1 stays SN74LVC1G125-Q1-class non-inverting 3-state buffer with OE high disabled and 47k pull-up from CAN1_TX_DISABLE_CMD / OE to LB_3V3_IO so LB-100 reset unpowered or absent cannot enable TX","PB-100-can1-tx-disable-design-calculation.md; PB-100-can1-safety-verification.csv; PB-100-can1-reset-bench-checklist.csv","CAN1_TX_DISABLE_CMD is a disable command and reset-state bench review confirms the physical gate defaults disabled","Do not reinterpret CAN1_TX_DISABLE_CMD as an enable command or lock values before reset bench evidence"
CAN1-FRZ-004,TXD recessive bias,"Downstream gated TXD keeps a 47k pull-up to transceiver VIO or LB_3V3_IO so the transceiver input stays recessive when U_CAN1 is high-Z; final VIO ownership remains a schematic-freeze item","PB-100-can1-tx-disable-design-calculation.md; PB-100-can1-production-dnp-review.csv; PB-100-schematic-net-domain-plan.csv","TXD cannot chatter into dominant state while the physical TX path is disabled or unpowered","Do not lock transceiver TXD bias or VIO ownership without schematic review"
CAN1-FRZ-005,Physical disabled-status readback,"CAN1_TX_DISABLED_STATUS is sourced from the physical OE disable node through a 1k series resistor and 100k pull-up to LB_3V3_IO, with optional 1nF DNP filter only; status is not firmware-only","PB-100-can1-tx-disable-design-calculation.md; PB-100-can1-tx-disable-trace.csv; PB-100-can1-reset-bench-checklist.csv; PB-100-test-point-plan.csv","LB-100-visible disabled status reports physical disabled state during reset normal listen-only and DNP/open states","Do not accept firmware-only disabled-status evidence or hide reset faults with populated filtering"
CAN1-FRZ-006,DNP link detect boundary,"JP_CAN1 DNP/open state is verified through schematic BOM production DNP review and optional auxiliary normally-open link detect only if review requires direct link-state detection","PB-100-can1-tx-disable-design-calculation.md; PB-100-can1-production-dnp-review.csv; PB-100-can1-reset-bench-checklist.csv","DNP/open link state is not inferred from configuration or firmware, configuration cannot enable TX, and the link state remains review-visible before schematic freeze","Do not infer CAN1_TX_ROUTE population from software state or disabled-status alone"
CAN1-FRZ-007,RX listen-only independence,"CAN1_RX_ROUTE may be populated independently for listen-only RX if CAN1 crosses PB-100; RX bring-up does not require CAN1_TX_ROUTE population and cannot bypass JP_CAN1 DNP/open","PB-100-can1-production-dnp-review.csv; PB-100-b2b-pin-map.csv; PB-100-schematic-net-domain-plan.csv","CAN1 listen-only receive path remains independent from any default-populated TX path","Do not couple CAN1 RX bench bring-up to CAN1 TX link population"
CAN1-FRZ-008,Firmware and capability boundary,"Firmware keeps CAN1 TX denied through can_safety tests while CAN2 expansion TX remains separate; pb-100-capabilities keeps vehicle_can_read_only_default true tx_route_population DNP/open tx_requires_future_adr true and hardware_action_required_for_tx true","firmware/tests/test_can_safety.c; firmware/services/can_safety.c; firmware/configs/hardware/pb-100-capabilities.json; PB-100-can1-production-dnp-review.csv","Firmware and capability manifest cannot bypass the physical CAN1 TX disable policy","Do not use firmware capability configuration to enable vehicle-CAN TX"
CAN1-FRZ-009,Bench validation path,"PB-BENCH-012 and CAN1-RST-001 through CAN1-RST-006 cover reset unpowered DNP/open physical disabled-status RX listen-only independence and future-ADR process before first motorcycle power","docs/testing/test-plan.md; PB-100-can1-reset-bench-checklist.csv; PB-100-test-point-plan.csv","Bench evidence records no vehicle-CAN transmit frame and visible CAN1_TX_DISABLED_STATUS before schematic freeze closes","Do not run motorcycle first-power or release layout before CAN1 reset and DNP/open bench evidence exists"
CAN1-FRZ-010,No-layout manufacturing boundary,"CAN1 safety remains schematic-only: No PCB layout PB-100.kicad_pcb Gerbers drills pick-place CAN1 TX routing CAN1 jumper footprint lock or manufacturing output is authorized until all freeze gates close","PB-100-schematic-freeze-checklist.md; PB-100-board-release-blocker-register.csv; PB-100-schematic-capture-work-queue.csv","Repository contains no layout or manufacturing output and CAN1 safety review cannot bypass schematic freeze","Do not create PB-100.kicad_pcb Gerbers drills pick-place CAN1 TX route layout jumper footprint lock or fabrication package before schematic freeze"
