Output,Net pattern,Expanded net,Primary sheet,Source artifact,Default state,Safety rule
OUT1,OUTn_CTL,OUT1_CTL,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,LB-100 command net; pulled low/off,Configuration maps roles; schematic remains generic
OUT1,OUTn_OV_SET,OUT1_OV_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT1,OUTn_INP,OUT1_INP,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT1,OUTn_FLT,OUT1_FLT,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Fault until controller valid,Fault signal must not encode accessory role
OUT1,OUTn_IMON,OUT1_IMON,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Zero volts when output is off,ADC-safe scaling and calibration required
OUT1,OUTn_IWRN_SET,OUT1_IWRN_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT1,OUTn_TMR,OUT1_TMR,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT1,OUTn_DIODE,OUT1_DIODE,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT1,OUTn_BST,OUT1_BST,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT1,OUTn_SRC,OUT1_SRC,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT1,OUTn_PD,OUT1_PD,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT1,OUTn_PU,OUT1_PU,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT1,OUTn_CS_N,OUT1_CS_N,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT1,OUTn_CS_P,OUT1_CS_P,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT1,OUTn_ISCP_SET,OUT1_ISCP_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT1,OUTn_LOAD,OUT1_LOAD,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Off by default,Must pass fuse current SOA and thermal review
OUT1,OUTn_FUSED,OUT1_FUSED,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Off by default,Must remain generic and user-fuse protected
OUT2,OUTn_CTL,OUT2_CTL,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,LB-100 command net; pulled low/off,Configuration maps roles; schematic remains generic
OUT2,OUTn_OV_SET,OUT2_OV_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT2,OUTn_INP,OUT2_INP,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT2,OUTn_FLT,OUT2_FLT,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Fault until controller valid,Fault signal must not encode accessory role
OUT2,OUTn_IMON,OUT2_IMON,outputs-1-10.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,Zero volts when output is off,ADC-safe scaling and calibration required
OUT2,OUTn_IWRN_SET,OUT2_IWRN_SET,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT2,OUTn_TMR,OUT2_TMR,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT2,OUTn_DIODE,OUT2_DIODE,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
OUT2,OUTn_BST,OUT2_BST,output-channel-template.kicad_sch,PB-100-output-controller-pin-template.csv; PB-100-output-channel-pin-contract.csv,TBD not final until schematic review,Local controller network must close in output-stage design values
