Blocker ID,Stage,Stage status,Required evidence,Current evidence,Authorization after close,Current blocker authorization,Blocked scope
PBREL-006,EVT layout authorization,Closed,Selected Q1 exact MPN package 40A hot-loss bound passive-cooling target diagnostic hooks and EVT-only boundary,ADR-0018 fixes IAUT300N08S5N012ATMA2 with 4.032 W hot loss Tj <=150 C and <=6.20 K/W full path; ADR-0020 accepts controlled layout before physical extraction,EVT-LAYOUT-AUTHORIZED,EVT-LAYOUT-AUTHORIZED,EVT fabrication bench motorcycle production and general field use remain blocked
PBREL-006,EVT layout complete,Blocked,Complete routed PB-100 Rev.1 EVT with Q1 copper Kelvin shunt current paths thermal spreading power vias test points thermocouple sites and isolated diagnostic options,Controlled partial PB-100.kicad_pcb places 28 footprint-bound schematic parts and eight holes without copper/courtyard collisions; 46 missing footprints six U1 parity findings 142 unconnected items and all routing remain open,EVT-FAB-REVIEW,EVT-LAYOUT-AUTHORIZED,Fabrication bench motorcycle production and general field use remain blocked
PBREL-006,EVT pre-fabrication review,Blocked,Final EVT schematic plus routed Q1 current-density solder-void thermal-interface enclosure estimates DRC parity supplier DFM safety controls and segregated five-board package,No routed-board EVT-FAB-REVIEW exists,EVT-FAB-AUTHORIZED,EVT-LAYOUT-AUTHORIZED,Fabrication bench motorcycle production and general field use remain blocked
PBREL-006,EVT build and inspection,Blocked,Five assembled PB-100 Rev.1 EVT boards with DNP inspection serial assignment safe isolation checks and no production markings,No assembled PB-100 Rev.1 EVT board exists,BENCH-VALIDATION,EVT-LAYOUT-AUTHORIZED,Bench motorcycle production and general field use remain blocked
PBREL-006,Bench validation,Blocked,PB-BENCH-001 PB-BENCH-003 PB-BENCH-006 PB-BENCH-009 and PB-BENCH-010 records including 10A 20A 30A and 40A current/thermal steps,No assembled PB-100 or PB-BENCH-010 record exists,MOTORCYCLE-VALIDATION,EVT-LAYOUT-AUTHORIZED,Motorcycle production and general field use remain blocked
PBREL-006,Motorcycle validation,Blocked,Undamaged EVT-04 cranking alternator real-load vibration temperature and fault-log record,No bench-passed motorcycle unit exists,PRODUCTION-BLOCKED,EVT-LAYOUT-AUTHORIZED,Production and general field use remain blocked
PBREL-006,Production qualification,Blocked,Rev.1 findings dispositioned into reviewed Rev.2 plus critical electrical thermal fault and vehicle retests accepted by Product Owner,No Rev.2 disposition or critical retest exists,PRODUCTION-RELEASE,EVT-LAYOUT-AUTHORIZED,Production and general field use remain blocked
PBREL-007,EVT layout authorization,Closed,Selected LM74930-Q1 hard-cutoff branch diagnostic VDS/VGS/current/temperature hooks isolation links replaceable gate resistors alternative DNP sites and EVT-only boundary,ADR-0018 retains LM74930QRGERQ1 plus IAUTN15S6N025ATMA1 at 48.99-54.89 V cutoff against the 79-101 V 0.5-4 ohm 40-400 ms reference envelope; existing 25/125/150 C and 5-10 ms screens include provisional 0.72 us 59.52 V 2.08x and 7.200 W bounds; ADR-0020 authorizes controlled EVT work,EVT-LAYOUT-AUTHORIZED,PRODUCTION-BLOCKED,Production and general field use remain blocked
PBREL-007,EVT layout complete,Closed,PBREL-007 is explicitly not an EVT layout-completion gate,ADR-0020 permits the routed PB-100 to enter EVT-FAB-REVIEW without Q2-C100 or qualified maximum-bound Q2 evidence,EVT-FAB-REVIEW,PRODUCTION-BLOCKED,Production and general field use remain blocked
PBREL-007,EVT pre-fabrication review,Closed,PBREL-007 is explicitly not an EVT fabrication gate,ADR-0020 permits reviewed EVT Gerber and a five-board prototype order without coupon fabrication or production-qualified Q2 trajectory,EVT-FAB-AUTHORIZED,PRODUCTION-BLOCKED,Production and general field use remain blocked
PBREL-007,EVT build and inspection,Closed,PBREL-007 is explicitly not an EVT build or energization gate,ADR-0020 permits five inspected NOT FOR PRODUCTION boards to enter controlled bench validation,BENCH-VALIDATION,PRODUCTION-BLOCKED,Production and general field use remain blocked
PBREL-007,Bench validation,Closed,PBREL-007 does not block entry into or execution of bench validation,PB-BENCH-004 evidence is collected on the full PB-100 Rev.1 EVT and retained for production qualification,MOTORCYCLE-VALIDATION,PRODUCTION-BLOCKED,Production and general field use remain blocked
PBREL-007,Motorcycle validation,Closed,PBREL-007 does not block a separately bench-passed undamaged unit from motorcycle validation,Intentional load dump remains forbidden on motorcycle and PB-BENCH-004 remains controlled-bench evidence,PRODUCTION-BLOCKED,PRODUCTION-BLOCKED,Production and general field use remain blocked
PBREL-007,Production qualification,Blocked,Q2Q-010 through Q2Q-015 accepted calculation or full-board empirical evidence complete PB-BENCH closure motorcycle evidence Rev.2 disposition critical retest Codex technical review and Product Owner acceptance,Qualified maximum-bound Q2 evidence full validation record and reviewed Rev.2 do not exist,PRODUCTION-RELEASE,PRODUCTION-BLOCKED,Production and general field use remain blocked
