Resource group,JPB1 pins,Signals,LB-100 resource requirement,Current state,Required close evidence,Blocked action
Power and grounds,1-18,GND AGND PB_5V_OUT LB_3V3_IO,Return strategy 5V input and 3V3 IO reference,Conditional,"Rail tree return-current AGND strategy and LB_3V3_IO sequencing review","Do not place JPB1 or close LB-100 power tree before return and reference strategy closes"
Power-good and wake,19-20,PB_PWR_GOOD PB_WAKE_REQ,GPIO input plus wake-capable interrupt,Conditional,"EXTI/wake assignment and inactive-until-valid behavior review","Do not freeze MCU pinout before wake and power-good handling closes"
Output controls,21-30,OUT1_CTL..OUT10_CTL,10 GPIO or timer PWM-capable outputs default-low,Conditional,"STM32H563 timer/GPIO allocation table proving reset default-low and PWM capacity","Do not assign output controls to role names or unsafe reset states"
Output faults,31-40,OUT1_FLT..OUT10_FLT,10 GPIO inputs or interrupt-capable inputs,Conditional,"Fault input pull-up domain interrupt grouping and firmware response review","Do not depend on unaudited polling for safety-critical output faults"
Output current telemetry,41-50,OUT1_IMON..OUT10_IMON,10 ADC-capable inputs or reviewed external ADC strategy,Conditional,"ADC channel sample-time scaling filtering and calibration ownership review","Do not route current telemetry to non-ADC-capable pins"
Board telemetry,51-56;60;66,VBAT_SENSE IIN_SENSE TEMP_PCB TEMP_PWR_A TEMP_PWR_B PB_FAULT PB_ID_ADC ADC_REF,ADC inputs GPIO fault input and optional ADC reference,Conditional,"ADC capacity board identity tolerance ADC reference and PB_FAULT interrupt review","Do not close LB-100 telemetry pinout before ADC capacity is proven"
PB monitor bus,57-59,PB_I2C_SCL PB_I2C_SDA PB_I2C_INT,I2C bus and interrupt input,Conditional,"I2C pull-up ownership address conflict interrupt behavior and stale telemetry fallback review","Do not lock PB-side monitor bus without pull-up and interrupt evidence"
CAN1 safety,67-70,CAN1_TX_DISABLE_CMD CAN1_TX_DISABLED_STATUS CAN1_RX_ROUTE CAN1_TX_ROUTE,GPIO plus FDCAN RX/TX with TX DNP/open future-ADR gated,Conditional,"CAN1 listen-only allocation DNP/open TX route disabled-status input and firmware policy review","Do not enable vehicle-CAN TX by default or by configuration"
Expansion serial and SPI,61-65;71-79,PB_SPI CAN2 LIN RS485 UART,SPI FDCAN UART and GPIO resources reserved or DNP,Conditional,"Conflict review proving future expansion is reserved or explicitly DNP","Do not consume expansion pins without schematic review"
External IO and reserve,80-100,EXT_ADC EXT_DIG EXT_5V_EN SPARE_01..SPARE_16,ADC GPIO and unassigned reserve,Conditional,"Reserve policy and future-change review","Do not consume spare pins without updating PB-100 and LB-100 together"
