Fault ID,Area,Fault condition,Detection source,Hardware default,Firmware response,User-visible state,Validation artifact,Safety constraint
PBFLT-INPUT-REV,input-protection,Reverse battery polarity,Input reverse-protection controller and protected rail absence,Downstream protected rail remains off,Keep all outputs disabled and log reverse-input fault,Input protection fault,PB-100-input-power-design-values.csv; PB-100-validation-traceability.csv,No downstream rail may energize under reverse polarity
PBFLT-LOAD-DUMP,input-protection,Load dump or surge above normal input range,TVS clamp review and voltage telemetry,Clamp path absorbs transient within selected device limits,Disable or hold outputs in safe state and log surge event if telemetry survives,Input surge fault,PB-100-protection-validation.csv,Clamp must protect controller MOSFET buck and monitor absolute maximum ratings
PBFLT-LOGIC-RAIL,logic-power,PB_5V_OUT invalid or PB_PWR_GOOD inactive,PB_PWR_GOOD and rail telemetry,Output control defaults remain off,Hold outputs disabled block startup until power-good is valid and log logic power fault,Logic power fault,PB-100-logic-power-design-values.csv,Outputs must remain off when logic rail is invalid
PBFLT-LB-ABSENT,b2b-interface,LB-100 absent reset or unpowered,LB_3V3_IO absent and control nets pulled low,All OUTn control inputs remain off,Do not attempt output enable and log board-interface unavailable if firmware runs,Logic board interface fault,PB-100-b2b-pin-map.csv,PB-100 must fail safe without valid LB-100 control
PBFLT-OUT-OC,outputs,OUTn overcurrent above class threshold,TPS48110 current warning or current fault,Controller faults or limits output according to schematic values,Disable affected OUTn apply lockout policy and log overcurrent,Output overcurrent fault,PB-100-output-stage-design-values.csv,Fault handling must remain per-output and role-agnostic
PBFLT-OUT-SHORT,outputs,OUTn short-circuit or severe overload,TPS48110 short-circuit threshold and fuse behavior,Controller turns off or fuse isolates fault path,Disable affected OUTn require explicit recovery policy and log short fault,Output short fault,PB-100-output-stage-design-values.csv,Fault energy must remain inside MOSFET controller and fuse SOA
PBFLT-OUT2-INRUSH,outputs,OUT2 startup pulse exceeds validated envelope,OUT2 current telemetry and controller timing,Controller timer and SOA limits protect MOSFET,Block or retry OUT2 only under reviewed policy and log inrush fault,Output startup fault,PB-100-out2-soa-envelope.csv,OUT2 behavior must not exceed validated SOA envelope
PBFLT-FUSE-OPEN,outputs,User-serviceable output fuse open or missing,OUTn voltage/current mismatch and fault status,Open fuse isolates load path,Disable affected OUTn report unavailable and log fuse fault,Output fuse fault,PB-100-test-point-plan.csv,Open fuse must not be bypassed by firmware or alternate path
PBFLT-THERM-HIGH,thermal,PCB or power-zone temperature exceeds derating threshold,TEMP_PCB TEMP_PWR_A TEMP_PWR_B telemetry,Hardware remains within selected thermal assumptions,Derate shed or disable outputs by priority and log thermal fault,Thermal derating active,PB-100-thermal-telemetry-map.csv,Derating must occur before unsafe component temperature
PBFLT-THERM-STALE,thermal,Thermal telemetry missing stale or implausible,Thermal telemetry plausibility checks,No hardware override enables outputs,Derate or disable affected output groups and log thermal telemetry fault,Thermal telemetry fault,PB-100-thermal-telemetry-map.csv,Missing thermal data must not be treated as safe temperature
PBFLT-CUR-STALE,current-telemetry,Current telemetry missing stale or implausible,OUTn_IMON IIN_SENSE plausibility checks,Hardware current limits and fuses remain primary protection,Disable affected output or reduce current budget and log telemetry fault,Current telemetry fault,PB-100-current-telemetry-map.csv,Missing current data must not allow uncontrolled load operation
PBFLT-BUDGET,current-budget,Requested load exceeds board current budget,Firmware budget calculation and IIN_SENSE feedback,No hardware path overrides fuse and controller limits,Refuse startup or shed lower-priority outputs and log budget fault,Current budget active,docs/adr/ADR-0008-pb-100-current-budget.md,Board current budget must be enforced independently of accessory role names
PBFLT-CAN1-TX,can1-safety,CAN1 TX route populated or disable status not asserted,CAN1_TX_DISABLED_STATUS and schematic/BOM verification,CAN1_TX_ROUTE remains DNP/open by default,Treat CAN1 as listen-only block TX and log safety fault,CAN1 safety fault,PB-100-can1-safety-verification.csv,Vehicle CAN TX requires future ADR and explicit hardware action
PBFLT-B2B-MISMATCH,b2b-interface,PB-100 board identity or pin-map mismatch,PB_ID_ADC and JPB1 resource validation,Outputs remain off until capability is accepted,Reject configuration for unknown board keep outputs disabled and log identity fault,Board identity fault,PB-100-b2b-pin-map.csv,Hardware capability discovery must stay role-agnostic and must not use accessory role assumptions
