Precheck ID,Scope,Required evidence bridge,Project input,Required PB-100 close evidence,Blocked action
B2B-CLS-001,JPB1 map integrity,"PB-100-b2b-pin-map.csv remains the source of truth for the JPB1 100-position 0.8 mm interface and must retain exactly 100 JPB1 pins before schematic freeze","PB-100-b2b-interface-trace.csv; PB-100-b2b-pin-budget.csv; PB-100-b2b-lb100-resource-binding.csv","Every JPB1 net traces from pin map through resource binding freeze checklist validation traceability and schematic comments","Do not edit JPB1 pins without synchronizing every B2B source artifact"
B2B-CLS-002,FX18 pair footprint bridge,"PB-100-fx18-paired-stack-closeout.md selects FX18-100P-0.8SV10 plus FX18-100S-0.8SV10 and closes the 100 signal lands six TH lands four GND MF circuit assignments footprint drawing courtyard pin-1 convention official 20 mm stack height four spacers fixture and inspection evidence","PB-100-fx18-paired-stack-closeout.md; PB-100-b2b-interface-freeze-checklist.csv; PB-100-b2b-lb100-pin-audit-checklist.csv; PB-100-fx18-mf-contact-ownership-precheck.csv; production/bom/pb100_sourcing_evidence_snapshot.csv","Official footprint drawing and closeout prove 4.9 mm signal-row geometry four MF circuit assignments exact TH geometry stack height board-to-board spacing courtyard orientation and pin-1 convention before connector placement","Do not change or place JPB1 before overall PB schematic freeze; PB-BENCH-014/015 remain mandatory before motorcycle power or production"
B2B-CLS-003,FX18 assembly and vibration bridge,"Connector retention vibration retention tray handling assembly handling inspection rework risk and JLCPCB PCBWay process review close before B2B lock","PB-100-b2b-interface-trace.csv; production/bom/pb100_assembly_sourcing_recheck.csv; production/bom/factory_bom_draft.csv","B2B connector sourcing and assembly evidence prove motorcycle vibration handling and PCBA process compatibility before release","Do not release B2B connector BOM placement or PCBA package from catalog family evidence alone"
B2B-CLS-004,STM32H563 exact pinout bridge,"STM32H563 LQFP-100 Exact LB-100 pinout audit must execute PB-100-b2b-lb100-pin-binding-precheck.md and PB-100-b2b-lb100-pin-audit-checklist.csv before PBREL-003 can close","PB-100-b2b-lb100-pin-binding-precheck.md; PB-100-b2b-lb100-pin-audit-checklist.csv; LB-100 schematic resource table","Exact LB-100 pinout satisfies every JPB1 GPIO ADC I2C interrupt FDCAN wake and reserve requirement or triggers architecture review","Do not freeze JPB1 against an unaudited STM32H563 LQFP-100 package"
B2B-CLS-005,ADC telemetry capacity bridge,"Board telemetry requires 16 ADC measurement inputs or reviewed external ADC/mux strategy for OUT1_IMON through OUT10_IMON VBAT_SENSE IIN_SENSE TEMP_PCB TEMP_PWR_A TEMP_PWR_B PB_ID_ADC and ADC_REF","PB-100-current-telemetry-map.csv; PB-100-thermal-telemetry-map.csv; PB-100-b2b-lb100-resource-binding.csv","ADC-capable pins sampling schedule impedance and calibration ownership are reviewed before schematic freeze","Do not route analog telemetry to non-ADC-capable pins or close without an external ADC/mux decision"
B2B-CLS-006,Output control fault and status bridge,"OUT1_CTL through OUT10_CTL require 10 GPIO/PWM resources with default-low reset behavior while OUT1_FLT through OUT10_FLT PB_PWR_GOOD PB_WAKE_REQ PB_FAULT and PB_I2C_INT require GPIO interrupt or wake review","PB-100-output-channel-pin-contract.csv; PB-100-fault-response-matrix.csv; PB-100-b2b-lb100-resource-binding.csv","Output controls faults wake and power-good pins have safe reset state interrupt or wake ownership and no role-specific binding","Do not bind outputs to role-specific names unsafe reset states or unsuitable LB-100 resources"
B2B-CLS-007,PB-side bus and expansion bridge,"PB_I2C_SCL PB_I2C_SDA PB_I2C_INT CAN2 LIN RS485 UART EXT_ADC and reserve pins remain conflict-checked against LB-100 internal peripherals and future expansion plans","PB-100-b2b-lb100-pin-binding-precheck.md; PB-100-b2b-lb100-resource-binding.csv; PB-100-b2b-pin-map.csv","PB_I2C pull-up ownership monitor interrupt and expansion resources are either assigned safely or left DNP/reserved before freeze","Do not consume future expansion pins or bus resources without schematic review"
B2B-CLS-008,CAN1 read-only crossing bridge,"CAN1_TX_DISABLE_CMD CAN1_TX_DISABLED_STATUS CAN1_RX_ROUTE and CAN1_TX_ROUTE must preserve CAN1_TX_ROUTE DNP/open future ADR hardware-action boundary through the LB-100 pin audit","PB-100-can1-tx-disable-trace.csv; PB-100-can1-default-disable-derivation-precheck.csv; PB-100-b2b-interface-freeze-checklist.csv","CAN1 RX can support listen-only behavior and CAN1 TX remains physically disabled by default before any future ADR","Do not assign populate or enable a default vehicle-CAN TX path by configuration"
B2B-CLS-009,Power and identity bridge,"PB_5V_OUT LB_3V3_IO PB_PWR_GOOD board ID and return pins stay synchronized with LB-100 power tree reset sequencing ADC reference and board identity tolerance review","PB-100-b2b-interface-trace.csv; PB-100-logic-power-value-derivation-precheck.csv; PB-100-schematic-net-domain-plan.csv","Power status identity and return pins have reviewed direction sequencing safe inactive states and no accessory-load assumptions","Do not freeze power or identity pins before LB-100 power tree and board-ID tolerance review"
B2B-CLS-010,No-layout manufacturing boundary,"B2B closeout precheck is schematic-review evidence only: No PCB layout PB-100.kicad_pcb Gerbers drills pick-place connector placement board outline stack-height lock manufacturing ZIP or B2B footprint placement is authorized","PB-100-schematic-freeze-checklist.md; PB-100-board-release-blocker-register.csv; tools/validate_pb100.py","Repository remains free of B2B layout and manufacturing outputs until every freeze gate closes","Do not create PB-100.kicad_pcb Gerbers drills pick-place connector placement board outline stack-height lock manufacturing ZIP or B2B footprint placement before schematic freeze"
